# Возраст в годах, Числа доживающих до возраста х лет , Числа умирающих при переходе от возраста x к возрасту х+1 лет , Вероятность умереть в течение предстоящего года жизни, Вероятность дожить до возраста х+1 лет, Числа живущих в возрасте х лет, Числа прожитых человеколет, Средняя продолжительность предстоящей жизни
# x, lх, dх, qх, pх, Lх, Tх, eх

                0       100000  20520   0.20520 0.79480 85661   4191386 41.91
                1       79480   5289    0.06654 0.93346 76532   4105725 51.66
                2       74191   2556    0.03445 0.96555 72752   4029193 54.31
                3       71635   1433    0.02001 0.97999 70856   3956441 55.23
                4       70202   1061    0.01512 0.98488 69645   3885585 55.35
                                                                        
                5       69141   785     0.01136 0.98864 68729   3815940 55.19
                6       68356   606     0.00887 0.99113 68040   3747211 54.82
                7       67750   465     0.00686 0.99314 67508   3679171 54.31
                8       67285   373     0.00555 0.99445 67091   3611663 53.68
                9       66912   288     0.00430 0.99570 66762   3544572 52.97
                                                                        
                10      66624   218     0.00327 0.99673 66510   3477810 52.20
                11      66406   178     0.00268 0.99732 66315   3411300 51.37
                12      66228   164     0.00247 0.99753 66146   3344985 50.51
                13      66064   173     0.00262 0.99738 65979   3278839 49.63
                14      65891   190     0.00288 0.99712 65797   3212860 48.76
                                                                        
                15      65701   205     0.00312 0.99688 65599   3147063 47.90
                16      65496   220     0.00336 0.99664 65388   3081464 47.05
                17      65276   247     0.00379 0.99621 65155   3016076 46.20
                18      65029   283     0.00435 0.99565 64891   2950921 45.38
                19      64746   310     0.00479 0.99521 64593   2886030 44.57
                                                                        
                20      64436   342     0.00531 0.99469 64267   2821437 43.79
                21      64094   368     0.00574 0.99426 63912   2757170 43.02
                22      63726   386     0.00606 0.99394 63534   2693258 42.26
                23      63340   396     0.00625 0.99375 63143   2629724 41.52
                24      62944   398     0.00632 0.99368 62745   2566581 40.78
                                                                        
                25      62546   400     0.00640 0.99360 62346   2503836 40.03
                26      62146   390     0.00628 0.99372 61950   2441490 39.29
                27      61756   379     0.00614 0.99386 61565   2379540 38.53
                28      61377   373     0.00608 0.99392 61190   2317975 37.77
                29      61004   374     0.00613 0.99387 60817   2256785 36.99
                                                                        
                30      60630   375     0.00619 0.99381 60442   2195968 36.22
                31      60255   376     0.00624 0.99376 60067   2135526 35.44
                32      59879   384     0.00642 0.99358 59688   2075459 34.66
                33      59495   395     0.00664 0.99336 59299   2015771 33.88
                34      59100   406     0.00687 0.99313 58898   1956472 33.10
                                                                        
                35      58694   417     0.00711 0.99289 58487   1897574 32.33
                36      58277   430     0.00737 0.99263 58063   1839087 31.56
                37      57847   443     0.00766 0.99234 57627   1781024 30.79
                38      57404   458     0.00798 0.99202 57176   1723397 30.02
                39      56946   477     0.00837 0.99163 56710   1666221 29.26
                                                                        
                40      56469   499     0.00884 0.99116 56222   1609511 28.50
                41      55970   524     0.00937 0.99063 55710   1553289 27.75
                42      55446   552     0.00995 0.99005 55172   1497579 27.01
                43      54894   580     0.01057 0.98943 54606   1442407 26.28
                44      54314   608     0.01119 0.98881 54012   1387801 25.55
                                                                        
                45      53706   633     0.01179 0.98821 53392   1333789 24.84
                46      53073   658     0.01240 0.98760 52746   1280397 24.13
                47      52415   682     0.01301 0.98699 52076   1227651 23.42
                48      51733   707     0.01367 0.98633 51382   1175575 22.72
                49      51026   741     0.01452 0.98548 50659   1124193 22.03
                                                                        
                50      50285   782     0.01555 0.98445 49897   1073534 21.35
                51      49503   824     0.01664 0.98336 49094   1023637 20.68
                52      48679   863     0.01772 0.98228 48251   974543  20.02
                53      47816   900     0.01883 0.98117 47369   926292  19.37
                54      46916   934     0.01990 0.98010 46452   878923  18.73
                                                                        
                55      45982   962     0.02093 0.97907 45503   832471  18.10
                56      45020   986     0.02191 0.97809 44529   786968  17.48
                57      44034   1009    0.02291 0.97709 43532   742439  16.86
                58      43025   1034    0.02403 0.97597 42510   698907  16.24
                59      41991   1064    0.02533 0.97467 41462   656397  15.63
                                                                        
                60      40927   1102    0.02692 0.97308 40379   614935  15.03
                61      39825   1148    0.02882 0.97118 39255   574556  14.43
                62      38677   1200    0.03102 0.96898 38081   535301  13.84
                63      37477   1255    0.03350 0.96650 36855   497220  13.27
                64      36222   1312    0.03621 0.96379 35571   460365  12.71
                                                                        
                65      34910   1365    0.03911 0.96089 34232   424794  12.17
                66      33545   1418    0.04226 0.95774 32840   390562  11.64
                67      32127   1468    0.04568 0.95432 31397   357722  11.13
                68      30659   1516    0.04946 0.95054 29905   326325  10.64
                69      29143   1564    0.05366 0.94634 28365   296420  10.17
                                                                        
                70      27579   1605    0.05821 0.94179 26779   268055  9.72
                71      25974   1637    0.06301 0.93699 25158   241276  9.29
                72      24337   1652    0.06787 0.93213 23511   216118  8.88
                73      22685   1646    0.07258 0.92742 21861   192607  8.49
                74      21039   1621    0.07704 0.92296 20225   170746  8.12
                                                                        
                75      19418   1578    0.08129 0.91871 18625   150521  7.75
                76      17840   1526    0.08552 0.91448 17073   131896  7.39
                77      16314   1471    0.09014 0.90986 15574   114823  7.04
                78      14843   1419    0.09563 0.90437 14130   99249   6.69
                79      13424   1385    0.10319 0.89681 12729   85119   6.34
