# Возраст в годах, Числа доживающих до возраста х лет , Числа умирающих при переходе от возраста x к возрасту х+1 лет , Вероятность умереть в течение предстоящего года жизни, Вероятность дожить до возраста х+1 лет, Числа живущих в возрасте х лет, Числа прожитых человеколет, Средняя продолжительность предстоящей жизни
# x, lх, dх, qх, pх, Lх, Tх, eх

                0       100000  16350   0.16350 0.83650 90093   4691799 46.92
                1       83650   6393    0.07642 0.92358 79130   4601706 55.01
                2       77257   2478    0.03208 0.96792 75524   4522576 58.54
                3       74779   1270    0.01698 0.98302 73908   4447052 59.47
                4       73509   768     0.01045 0.98955 72976   4373144 59.49
                                                                        
                5       72741   606     0.00833 0.99167 72426   4300168 59.12
                6       72135   476     0.00660 0.99340 71887   4227742 58.61
                7       71659   375     0.00523 0.99477 71465   4155855 57.99
                8       71284   298     0.00418 0.99582 71130   4084390 57.30
                9       70986   243     0.00342 0.99658 70861   4013260 56.54
                                                                        
                10      70743   207     0.00292 0.99708 70638   3942399 55.73
                11      70536   186     0.00263 0.99737 70442   3871761 54.89
                12      70350   174     0.00248 0.99752 70262   3801319 54.03
                13      70176   173     0.00246 0.99754 70090   3731057 53.17
                14      70003   177     0.00253 0.99747 69916   3660967 52.30
                                                                        
                15      69826   191     0.00274 0.99726 69733   3591051 51.43
                16      69635   214     0.00307 0.99693 69530   3521318 50.57
                17      69421   238     0.00343 0.99657 69304   3451788 49.72
                18      69183   254     0.00367 0.99633 69057   3382484 48.89
                19      68929   268     0.00389 0.99611 68796   3313427 48.07
                                                                        
                20      68661   280     0.00408 0.99592 68522   3244631 47.26
                21      68381   290     0.00424 0.99576 68237   3176109 46.45
                22      68091   298     0.00437 0.99563 67943   3107872 45.64
                23      67793   303     0.00447 0.99553 67642   3039929 44.84
                24      67490   306     0.00454 0.99546 67337   2972287 44.04
                                                                        
                25      67184   308     0.00459 0.99541 67030   2904950 43.24
                26      66876   310     0.00464 0.99536 66721   2837920 42.44
                27      66566   312     0.00469 0.99531 66410   2771199 41.63
                28      66254   317     0.00478 0.99522 66096   2704789 40.82
                29      65937   322     0.00488 0.99512 65777   2638693 40.02
                                                                        
                30      65615   332     0.00506 0.99494 65450   2572916 39.21
                31      65283   341     0.00522 0.99478 65114   2507466 38.41
                32      64942   353     0.00543 0.99457 64767   2442352 37.61
                33      64589   366     0.00566 0.99434 64407   2377585 36.81
                34      64223   380     0.00592 0.99408 64034   2313178 36.02
                                                                        
                35      63843   394     0.00617 0.99383 63647   2249144 35.23
                36      63449   407     0.00642 0.99358 63247   2185497 34.44
                37      63042   421     0.00668 0.99332 62833   2122250 33.66
                38      62621   435     0.00695 0.99305 62405   2059417 32.89
                39      62186   450     0.00724 0.99276 61962   1997012 32.11
                                                                        
                40      61736   465     0.00753 0.99247 61505   1935050 31.34
                41      61271   478     0.00780 0.99220 61033   1873545 30.58
                42      60793   492     0.00810 0.99190 60548   1812512 29.81
                43      60301   508     0.00843 0.99157 60048   1751964 29.05
                44      59793   526     0.00879 0.99121 59532   1691916 28.30
                                                                        
                45      59267   548     0.00924 0.99076 58995   1632384 27.54
                46      58719   574     0.00977 0.99023 58434   1573389 26.80
                47      58145   601     0.01033 0.98967 57847   1514955 26.05
                48      57544   629     0.01093 0.98907 57232   1457108 25.32
                49      56915   658     0.01156 0.98844 56588   1399876 24.60
                                                                        
                50      56257   686     0.01219 0.98781 55916   1343288 23.88
                51      55571   711     0.01280 0.98720 55218   1287372 23.17
                52      54860   737     0.01344 0.98656 54494   1232154 22.46
                53      54123   764     0.01411 0.98589 53743   1177660 21.76
                54      53359   791     0.01482 0.98518 52966   1123917 21.06
                                                                        
                55      52568   821     0.01561 0.98439 52161   1070951 20.37
                56      51747   853     0.01648 0.98352 51324   1018790 19.69
                57      50894   887     0.01742 0.98258 50454   967466  19.01
                58      50007   922     0.01843 0.98157 49549   917012  18.34
                59      49085   959     0.01953 0.98047 48609   867463  17.67
                                                                        
                60      48126   1002    0.02082 0.97918 47629   818854  17.01
                61      47124   1052    0.02232 0.97768 46602   771225  16.37
                62      46072   1105    0.02398 0.97602 45525   724623  15.73
                63      44967   1160    0.02579 0.97421 44392   679098  15.10
                64      43807   1217    0.02778 0.97222 43204   634706  14.49
                                                                        
                65      42590   1275    0.02994 0.97006 41958   591502  13.89
                66      41315   1334    0.03229 0.96771 40653   549544  13.30
                67      39981   1397    0.03493 0.96507 39288   508891  12.73
                68      38584   1462    0.03789 0.96211 37859   469603  12.17
                69      37122   1529    0.04118 0.95882 36363   431744  11.63
                                                                        
                70      35593   1593    0.04477 0.95523 34802   395381  11.11
                71      34000   1655    0.04868 0.95132 33178   360579  10.61
                72      32345   1714    0.05299 0.94701 31493   327401  10.12
                73      30631   1770    0.05777 0.94223 29750   295908  9.66
                74      28861   1818    0.06299 0.93701 27955   266158  9.22
                                                                        
                75      27043   1844    0.06817 0.93183 26122   238203  8.81
                76      25199   1841    0.07306 0.92694 24278   212081  8.42
                77      23358   1822    0.07799 0.92201 22445   187803  8.04
                78      21536   1789    0.08305 0.91695 20639   165358  7.68
                79      19747   1744    0.08831 0.91169 18871   144719  7.33
                                                                        
                80      18003   1692    0.09400 0.90600 17152   125848  6.99
                81      16311   1635    0.10026 0.89974 15489   108696  6.66
                82      14676   1568    0.10683 0.89317 13886   93207   6.35
                83      13108   1491    0.11372 0.88628 12356   79321   6.05
                84      11617   1405    0.12095 0.87905 10908   66965   5.76
                                                                        
                85      10212   1312    0.12851 0.87149 9548    56057   5.49
                86      8900    1214    0.13643 0.86357 8285    46509   5.23
                87      7686    1112    0.14473 0.85527 7121    38224   4.97
                88      6574    1008    0.15340 0.84660 6061    31103   4.73
                89      5566    904     0.16247 0.83753 5105    25042   4.50
                                                                        
                90      4662    802     0.17195 0.82805 4253    19937   4.28
                91      3860    702     0.18184 0.81816 3501    15684   4.06
                92      3158    607     0.19217 0.80783 2847    12183   3.86
                93      2551    518     0.20294 0.79706 2285    9336    3.66
                94      2033    435     0.21416 0.78584 1809    7051    3.47
                                                                        
                95      1598    361     0.22584 0.77416 1412    5242    3.28
                96      1237    294     0.23800 0.76200 1085    3830    3.10
                97      943     236     0.25063 0.74937 821     2745    2.91
                98      707     186     0.26376 0.73624 610     1924    2.72
                99      521     145     0.27737 0.72263 446     1314    2.52
                100     376     110     0.29148 0.70852 318     868     2.31

