# Возраст в годах, Числа доживающих до возраста х лет , Числа умирающих при переходе от возраста x к возрасту х+1 лет , Вероятность умереть в течение предстоящего года жизни, Вероятность дожить до возраста х+1 лет, Числа живущих в возрасте х лет, Числа прожитых человеколет, Средняя продолжительность предстоящей жизни
# x, lх, dх, qх, pх, Lх, Tх, eх

                0       100000  4086    0.04086 0.95914 97333   6888083 68.88
                1       95914   930     0.00970 0.99030 95273   6790750 70.80
                2       94984   426     0.00449 0.99551 94679   6695477 70.49
                3       94558   251     0.00265 0.99735 94384   6600798 69.81
                4       94307   179     0.00190 0.99810 94187   6506414 68.99
                                                                        
                5       94128   142     0.00151 0.99849 94055   6412227 68.12
                6       93986   132     0.00140 0.99860 93919   6318172 67.22
                7       93854   122     0.00130 0.99870 93792   6224253 66.32
                8       93732   107     0.00114 0.99886 93678   6130461 65.40
                9       93625   96      0.00103 0.99897 93576   6036783 64.48
                                                                        
                10      93529   89      0.00095 0.99905 93484   5943207 63.54
                11      93440   84      0.00090 0.99910 93398   5849723 62.60
                12      93356   80      0.00086 0.99914 93316   5756325 61.66
                13      93276   84      0.00090 0.99910 93234   5663009 60.71
                14      93192   89      0.00096 0.99904 93149   5569775 59.77
                                                                        
                15      93103   97      0.00104 0.99896 93055   5476626 58.82
                16      93006   110     0.00118 0.99882 92952   5383571 57.88
                17      92896   131     0.00141 0.99859 92833   5290619 56.95
                18      92765   147     0.00158 0.99842 92692   5197786 56.03
                19      92618   156     0.00168 0.99832 92541   5105094 55.12
                                                                        
                20      92462   162     0.00175 0.99825 92381   5012553 54.21
                21      92300   167     0.00181 0.99819 92218   4920172 53.31
                22      92133   177     0.00192 0.99808 92045   4827954 52.40
                23      91956   188     0.00204 0.99796 91863   4735909 51.50
                24      91768   195     0.00213 0.99787 91672   4644046 50.61
                                                                        
                25      91573   201     0.00219 0.99781 91472   4552374 49.71
                26      91372   203     0.00222 0.99778 91271   4460902 48.82
                27      91169   209     0.00229 0.99771 91065   4369631 47.93
                28      90960   216     0.00238 0.99762 90853   4278566 47.04
                29      90744   222     0.00245 0.99755 90634   4187713 46.15
                                                                        
                30      90522   230     0.00254 0.99746 90408   4097079 45.26
                31      90292   237     0.00262 0.99738 90174   4006671 44.37
                32      90055   241     0.00268 0.99732 89934   3916497 43.49
                33      89814   246     0.00274 0.99726 89691   3826563 42.61
                34      89568   253     0.00282 0.99718 89443   3736872 41.72
                                                                        
                35      89315   261     0.00292 0.99708 89185   3647429 40.84
                36      89054   270     0.00303 0.99697 88920   3558244 39.96
                37      88784   281     0.00316 0.99684 88645   3469324 39.08
                38      88503   293     0.00331 0.99669 88357   3380679 38.20
                39      88210   307     0.00348 0.99652 88058   3292322 37.32
                                                                        
                40      87903   321     0.00365 0.99635 87743   3204264 36.45
                41      87582   334     0.00381 0.99619 87416   3116521 35.58
                42      87248   347     0.00398 0.99602 87076   3029105 34.72
                43      86901   363     0.00418 0.99582 86720   2942029 33.85
                44      86538   376     0.00434 0.99566 86351   2855309 32.99
                                                                        
                45      86162   389     0.00451 0.99549 85969   2768958 32.14
                46      85773   404     0.00471 0.99529 85573   2682989 31.28
                47      85369   432     0.00506 0.99494 85156   2597416 30.43
                48      84937   466     0.00549 0.99451 84707   2512260 29.58
                49      84471   504     0.00597 0.99403 84222   2427553 28.74
                                                                        
                50      83967   540     0.00643 0.99357 83700   2343331 27.91
                51      83427   571     0.00685 0.99315 83144   2259631 27.09
                52      82856   606     0.00731 0.99269 82556   2176487 26.27
                53      82250   642     0.00781 0.99219 81932   2093931 25.46
                54      81608   682     0.00836 0.99164 81270   2011999 24.65
                                                                        
                55      80926   726     0.00897 0.99103 80567   1930729 23.86
                56      80200   772     0.00962 0.99038 79818   1850162 23.07
                57      79428   820     0.01032 0.98968 79022   1770344 22.29
                58      78608   872     0.01109 0.98891 78176   1691322 21.52
                59      77736   928     0.01194 0.98806 77277   1613146 20.75
                                                                        
                60      76808   988     0.01286 0.98714 76319   1535869 20.00
                61      75820   1051    0.01386 0.98614 75300   1459550 19.25
                62      74769   1120    0.01498 0.98502 74215   1384250 18.51
                63      73649   1197    0.01625 0.98375 73057   1310035 17.79
                64      72452   1285    0.01774 0.98226 71818   1236978 17.07
                                                                        
                65      71167   1381    0.01941 0.98059 70484   1165160 16.37
                66      69786   1486    0.02129 0.97871 69052   1094676 15.69
                67      68300   1591    0.02330 0.97670 67514   1025624 15.02
                68      66709   1702    0.02551 0.97449 65867   958110  14.36
                69      65007   1814    0.02790 0.97210 64110   892243  13.73
                                                                        
                70      63193   1931    0.03056 0.96944 62237   828133  13.10
                71      61262   2055    0.03354 0.96646 60246   765896  12.50
                72      59207   2184    0.03689 0.96311 58125   705650  11.92
                73      57023   2307    0.04046 0.95954 55879   647525  11.36
                74      54716   2422    0.04427 0.95573 53514   591646  10.81
                                                                        
                75      52294   2526    0.04831 0.95169 51039   538132  10.29
                76      49768   2620    0.05264 0.94736 48466   487093  9.79
                77      47148   2708    0.05744 0.94256 45801   438627  9.30
                78      44440   2795    0.06289 0.93711 43050   392826  8.84
                79      41645   2869    0.06890 0.93110 40215   349776  8.40
                                                                        
                80      38776   2919    0.07529 0.92471 37320   309561  7.98
                81      35857   2937    0.08192 0.91808 34388   272241  7.59
                82      32920   2925    0.08884 0.91116 31456   237853  7.23
                83      29995   2885    0.09617 0.90383 28547   206397  6.88
                84      27110   2814    0.10381 0.89619 25696   177850  6.56
                                                                        
                85      24296   2708    0.11145 0.88855 22932   152154  6.26
                86      21588   2565    0.11883 0.88117 20293   129222  5.99
                87      19023   2395    0.12589 0.87411 17810   108929  5.73
                88      16628   2202    0.13240 0.86760 15510   91119   5.48
                89      14426   1997    0.13843 0.86157 13413   75609   5.24
                                                                        
                90      12429   1846    0.14851 0.85149 11492   62196   5.00
                91      10583   1657    0.15659 0.84341 9738    50704   4.79
                92      8926    1471    0.16480 0.83520 8176    40966   4.59
                93      7455    1291    0.17316 0.82684 6794    32790   4.40
                94      6164    1120    0.18169 0.81831 5590    25996   4.22
                                                                        
                95      5044    960     0.19034 0.80966 4551    20406   4.05
                96      4,084   813     0.19915 0.80085 3666    15855   3.88
                97      3271    681     0.20810 0.79190 2920    12189   3.73
                98      2590    563     0.21720 0.78280 2300    9269    3.58
                99      2027    459     0.22645 0.77355 1789    6969    3.44
                100     1568    370     0.23583 0.76417 1376    5180    3.30
