Смертность по LAMBdA

Аргентина 1869 31.6
Аргентина 1895 23.8
Аргентина 1914 17.5
Аргентина 1947 12.3
Аргентина 1960 10.8
Аргентина 1970 12.0
Аргентина 1980 12.8
Аргентина 1991 12.9
Аргентина 2001 15.5
Аргентина 2010 16.8
Бразилия 1872 40.9
Бразилия 1890 26.5
Бразилия 1900 26.4
Бразилия 1920 21.6
Бразилия 1940 19.7
Бразилия 1950 17.8
Бразилия 1960 15.2
Бразилия 1970 14.2
Бразилия 1980 11.6
Бразилия 1991 9.4
Бразилия 2000 10.9
Бразилия 2010 12.9
Венесуэла 1926 28.9
Венесуэла 1936 24.5
Венесуэла 1941 21.7
Венесуэла 1950 14.7
Венесуэла 1961 10.0
Венесуэла 1971 9.1
Венесуэла 1981 7.6
Венесуэла 1990 8.0
Венесуэла 2001 9.5
Гватемала 1921 32.7
Гватемала 1940 29.3
Гватемала 1950 24.8
Гватемала 1964 18.4
Гватемала 1973 15.6
Гватемала 1981 14.8
Гватемала 1994 11.3
Гватемала 2002 9.9
Гондурас 1930 27.2
Гондурас 1935 28.4
Гондурас 1940 27.5
Гондурас 1945 25.9
Гондурас 1950 25.7
Гондурас 1961 20.7
Гондурас 1974 14.7
Гондурас 1988 10.2
Гондурас 2001 9.3
Доминиканская республика 1920 34.2
Доминиканская республика 1935 32.2
Доминиканская республика 1950 20.7
Доминиканская республика 1960 15.3
Доминиканская республика 1970 13.4
Доминиканская республика 1981 10.5
Доминиканская республика 1993 11.0
Доминиканская республика 2002 11.0
Доминиканская республика 2010 12.4
Колумбия 1912 33.8
Колумбия 1918 32.3
Колумбия 1928 29.1
Колумбия 1938 26.0
Колумбия 1951 18.7
Колумбия 1964 12.7
Колумбия 1973 10.0
Колумбия 1985 9.3
Колумбия 1993 9.3
Колумбия 2005 10.1
Коста-Рика 1864 29.1
Коста-Рика 1883 27.5
Коста-Рика 1892 26.8
Коста-Рика 1927 20.1
Коста-Рика 1950 13.5
Коста-Рика 1963 10.2
Коста-Рика 1973 7.8
Коста-Рика 1984 7.1
Коста-Рика 2000 9.2
Коста-Рика 2011 11.6
Куба 1841 24.4
Куба 1861 30.8
Куба 1877 28.5
Куба 1887 27.4
Куба 1899 24.1
Куба 1907 28.6
Куба 1919 24.6
Куба 1931 23.0
Куба 1943 17.1
Куба 1953 11.7
Куба 1970 11.0
Куба 1981 10.8
Куба 2002 17.3
Куба 2012 21.7
Мексика 1895 31.8
Мексика 1900 35.8
Мексика 1910 35.1
Мексика 1921 29.0
Мексика 1930 28.8
Мексика 1940 24.3
Мексика 1950 18.9
Мексика 1960 15.3
Мексика 1970 12.7
Мексика 1980 9.5
Мексика 1990 9.6
Мексика 2000 9.4
Мексика 2005 10.1
Мексика 2010 11.0
Никарагуа 1940 29.6
Никарагуа 1950 24.0
Никарагуа 1963 16.9
Никарагуа 1971 15.5
Никарагуа 1995 9.4
Никарагуа 2005 10.2
Панама 1920 28.5
Панама 1930 26.1
Панама 1940 23.3
Панама 1950 13.4
Панама 1960 10.9
Панама 1970 11.4
Панама 1980 8.5
Панама 1990 8.5
Панама 2000 9.9
Панама 2010 12.1
Парагвай 1950 17.6
Парагвай 1962 11.2
Парагвай 1972 11.7
Парагвай 1982 9.7
Парагвай 1992 7.9
Парагвай 2002 10.2
Перу 1876 33.9
Перу 1940 33.0
Перу 1961 22.6
Перу 1972 15.9
Перу 1981 13.1
Перу 1993 11.0
Перу 2007 11.7
Сальвадор 1930 30.9
Сальвадор 1950 21.6
Сальвадор 1961 17.3
Сальвадор 1971 13.9
Сальвадор 1992 12.1
Сальвадор 2007 14.4
Уругвай 1900 30.5
Уругвай 1908 24.3
Уругвай 1963 13.7
Уругвай 1975 15.9
Уругвай 1985 17.5
Уругвай 1996 20.3
Уругвай 2004 21.8
Уругвай 2011 23.9
Чили 1854 29.7
Чили 1865 30.9
Чили 1875 32.2
Чили 1885 34.0
Чили 1895 33.9
Чили 1907 30.9
Чили 1920 28.1
Чили 1930 27.5
Чили 1940 24.0
Чили 1952 15.6
Чили 1960 14.1
Чили 1970 13.5
Чили 1982 10.1
Чили 1992 10.6
Чили 2002 12.1
Эквадор 1950 22.2
Эквадор 1962 15.6
Эквадор 1974 13.5
Эквадор 1982 10.5
Эквадор 1990 10.0
Эквадор 2001 18.3
