 Item Code, CPC Code, Item
101,'01195,Canary seed
1016,'02123,Goats
1017,'21116,Meat of goat; fresh or chilled
1018,'21156,Edible offal of goat; fresh; chilled or frozen
1019,'21515,Goat fat; unrendered
1020,'02292,Raw milk of goats
1021,'22254,Cheese from milk of goats; fresh or processed
1022,'22249.02,Butter of goat milk
1025,'02954,Raw hides and skins of goats or kids
103,'01199.02,Mixed grain
1034,'02140,Swine / pigs
1035,'21113.01,Meat of pig with the bone; fresh or chilled
1036,'21153,Edible offal of pigs; fresh; chilled or frozen
1037,'21511.01,Fat of pigs
1043,'21521,Pig fat; rendered
1057,'02151,Chickens
1058,'21121,Meat of chickens; fresh or chilled
1062,'0231,Hen eggs in shell; fresh
1068,'02154,Ducks
1069,'21122,Meat of ducks; fresh or chilled
1072,'02153,Geese
1073,'21123,Meat of geese; fresh or chilled
1079,'02152,Turkeys
108,'01199.90,Cereals n.e.c.
1080,'21124,Meat of turkeys; fresh or chilled
1083,'02194,Other birds
1089,'21170.01,Meat of pigeons and other birds n.e.c.; fresh; chilled or frozen
1091,'0232,Eggs from other birds in shell; fresh; n.e.c.
1096,'02131,Horses
1097,'21118.01,Horse meat; fresh or chilled
1098,'21159.01,Edible offals of horses and other equines;  fresh; chilled or frozen
1107,'02132,Asses
1108,'21118.02,Meat of asses; fresh or chilled
1110,'02133,Mules and hinnies
1111,'21118.03,Meat of mules; fresh or chilled
1126,'02121.01,Camels
1127,'21117.01,Meat of camels; fresh or chilled
1128,'21159.02,Edible offals of camels and other camelids; fresh; chilled or frozen
1129,'21519.02,Fat of camels
1130,'02293,Raw milk of camel
1140,'02191,Rabbits and hares
1141,'21114,Meat of rabbits and hares; fresh or chilled
1150,'02192.01,Other rodents
1151,'21119.01,Meat of other domestic rodents; fresh or chilled
1157,'02121.02,Other camelids
1158,'21117.02,Meat of other domestic camelids; fresh or chilled
116,'01510,Potatoes
1163,'21170.02,Game meat; fresh; chilled or frozen
1166,'21170.92,Other meat n.e.c. (excluding mammals); fresh; chilled or frozen
1176,'02920,Snails; fresh; chilled; frozen; dried; salted or in brine; except sea snails
1181,'02196,Bees
1182,'02910,Natural honey
1183,'02960.01,Beeswax
1185,'02944,Silk-worm cocoons suitable for reeling
1186,'26110,Raw silk (not thrown)
122,'01530,Sweet potatoes
1225,'21523,Tallow
1242,'21700.02,Margarine and shortening
125,'01520.01,Cassava; fresh
135,'01591,Yautia
136,'01550,Taro
137,'01540,Yams
149,'01599.10,Edible roots and tubers with high starch or inulin content; n.e.c.; fresh
15,'0111,Wheat
156,'01802,Sugar cane
157,'01801,Sugar beet
161,'01809,Other sugar crops n.e.c.
162,'2351f,Raw cane or beet sugar (centrifugal only)
165,'23540,Molasses
1714,'F1714,Crops; primary
