RENGLON,AÑO,ENTIDAD,CVE_GEO,CRE_NAT,CRE_SOC,CRE_TOT,DEF,EDAD_MED,EMI_EST,EMI_INT,EVH,EVM,EV,HOM_MIT_AÑO,IND_ENV,INM_EST,INM_INT,MIG_NET_EST,MIG_NET_INT,MUJ_MIT_AÑO,NAC,POB_MIT_AÑO,MUJ_12_14,MUJ_15_17,MUJ_15_19,MUJ_15_29,MUJ_15_49,MUJ_18_24,MUJ_20_24,MUJ_3_5,MUJ_30_64,MUJ_6_11,MUJ_65_MAS,HOM_12_14,HOM_15_17,HOM_15_19,HOM_15_29,HOM_15_49,HOM_18_24,HOM_20_24,HOM_3_5,HOM_30_64,HOM_6_11,HOM_65_MAS,POB_12_14,POB_15_17,POB_15_19,POB_15_29,POB_15_49,POB_18_24,POB_20_24,POB_3_5,POB_30_64,POB_6_11,POB_65_MAS,RAZ_DEP_ADU,RAZ_DEP_INF,RAZ_DEP,T_BRU_MOR,T_BRU_NAT,T_CRE_NAT,T_CRE_SOC,T_CRE_TOT,T_EMI_EST,T_INM_EST,T_MIG_NET_EST,T_MIG_NET_INT,TMI,TEF_ADO,TGF
1,1950,República Mexicana,0,746237,-48983,697254,533198,18,ND,51227,44.90,47.71,46.27,14211712,6.80,ND,2244,ND,-48983,14251729,1279435,28463441,967038,885030,1433189,3664920,6560415,1761572,1213413,1325512,4026097,2247417,452087,987036,900448,1457065,3712693,6548839,1786378,1229761,1353088,3875751,2297281,386946,1954074,1785478,2890254,7377613,13109254,3547950,2443174,2678600,7901848,4544698,839033,5.49,80.79,86.29,18.73,44.95,2.62,-0.17,2.45,ND,ND,ND,-0.17,137.82,147.84,6.29
2,1951,República Mexicana,0,748128,-50971,697157,558834,18,ND,54168,44.44,47.02,45.70,14560114,6.90,ND,3197,ND,-50971,14600910,1306962,29161024,993725,905891,1466454,3759866,6704697,1808582,1248019,1356270,4113753,2313191,469406,1014270,919924,1487665,3805639,6691662,1831739,1263998,1384489,3961943,2364943,402961,2007995,1825815,2954119,7565505,13396359,3640321,2512017,2740759,8075696,4678134,872367,5.58,80.86,86.44,19.16,44.82,2.57,-0.17,2.39,ND,ND,ND,-0.17,138.23,147.61,6.27
3,1952,República Mexicana,0,822679,-53886,768793,522220,18,ND,60971,46.70,49.49,48.06,14926461,6.99,ND,7085,ND,-53886,14967008,1344899,29893469,1022519,928097,1501135,3856210,6853230,1854754,1281716,1386185,4205969,2378677,487634,1043767,941305,1520034,3899827,6839342,1875378,1296649,1415353,4053286,2432277,419343,2066286,1869402,3021169,7756037,13692572,3730132,2578365,2801538,8259255,4810954,906977,5.66,80.99,86.66,17.47,44.99,2.75,-0.18,2.57,ND,ND,ND,-0.18,129.38,147.73,6.30
4,1953,República Mexicana,0,841900,-57824,784076,548170,18,ND,68006,46.38,49.11,47.71,15314812,7.07,ND,10182,ND,-57824,15354590,1390070,30669402,1053120,952156,1538238,3955536,7008550,1900666,1314584,1415126,4302925,2444169,506069,1075162,965039,1555311,3996471,6994042,1917802,1327530,1445420,4150247,2499550,435832,2128282,1917195,3093549,7952007,14002592,3818468,2642114,2860546,8453172,4943719,941901,5.74,81.21,86.95,17.87,45.32,2.75,-0.19,2.56,ND,ND,ND,-0.19,132.40,148.67,6.35
5,1954,República Mexicana,0,952467,-59924,892543,486587,18,ND,72114,50.01,52.94,51.45,15734525,7.15,ND,12190,ND,-59924,15772650,1439054,31507175,1084170,978417,1578430,4058976,7172660,1946905,1346892,1446539,4406207,2510572,526121,1107110,991377,1594422,4097110,7158060,1960155,1357110,1477899,4254288,2567593,453853,2191280,1969794,3172852,8156086,14330720,3907060,2704002,2924438,8660495,5078165,979974,5.83,81.53,87.36,15.44,45.67,3.02,-0.19,2.83,ND,ND,ND,-0.19,116.93,149.94,6.41
6,1955,República Mexicana,0,999813,-62379,937434,486915,18,ND,77654,50.93,53.58,52.23,16193661,7.23,ND,15275,ND,-62379,16227894,1486728,32421555,1115470,1007004,1622189,4167394,7346427,1993645,1378460,1487621,4516042,2577364,548382,1139409,1020271,1637826,4202639,7332215,2002998,1385443,1520163,4365740,2635955,474071,2254879,2027275,3260015,8370033,14678642,3996643,2763903,3007784,8881782,5213319,1022453,5.93,82.00,87.93,15.02,45.86,3.08,-0.19,2.89,ND,ND,ND,-0.19,111.93,150.70,6.45
7,1956,República Mexicana,0,1050212,-66916,983296,479036,17,ND,82766,51.90,54.82,53.33,16675925,7.28,ND,15850,ND,-66916,16705485,1529248,33381410,1148402,1037427,1669122,4280570,7528527,2042225,1410530,1542293,4629425,2641938,570266,1173439,1051083,1684788,4312417,7514686,2047751,1414046,1576290,4481430,2702102,493941,2321841,2088510,3353910,8592987,15043213,4089976,2824576,3118583,9110855,5344040,1064207,6.01,82.54,88.55,14.35,45.81,3.15,-0.20,2.95,ND,ND,ND,-0.20,106.90,150.78,6.46
8,1957,República Mexicana,0,1091281,-71936,1019345,482564,17,ND,87322,52.51,55.22,53.84,17178776,7.32,ND,15386,ND,-71936,17203469,1573845,34382245,1182954,1068180,1717820,4396174,7717049,2093741,1444101,1611758,4746409,2707711,592240,1209077,1082325,1733764,4424439,7703647,2095923,1444484,1647989,4600906,2769517,513867,2392031,2150505,3451584,8820613,15420696,4189664,2888585,3259747,9347315,5477228,1106107,6.09,83.16,89.25,14.04,45.77,3.17,-0.21,2.96,ND,ND,ND,-0.21,102.36,150.53,6.48
9,1958,República Mexicana,0,1149903,-76569,1073334,478566,17,ND,90440,53.44,56.23,54.81,17704701,7.35,ND,13871,ND,-76569,17723361,1628469,35428062,1217504,1099033,1768131,4514628,7912692,2149033,1479935,1689806,4867166,2781218,614996,1244541,1113817,1784637,4539416,7899935,2148666,1477846,1729052,4724419,2844961,534651,2462045,2212850,3552768,9054044,15812627,4297699,2957781,3418858,9591585,5626179,1149647,6.17,83.84,90.01,13.51,45.97,3.25,-0.22,3.03,ND,ND,ND,-0.22,98.51,150.22,6.53
10,1959,República Mexicana,0,1208542,-81148,1127394,477525,17,ND,92590,54.24,57.07,55.63,18257766,7.39,ND,11442,ND,-81148,18270107,1686067,36527873,1250570,1131482,1821021,4637840,8117520,2208260,1518721,1769137,4991916,2866936,639687,1278321,1147099,1838423,4659334,8105494,2206191,1514867,1811626,4851808,2933070,557099,2528891,2278581,3659444,9297174,16223014,4414451,3033588,3580763,9843724,5800006,1196786,6.25,84.58,90.84,13.07,46.16,3.31,-0.22,3.09,ND,ND,ND,-0.22,95.34,150.12,6.58
