RENGLON,ANIO,ENTIDAD,CVE_GEO,EDAD,SEXO,EMIGRANTES,INMIGRANTES,ENTIDAD_FEDERATIVA,FECHA
181,1970-1974,Aguascalientes,1,00--04,Hombres,1306,56,Aguascalientes,1974-01-01
182,1970-1974,Aguascalientes,1,00--04,Mujeres,670,35,Aguascalientes,1974-01-01
183,1970-1974,Aguascalientes,1,05--09,Hombres,935,44,Aguascalientes,1974-01-01
184,1970-1974,Aguascalientes,1,05--09,Mujeres,477,27,Aguascalientes,1974-01-01
185,1970-1974,Aguascalientes,1,10--14,Hombres,937,62,Aguascalientes,1974-01-01
186,1970-1974,Aguascalientes,1,10--14,Mujeres,413,31,Aguascalientes,1974-01-01
187,1970-1974,Aguascalientes,1,15--19,Hombres,2562,100,Aguascalientes,1974-01-01
188,1970-1974,Aguascalientes,1,15--19,Mujeres,743,40,Aguascalientes,1974-01-01
189,1970-1974,Aguascalientes,1,20--24,Hombres,1241,101,Aguascalientes,1974-01-01
190,1970-1974,Aguascalientes,1,20--24,Mujeres,597,38,Aguascalientes,1974-01-01
191,1970-1974,Aguascalientes,1,25--29,Hombres,435,85,Aguascalientes,1974-01-01
192,1970-1974,Aguascalientes,1,25--29,Mujeres,306,30,Aguascalientes,1974-01-01
193,1970-1974,Aguascalientes,1,30--34,Hombres,193,66,Aguascalientes,1974-01-01
194,1970-1974,Aguascalientes,1,30--34,Mujeres,154,20,Aguascalientes,1974-01-01
195,1970-1974,Aguascalientes,1,35--39,Hombres,112,50,Aguascalientes,1974-01-01
196,1970-1974,Aguascalientes,1,35--39,Mujeres,88,15,Aguascalientes,1974-01-01
197,1970-1974,Aguascalientes,1,40--44,Hombres,79,39,Aguascalientes,1974-01-01
198,1970-1974,Aguascalientes,1,40--44,Mujeres,56,13,Aguascalientes,1974-01-01
199,1970-1974,Aguascalientes,1,45--49,Hombres,55,29,Aguascalientes,1974-01-01
200,1970-1974,Aguascalientes,1,45--49,Mujeres,39,12,Aguascalientes,1974-01-01
201,1970-1974,Aguascalientes,1,50--54,Hombres,40,22,Aguascalientes,1974-01-01
202,1970-1974,Aguascalientes,1,50--54,Mujeres,27,11,Aguascalientes,1974-01-01
203,1970-1974,Aguascalientes,1,55--59,Hombres,28,16,Aguascalientes,1974-01-01
204,1970-1974,Aguascalientes,1,55--59,Mujeres,20,8,Aguascalientes,1974-01-01
205,1970-1974,Aguascalientes,1,60--64,Hombres,22,12,Aguascalientes,1974-01-01
206,1970-1974,Aguascalientes,1,60--64,Mujeres,15,7,Aguascalientes,1974-01-01
207,1970-1974,Aguascalientes,1,65--69,Hombres,16,8,Aguascalientes,1974-01-01
208,1970-1974,Aguascalientes,1,65--69,Mujeres,11,5,Aguascalientes,1974-01-01
209,1970-1974,Aguascalientes,1,70--74,Hombres,10,5,Aguascalientes,1974-01-01
210,1970-1974,Aguascalientes,1,70--74,Mujeres,7,3,Aguascalientes,1974-01-01
211,1970-1974,Aguascalientes,1,75--79,Hombres,5,3,Aguascalientes,1974-01-01
212,1970-1974,Aguascalientes,1,75--79,Mujeres,4,2,Aguascalientes,1974-01-01
213,1970-1974,Aguascalientes,1,80--84,Hombres,2,1,Aguascalientes,1974-01-01
214,1970-1974,Aguascalientes,1,80--84,Mujeres,2,1,Aguascalientes,1974-01-01
215,1970-1974,Aguascalientes,1,85--89,Hombres,2,0,Aguascalientes,1974-01-01
216,1970-1974,Aguascalientes,1,85--89,Mujeres,1,0,Aguascalientes,1974-01-01
217,1970-1974,Baja California,2,00--04,Hombres,2211,169,Baja California,1974-01-01
