RENGLON,ANIO,ENTIDAD,CVE_GEO,GPO_EDAD,TASAS,NACIMIENTOS,ENTIDAD_FEDERATIVA,FECHA
1,1950,República Mexicana,0,15-19,147.84,211884,República Mexicana,1950-01-01
2,1950,República Mexicana,0,20-24,283.75,344309,República Mexicana,1950-01-01
3,1950,República Mexicana,0,25-29,303.87,309434,República Mexicana,1950-01-01
4,1950,República Mexicana,0,30-34,257.41,219686,República Mexicana,1950-01-01
5,1950,República Mexicana,0,35-39,192.57,145124,República Mexicana,1950-01-01
6,1950,República Mexicana,0,40-44,63.61,43577,República Mexicana,1950-01-01
7,1950,República Mexicana,0,45-49,8.99,5421,República Mexicana,1950-01-01
8,1951,República Mexicana,0,15-19,147.61,216461,República Mexicana,1951-01-01
9,1951,República Mexicana,0,20-24,284.35,354869,República Mexicana,1951-01-01
10,1951,República Mexicana,0,25-29,302.17,315889,República Mexicana,1951-01-01
11,1951,República Mexicana,0,30-34,255.97,224157,República Mexicana,1951-01-01
12,1951,República Mexicana,0,35-39,191.46,145824,República Mexicana,1951-01-01
13,1951,República Mexicana,0,40-44,63.78,44230,República Mexicana,1951-01-01
14,1951,República Mexicana,0,45-49,9.01,5532,República Mexicana,1951-01-01
15,1952,República Mexicana,0,15-19,147.73,221759,República Mexicana,1952-01-01
16,1952,República Mexicana,0,20-24,287.6,368620,República Mexicana,1952-01-01
17,1952,República Mexicana,0,25-29,302.78,324997,República Mexicana,1952-01-01
18,1952,República Mexicana,0,30-34,256.48,230869,República Mexicana,1952-01-01
19,1952,República Mexicana,0,35-39,191.82,148049,República Mexicana,1952-01-01
20,1952,República Mexicana,0,40-44,64.11,44956,República Mexicana,1952-01-01
21,1952,República Mexicana,0,45-49,9.06,5649,República Mexicana,1952-01-01
22,1953,República Mexicana,0,15-19,148.67,228691,República Mexicana,1953-01-01
23,1953,República Mexicana,0,20-24,291.35,383002,República Mexicana,1953-01-01
24,1953,República Mexicana,0,25-29,304.87,336189,República Mexicana,1953-01-01
25,1953,República Mexicana,0,30-34,258.24,239188,República Mexicana,1953-01-01
26,1953,República Mexicana,0,35-39,193.12,151598,República Mexicana,1953-01-01
27,1953,República Mexicana,0,40-44,64.42,45638,República Mexicana,1953-01-01
28,1953,República Mexicana,0,45-49,9.1,5764,República Mexicana,1953-01-01
29,1954,República Mexicana,0,15-19,149.94,236671,República Mexicana,1954-01-01
30,1954,República Mexicana,0,20-24,294.82,397096,República Mexicana,1954-01-01
31,1954,República Mexicana,0,25-29,307.54,348645,República Mexicana,1954-01-01
32,1954,República Mexicana,0,30-34,260.5,248338,República Mexicana,1954-01-01
33,1954,República Mexicana,0,35-39,194.79,156150,República Mexicana,1954-01-01
34,1954,República Mexicana,0,40-44,64.67,46278,República Mexicana,1954-01-01
35,1954,República Mexicana,0,45-49,9.14,5876,República Mexicana,1954-01-01
36,1955,República Mexicana,0,15-19,150.7,244466,República Mexicana,1955-01-01
37,1955,República Mexicana,0,20-24,297,409402,República Mexicana,1955-01-01
38,1955,República Mexicana,0,25-29,309.73,361373,República Mexicana,1955-01-01
39,1955,República Mexicana,0,30-34,262.35,257324,República Mexicana,1955-01-01
40,1955,República Mexicana,0,35-39,196.16,161183,República Mexicana,1955-01-01
41,1955,República Mexicana,0,40-44,64.95,46986,República Mexicana,1955-01-01
42,1955,República Mexicana,0,45-49,9.18,5994,República Mexicana,1955-01-01
43,1956,República Mexicana,0,15-19,150.78,251666,República Mexicana,1956-01-01
44,1956,República Mexicana,0,20-24,298.66,421269,República Mexicana,1956-01-01
45,1956,República Mexicana,0,25-29,309.78,372019,República Mexicana,1956-01-01
46,1956,República Mexicana,0,30-34,262.45,264631,República Mexicana,1956-01-01
47,1956,República Mexicana,0,35-39,196.22,165723,República Mexicana,1956-01-01
48,1956,República Mexicana,0,40-44,65.3,47827,República Mexicana,1956-01-01
49,1956,República Mexicana,0,45-49,9.22,6113,República Mexicana,1956-01-01
50,1957,República Mexicana,0,15-19,150.53,258587,República Mexicana,1957-01-01
51,1957,República Mexicana,0,20-24,301.47,435361,República Mexicana,1957-01-01
52,1957,República Mexicana,0,25-29,309.83,382413,República Mexicana,1957-01-01
53,1957,República Mexicana,0,30-34,262.34,271940,República Mexicana,1957-01-01
54,1957,República Mexicana,0,35-39,196.11,170517,República Mexicana,1957-01-01
55,1957,República Mexicana,0,40-44,65.64,48802,República Mexicana,1957-01-01
56,1957,República Mexicana,0,45-49,9.27,6225,República Mexicana,1957-01-01
57,1958,República Mexicana,0,15-19,150.22,265614,República Mexicana,1958-01-01
58,1958,República Mexicana,0,20-24,306.03,452907,República Mexicana,1958-01-01
59,1958,República Mexicana,0,25-29,312.55,395860,República Mexicana,1958-01-01
60,1958,República Mexicana,0,30-34,263.83,281236,República Mexicana,1958-01-01
61,1958,República Mexicana,0,35-39,197.21,176640,República Mexicana,1958-01-01
62,1958,República Mexicana,0,40-44,65.88,49890,República Mexicana,1958-01-01
63,1958,República Mexicana,0,45-49,9.31,6322,República Mexicana,1958-01-01
64,1959,República Mexicana,0,15-19,150.12,273365,República Mexicana,1959-01-01
65,1959,República Mexicana,0,20-24,309.57,470150,República Mexicana,1959-01-01
66,1959,República Mexicana,0,25-29,316.57,410942,República Mexicana,1959-01-01
67,1959,República Mexicana,0,30-34,265.45,291051,República Mexicana,1959-01-01
68,1959,República Mexicana,0,35-39,198.39,183029,República Mexicana,1959-01-01
69,1959,República Mexicana,0,40-44,66.05,51121,República Mexicana,1959-01-01
70,1959,República Mexicana,0,45-49,9.33,6409,República Mexicana,1959-01-01
71,1960,República Mexicana,0,15-19,149.96,281215,República Mexicana,1960-01-01
72,1960,República Mexicana,0,20-24,310.34,484403,República Mexicana,1960-01-01
73,1960,República Mexicana,0,25-29,321.31,426922,República Mexicana,1960-01-01
74,1960,República Mexicana,0,30-34,268.51,303065,República Mexicana,1960-01-01
75,1960,República Mexicana,0,35-39,199.74,189644,República Mexicana,1960-01-01
76,1960,República Mexicana,0,40-44,66.22,52551,República Mexicana,1960-01-01
77,1960,República Mexicana,0,45-49,9.36,6498,República Mexicana,1960-01-01
78,1961,República Mexicana,0,15-19,149.47,288433,República Mexicana,1961-01-01
79,1961,República Mexicana,0,20-24,308.78,495967,República Mexicana,1961-01-01
80,1961,República Mexicana,0,25-29,324.46,441206,República Mexicana,1961-01-01
81,1961,República Mexicana,0,30-34,272.43,316579,República Mexicana,1961-01-01
82,1961,República Mexicana,0,35-39,199.97,195237,República Mexicana,1961-01-01
83,1961,República Mexicana,0,40-44,66.38,54161,República Mexicana,1961-01-01
84,1961,República Mexicana,0,45-49,9.38,6598,República Mexicana,1961-01-01
85,1962,República Mexicana,0,15-19,148.37,294518,República Mexicana,1962-01-01
86,1962,República Mexicana,0,20-24,307.37,508282,República Mexicana,1962-01-01
87,1962,República Mexicana,0,25-29,327.5,456104,República Mexicana,1962-01-01
88,1962,República Mexicana,0,30-34,275.81,329538,República Mexicana,1962-01-01
89,1962,República Mexicana,0,35-39,199.61,200437,República Mexicana,1962-01-01
90,1962,República Mexicana,0,40-44,66.46,55854,República Mexicana,1962-01-01
91,1962,República Mexicana,0,45-49,9.39,6709,República Mexicana,1962-01-01
92,1963,República Mexicana,0,15-19,146.79,299506,República Mexicana,1963-01-01
93,1963,República Mexicana,0,20-24,307.09,522920,República Mexicana,1963-01-01
94,1963,República Mexicana,0,25-29,329.79,470918,República Mexicana,1963-01-01
95,1963,República Mexicana,0,30-34,278.22,341272,República Mexicana,1963-01-01
96,1963,República Mexicana,0,35-39,199.56,206146,República Mexicana,1963-01-01
97,1963,República Mexicana,0,40-44,66.41,57523,República Mexicana,1963-01-01
98,1963,República Mexicana,0,45-49,9.38,6831,República Mexicana,1963-01-01
99,1964,República Mexicana,0,15-19,144.94,303500,República Mexicana,1964-01-01
100,1964,República Mexicana,0,20-24,307.91,540252,República Mexicana,1964-01-01
101,1964,República Mexicana,0,25-29,331.97,486707,República Mexicana,1964-01-01
102,1964,República Mexicana,0,30-34,277.26,348747,República Mexicana,1964-01-01
103,1964,República Mexicana,0,35-39,199.31,211892,República Mexicana,1964-01-01
104,1964,República Mexicana,0,40-44,66.24,59125,República Mexicana,1964-01-01
105,1964,República Mexicana,0,45-49,9.36,6967,República Mexicana,1964-01-01
106,1965,República Mexicana,0,15-19,142.71,306183,República Mexicana,1965-01-01
107,1965,República Mexicana,0,20-24,307.22,555306,República Mexicana,1965-01-01
108,1965,República Mexicana,0,25-29,333.12,502177,República Mexicana,1965-01-01
109,1965,República Mexicana,0,30-34,273.42,352219,República Mexicana,1965-01-01
110,1965,República Mexicana,0,35-39,199.46,218425,República Mexicana,1965-01-01
111,1965,República Mexicana,0,40-44,66.02,60683,República Mexicana,1965-01-01
112,1965,República Mexicana,0,45-49,9.32,7124,República Mexicana,1965-01-01
113,1966,República Mexicana,0,15-19,140.04,307900,República Mexicana,1966-01-01
114,1966,República Mexicana,0,20-24,305.87,568941,República Mexicana,1966-01-01
115,1966,República Mexicana,0,25-29,333.69,517820,República Mexicana,1966-01-01
116,1966,República Mexicana,0,30-34,270.5,356781,República Mexicana,1966-01-01
117,1966,República Mexicana,0,35-39,200.06,225670,República Mexicana,1966-01-01
118,1966,República Mexicana,0,40-44,65.8,62231,República Mexicana,1966-01-01
119,1966,República Mexicana,0,45-49,9.29,7303,República Mexicana,1966-01-01
120,1967,República Mexicana,0,15-19,137.15,309849,República Mexicana,1967-01-01
121,1967,República Mexicana,0,20-24,304.58,582577,República Mexicana,1967-01-01
122,1967,República Mexicana,0,25-29,334.58,534575,República Mexicana,1967-01-01
123,1967,República Mexicana,0,30-34,269.43,364080,República Mexicana,1967-01-01
124,1967,República Mexicana,0,35-39,200.62,232771,República Mexicana,1967-01-01
125,1967,República Mexicana,0,40-44,65.72,63948,República Mexicana,1967-01-01
126,1967,República Mexicana,0,45-49,9.27,7512,República Mexicana,1967-01-01
127,1968,República Mexicana,0,15-19,134.64,313863,República Mexicana,1968-01-01
128,1968,República Mexicana,0,20-24,303.43,596143,República Mexicana,1968-01-01
129,1968,República Mexicana,0,25-29,334.64,550446,República Mexicana,1968-01-01
130,1968,República Mexicana,0,30-34,270.18,374387,República Mexicana,1968-01-01
131,1968,República Mexicana,0,35-39,200.63,239067,República Mexicana,1968-01-01
132,1968,República Mexicana,0,40-44,65.81,65913,República Mexicana,1968-01-01
133,1968,República Mexicana,0,45-49,9.27,7748,República Mexicana,1968-01-01
134,1969,República Mexicana,0,15-19,133.32,322416,República Mexicana,1969-01-01
135,1969,República Mexicana,0,20-24,302.02,608291,República Mexicana,1969-01-01
136,1969,República Mexicana,0,25-29,332.18,562687,República Mexicana,1969-01-01
137,1969,República Mexicana,0,30-34,270.31,384541,República Mexicana,1969-01-01
138,1969,República Mexicana,0,35-39,198.85,243016,República Mexicana,1969-01-01
139,1969,República Mexicana,0,40-44,66.07,68125,República Mexicana,1969-01-01
140,1969,República Mexicana,0,45-49,9.29,8002,República Mexicana,1969-01-01
141,1970,República Mexicana,0,15-19,133.39,336412,República Mexicana,1970-01-01
142,1970,República Mexicana,0,20-24,300.2,618687,República Mexicana,1970-01-01
143,1970,República Mexicana,0,25-29,328.02,571978,República Mexicana,1970-01-01
144,1970,República Mexicana,0,30-34,268.17,392192,República Mexicana,1970-01-01
145,1970,República Mexicana,0,35-39,195.96,245276,República Mexicana,1970-01-01
146,1970,República Mexicana,0,40-44,66.43,70571,República Mexicana,1970-01-01
147,1970,República Mexicana,0,45-49,9.32,8264,República Mexicana,1970-01-01
148,1970,Aguascalientes,1,15-19,126.44,2260,Aguascalientes,1970-01-01
149,1970,Aguascalientes,1,20-24,311.58,4345,Aguascalientes,1970-01-01
150,1970,Aguascalientes,1,25-29,363.26,4090,Aguascalientes,1970-01-01
151,1970,Aguascalientes,1,30-34,286.69,2688,Aguascalientes,1970-01-01
152,1970,Aguascalientes,1,35-39,213.84,1777,Aguascalientes,1970-01-01
153,1970,Aguascalientes,1,40-44,67.11,497,Aguascalientes,1970-01-01
154,1970,Aguascalientes,1,45-49,9.21,59,Aguascalientes,1970-01-01
155,1970,Baja California,2,15-19,120.24,5753,Baja California,1970-01-01
156,1970,Baja California,2,20-24,257.62,9856,Baja California,1970-01-01
157,1970,Baja California,2,25-29,271.86,8685,Baja California,1970-01-01
158,1970,Baja California,2,30-34,213.19,5706,Baja California,1970-01-01
159,1970,Baja California,2,35-39,153.39,3504,Baja California,1970-01-01
160,1970,Baja California,2,40-44,57.86,1115,Baja California,1970-01-01
161,1970,Baja California,2,45-49,9.02,143,Baja California,1970-01-01
162,1970,Baja California Sur,3,15-19,124.14,815,Baja California Sur,1970-01-01
163,1970,Baja California Sur,3,20-24,272.55,1423,Baja California Sur,1970-01-01
164,1970,Baja California Sur,3,25-29,285.29,1259,Baja California Sur,1970-01-01
165,1970,Baja California Sur,3,30-34,233.89,860,Baja California Sur,1970-01-01
166,1970,Baja California Sur,3,35-39,168.35,517,Baja California Sur,1970-01-01
167,1970,Baja California Sur,3,40-44,62.21,160,Baja California Sur,1970-01-01
168,1970,Baja California Sur,3,45-49,8.68,19,Baja California Sur,1970-01-01
169,1970,Campeche,4,15-19,125.83,1720,Campeche,1970-01-01
170,1970,Campeche,4,20-24,293.71,3222,Campeche,1970-01-01
171,1970,Campeche,4,25-29,323.57,2951,Campeche,1970-01-01
172,1970,Campeche,4,30-34,264.56,2049,Campeche,1970-01-01
173,1970,Campeche,4,35-39,194.36,1309,Campeche,1970-01-01
174,1970,Campeche,4,40-44,66.66,381,Campeche,1970-01-01
175,1970,Campeche,4,45-49,9.13,43,Campeche,1970-01-01
176,1970,Coahuila,5,15-19,124.92,7249,Coahuila,1970-01-01
177,1970,Coahuila,5,20-24,277.66,12958,Coahuila,1970-01-01
178,1970,Coahuila,5,25-29,291.83,11432,Coahuila,1970-01-01
179,1970,Coahuila,5,30-34,241.54,7977,Coahuila,1970-01-01
180,1970,Coahuila,5,35-39,173.51,4955,Coahuila,1970-01-01
181,1970,Coahuila,5,40-44,63.4,1560,Coahuila,1970-01-01
182,1970,Coahuila,5,45-49,9.02,187,Coahuila,1970-01-01
183,1970,Colima,6,15-19,126.07,1606,Colima,1970-01-01
184,1970,Colima,6,20-24,292.82,2908,Colima,1970-01-01
185,1970,Colima,6,25-29,320.78,2590,Colima,1970-01-01
186,1970,Colima,6,30-34,263.05,1748,Colima,1970-01-01
187,1970,Colima,6,35-39,192.51,1105,Colima,1970-01-01
188,1970,Colima,6,40-44,66.4,338,Colima,1970-01-01
189,1970,Colima,6,45-49,9.21,42,Colima,1970-01-01
190,1970,Chiapas,7,15-19,147.73,12586,Chiapas,1970-01-01
191,1970,Chiapas,7,20-24,334.75,24201,Chiapas,1970-01-01
192,1970,Chiapas,7,25-29,372.16,22639,Chiapas,1970-01-01
193,1970,Chiapas,7,30-34,305.76,14769,Chiapas,1970-01-01
194,1970,Chiapas,7,35-39,225.16,8717,Chiapas,1970-01-01
195,1970,Chiapas,7,40-44,71.5,2201,Chiapas,1970-01-01
196,1970,Chiapas,7,45-49,9.72,234,Chiapas,1970-01-01
197,1970,Chihuahua,8,15-19,125.02,10444,Chihuahua,1970-01-01
198,1970,Chihuahua,8,20-24,279,18743,Chihuahua,1970-01-01
199,1970,Chihuahua,8,25-29,294.05,16764,Chihuahua,1970-01-01
200,1970,Chihuahua,8,30-34,243.67,11776,Chihuahua,1970-01-01
201,1970,Chihuahua,8,35-39,175.06,7238,Chihuahua,1970-01-01
202,1970,Chihuahua,8,40-44,63.72,2224,Chihuahua,1970-01-01
203,1970,Chihuahua,8,45-49,9.04,263,Chihuahua,1970-01-01
204,1970,Ciudad de México,9,15-19,120.94,47395,Ciudad de México,1970-01-01
205,1970,Ciudad de México,9,20-24,260.01,89231,Ciudad de México,1970-01-01
206,1970,Ciudad de México,9,25-29,273.58,78287,Ciudad de México,1970-01-01
207,1970,Ciudad de México,9,30-34,216.57,49856,Ciudad de México,1970-01-01
208,1970,Ciudad de México,9,35-39,155.79,30424,Ciudad de México,1970-01-01
209,1970,Ciudad de México,9,40-44,58.67,9944,Ciudad de México,1970-01-01
