ctry,year,age,Qx_m,Qx_f,Mx_m,Mx_f,lx_m,lx_f,Lx_m,Lx_f,Tx_m,Tx_f,Ex_m,Ex_f,piv,method
Argentina,1869,0,.2519639730453491,.2082521766424179,.2882823646068573,.2324570119380951,100000,100000,87401.797,89587.391,3068463.924194336,3434335.977294922,30.684639,34.343361,pivot,OGIVE
Argentina,1869,1,.1005951315164566,.0939135327935219,.1059227883815765,.098540686070919,74803.6015625,79174.78125,71041.164,75456.984,2981062.127319336,3344748.586669922,39.851852,42.245125,pivot,OGIVE
Argentina,1869,2,.0502815507352352,.0469740703701973,.0515782684087753,.0481038875877857,67278.7265625,71739.1953125,65587.289,70054.25,2910020.963256836,3269291.602294922,43.253212,45.571903,pivot,OGIVE
Argentina,1869,3,.0313612073659897,.0288687590509653,.0318608023226261,.0292915645986795,63895.84765625,68369.3125,62893.922,67382.445,2844433.674194336,3199237.352294922,44.516724,46.793468,pivot,OGIVE
Argentina,1869,4,.0211240965873003,.0199587773531675,.0213495921343565,.020159961655736,61891.99609375,66395.578125,61238.289,65732.992,2781539.752319336,3131854.906982422,44.941833,47.169632,pivot,OGIVE
Argentina,1869,5,.0127575434744358,.0124942539259791,.0128394430503249,.0125727979466319,60584.58203125,65070.40234375,60198.125,64663.898,2720301.463256836,3066121.914794922,44.900887,47.120071,pivot,OGIVE
Argentina,1869,6,.0122404135763645,.0119846379384398,.0123157883062959,.0120568862184882,59811.671875,64257.39453125,59445.609,63872.344,2660103.338256836,3001458.016357422,44.474651,46.709923,pivot,OGIVE
Argentina,1869,7,.0117017300799489,.0114542134106159,.011770598590374,.0115201910957694,59079.55078125,63487.29296875,58733.883,63123.695,2600657.728881836,2937585.672607422,44.019592,46.270451,pivot,OGIVE
Argentina,1869,8,.0111417407169938,.0109033053740859,.0112041579559445,.0109630720689893,58388.21875,62760.09765625,58062.945,62417.953,2541923.846069336,2874461.977294922,43.534874,45.800789,pivot,OGIVE
Argentina,1869,9,.0105607928708196,.0103323347866535,.0106168538331985,.0103859901428223,57737.671875,62075.8046875,57432.797,61755.109,2483860.900756836,2812044.024169922,43.01976,45.300163,pivot,OGIVE
Argentina,1869,10,.0050991368480027,.0056464690715075,.0051121706491599,.0056624555633556,57127.91796875,61434.41796875,56982.266,61260.977,2426428.103881836,2750288.914794922,42.473595,44.767883,pivot,OGIVE
Argentina,1869,11,.0053727142512798,.0059056729078293,.0053871863174549,.0059231628551596,56836.61328125,61087.53125,56683.93,60907.148,2369445.838256836,2689027.938232422,41.688725,44.01926,pivot,OGIVE
Argentina,1869,12,.0058066747151315,.0062790755182505,.0058235823818184,.006298850900145,56531.24609375,60726.76953125,56367.117,60536.117,2312761.908569336,2628120.789794922,40.911213,43.277798,pivot,OGIVE
Argentina,1869,13,.0063005434349179,.0066966181620955,.0063204545561166,.0067191157020877,56202.98828125,60345.4609375,56025.934,60143.406,2256394.791381836,2567584.672607422,40.14724,42.5481,pivot,OGIVE
Argentina,1869,14,.006804867181927,.0071170651353896,.0068280994779863,.0071424818887772,55848.87890625,59941.3515625,55658.859,59728.047,2200368.857788086,2507441.266357422,39.398621,41.831577,pivot,OGIVE
Argentina,1869,15,.0073586059734225,.0075407987460494,.0073857804852787,.0075693379904394,55468.8359375,59514.74609375,55264.75,59290.352,2144709.998413086,2447713.219482422,38.665134,41.127846,pivot,OGIVE
Argentina,1869,16,.0079986210912466,.0079812929034233,.0080307381079199,.0080132709957003,55060.6640625,59065.95703125,54840.461,58830.246,2089445.248413086,2388422.867919922,37.948059,40.436539,pivot,OGIVE
