Year	Age	Population
1869	0	45863
1869	1	111224
1869	5	127859
1869	10	98008
1869	15	100748
1869	20	155017
1869	30	96402
1869	40	57602
1869	50	30553
1869	60	13902
1869	70	5436
1869	80	2774
1869	999	184
1895	0	43627
1895	1	247725
1895	5	269845
1895	10	211230
1895	15	201718
1895	20	173678
1895	25	158811
1895	30	129536
1895	35	114730
1895	40	89801
1895	45	63164
1895	50	52350
1895	55	29544
1895	60	30107
1895	65	13634
1895	70	12606
1895	75	5167
1895	80	5202
1895	85	3860
1895	999	9657
1914	0	120129
1914	1	446527
1914	5	503565
1914	10	420787
1914	15	406255
1914	20	382934
1914	25	322870
1914	30	234760
1914	35	207265
1914	40	154932
1914	45	125445
1914	50	105715
1914	55	71420
1914	60	62097
1914	65	34304
1914	70	26386
1914	75	13018
1914	80	9274
1914	85	8055
1914	999	2476
1947	0	196358
1947	1	683397
1947	5	779451
1947	10	753024
1947	15	780749
1947	20	741135
1947	25	644072
1947	30	609581
1947	35	561238
1947	40	473416
1947	45	402584
1947	50	312283
1947	55	262046
1947	60	193668
1947	65	135655
1947	70	84635
1947	75	51086
1947	80	26968
1947	85	19310
1947	999	37996
1960	0	211801
1960	1	839901
1960	5	1026378
1960	10	962737
1960	15	851786
1960	20	775990
1960	25	773708
1960	30	787574
1960	35	722183
1960	40	609337
1960	45	588781
1960	50	497866
1960	55	413124
1960	60	325820
1960	65	235836
1960	70	172242
1960	75	99662
1960	80	50431
1960	85	31964
1960	999	27521
1970	0	245350
1970	1	913000
1970	5	1133950
1970	10	1086850
1970	15	1039850
1970	20	980550
1970	25	860150
1970	30	795650
1970	35	767400
1970	40	769600
1970	45	698950
1970	50	584800
1970	55	549250
1970	60	454750
1970	65	350450
1970	70	244200
1970	75	156550
1970	80	89400
1970	85	52350
1970	999	0
1980	0	334747
1980	1	1266089
1980	5	1376543
1980	10	1215962
1980	15	1167647
1980	20	1124347
1980	25	1074218
1980	30	994377
1980	35	869013
1980	40	775702
1980	45	748741
1980	50	749808
1980	55	659561
1980	60	532126
1980	65	476239
1980	70	355241
1980	75	245572
1980	80	138377
1980	85	87153
1980	999	0
1991	0	346436
1991	1	1307746
1991	5	1620423
1991	10	1655580
1991	15	1432486
1991	20	1240288
1991	25	1166881
1991	30	1120050
1991	35	1075966
1991	40	994036
1991	45	857669
1991	50	767093
1991	55	709111
1991	60	703455
1991	65	582553
1991	70	436134
1991	75	333540
1991	80	200706
1991	85	127395
1991	999	0
2001	0	332289
2001	1	1313799
2001	5	1710558
2001	10	1688456
2001	15	1575274
2001	20	1601400
2001	25	1365848
2001	30	1205205
2001	35	1143017
2001	40	1093389
2001	45	1012776
2001	50	955354
2001	55	785887
2001	60	687078
2001	65	610244
2001	70	574099
2001	75	438840
2001	80	280653
2001	85	226892
2001	999	0
2010	0	336317
2010	1	1303363
2010	5	1663467
2010	10	1724074
2010	15	1757006
2010	20	1651693
2010	25	1578403
2010	30	1575371
2010	35	1366907
2010	40	1184888
2010	45	1128882
2010	50	1056797
2010	55	975380
2010	60	860276
2010	65	704492
2010	70	577459
2010	75	480178
2010	80	365172
2010	85	303205
2010	999	0
