Year	Age	Population
1869	0	46923
1869	1	111812
1869	5	137330
1869	10	106371
1869	15	90020
1869	20	169708
1869	30	110562
1869	40	66971
1869	50	34846
1869	60	14888
1869	70	5504
1869	80	2547
1869	999	298
1895	0	44638
1895	1	254689
1895	5	281624
1895	10	233455
1895	15	189828
1895	20	178786
1895	25	184718
1895	30	165431
1895	35	153684
1895	40	116082
1895	45	93893
1895	50	68188
1895	55	41578
1895	60	32654
1895	65	15236
1895	70	11338
1895	75	5019
1895	80	3614
1895	85	2484
1895	999	11980
1914	0	123833
1914	1	458218
1914	5	517069
1914	10	437794
1914	15	434321
1914	20	457900
1914	25	420159
1914	30	332379
1914	35	264407
1914	40	212449
1914	45	166098
1914	50	140458
1914	55	94141
1914	60	73216
1914	65	39058
1914	70	26923
1914	75	12615
1914	80	7244
1914	85	4898
1914	999	3843
1947	0	200826
1947	1	700828
1947	5	798228
1947	10	772310
1947	15	789087
1947	20	748810
1947	25	642096
1947	30	617742
1947	35	597599
1947	40	553191
1947	45	467999
1947	50	386103
1947	55	316080
1947	60	224704
1947	65	142180
1947	70	84396
1947	75	43651
1947	80	21334
1947	85	11061
1947	999	26950
1960	0	217996
1960	1	860872
1960	5	1049986
1960	10	975704
1960	15	834062
1960	20	755130
1960	25	765559
1960	30	773374
1960	35	721351
1960	40	607057
1960	45	591456
1960	50	521173
1960	55	442786
1960	60	330433
1960	65	236908
1960	70	160203
1960	75	85011
1960	80	37101
1960	85	18565
1960	999	21170
1970	0	264550
1970	1	932400
1970	5	1163050
1970	10	1114300
1970	15	1058850
1970	20	969950
1970	25	842550
1970	30	784700
1970	35	779000
1970	40	769500
1970	45	683550
1970	50	562300
1970	55	517800
1970	60	436050
1970	65	322100
1970	70	202250
1970	75	123150
1970	80	62450
1970	85	28500
1970	999	0
1980	0	342896
1980	1	1297109
1980	5	1407213
1980	10	1240209
1980	15	1173841
1980	20	1099810
1980	25	1050065
1980	30	979816
1980	35	855293
1980	40	772913
1980	45	748046
1980	50	709825
1980	55	620972
1980	60	469993
1980	65	397567
1980	70	279279
1980	75	181291
1980	80	85524
1980	85	44321
1980	999	0
1991	0	354450
1991	1	1341441
1991	5	1657514
1991	10	1686997
1991	15	1417619
1991	20	1213835
1991	25	1137361
1991	30	1094131
1991	35	1043202
1991	40	969612
1991	45	832386
1991	50	722631
1991	55	652436
1991	60	601706
1991	65	481562
1991	70	324719
1991	75	222793
1991	80	119063
1991	85	64522
1991	999	0
2001	0	344826
2001	1	1358364
2001	5	1760659
2001	10	1738744
2001	15	1613030
2001	20	1597939
2001	25	1329493
2001	30	1159698
2001	35	1086600
2001	40	1043147
2001	45	959135
2001	50	895127
2001	55	718159
2001	60	597259
2001	65	499544
2001	70	422426
2001	75	289055
2001	80	152255
2001	85	93612
2001	999	0
2010	0	349040
2010	1	1348932
2010	5	1717752
2010	10	1779372
2010	15	1785061
2010	20	1648456
2010	25	1552106
2010	30	1523342
2010	35	1311528
2010	40	1125887
2010	45	1067468
2010	50	986196
2010	55	893570
2010	60	760914
2010	65	588569
2010	70	438438
2010	75	321481
2010	80	200744
2010	85	124910
2010	999	0
