Year	Age	Population
1872	0	170341
1872	1	329104
1872	5	576354
1872	10	550716
1872	15	1570217
1872	30	596519
1872	40	435630
1872	50	288978
1872	60	183692
1872	70	95306
1872	80	85643
1872	999	5010
1890	0	177084
1890	1	839520
1890	5	1016549
1890	10	851896
1890	15	1999735
1890	30	883409
1890	40	584474
1890	50	345033
1890	60	209238
1890	70	81278
1890	80	44332
1890	999	25499
1900	0	371220
1900	1	1081977
1900	5	1257119
1900	10	997568
1900	15	2471529
1900	30	987853
1900	40	636764
1900	50	358839
1900	60	167670
1900	70	68993
1900	80	33353
1900	999	54669
1920	0	412812
1920	1	1862116
1920	5	2249438
1920	10	1920340
1920	15	4547077
1920	30	1712977
1920	40	1138143
1920	50	697955
1920	60	392759
1920	70	160394
1920	80	71162
1920	999	26614
1940	0	677051
1940	1	2507098
1940	5	2834840
1940	10	2645826
1940	15	2286293
1940	20	1977508
1940	25	1707064
1940	30	1281173
1940	35	1154010
1940	40	946182
1940	45	705963
1940	50	605718
1940	55	385736
1940	60	352095
1940	65	199389
1940	70	156055
1940	75	78603
1940	80	58241
1940	85	45780
1940	999	17602
1950	0	945975
1950	1	3189029
1950	5	3454677
1950	10	3143863
1950	15	2857784
1950	20	2606679
1950	25	2101959
1950	30	1623307
1950	35	1517030
1950	40	1161114
1950	45	958138
1950	50	773782
1950	55	515952
1950	60	462763
1950	65	259903
1950	70	195617
1950	75	101798
1950	80	70701
1950	85	56570
1950	999	62755
1960	0	1080182
1960	1	4403736
1960	5	5002427
1960	10	4286657
1960	15	3696728
1960	20	3197054
1960	25	2687053
1960	30	2261137
1960	35	2034114
1960	40	1580004
1960	45	1327370
1960	50	1064534
1960	55	770406
1960	60	684616
1960	65	376455
1960	70	279977
1960	75	151215
1960	80	95852
1960	85	71479
1960	999	57358
1970	0	1385491
1970	1	5456370
1970	5	6659536
1970	10	5924930
1970	15	5257851
1970	20	4248670
1970	25	3330784
1970	30	2864283
1970	35	2587189
1970	40	2247332
1970	45	1751654
1970	50	1453992
1970	55	1128221
1970	60	887874
1970	65	611760
1970	70	416525
1970	75	223444
1970	80	151699
1970	85	128915
1970	999	91174
1980	0	1739835
1980	1	6374969
1980	5	7296334
1980	10	7104263
1980	15	6870016
1980	20	5839312
1980	25	4800847
1980	30	3885739
1980	35	3226395
1980	40	2870031
1980	45	2352398
1980	50	2073493
1980	55	1580298
1980	60	1257723
1980	65	1046452
1980	70	691466
1980	75	454646
1980	80	208940
1980	85	143322
1980	999	62866
1991	0	1577710
1991	1	6563754
1991	5	8583891
1991	10	8461651
1991	15	7556982
1991	20	6852443
1991	25	6463119
1991	30	5656708
1991	35	4865939
1991	40	3973796
1991	45	3129903
1991	50	2638547
1991	55	2224630
1991	60	1921257
1991	65	1467717
1991	70	1017494
1991	75	714480
1991	80	397290
1991	85	273042
1991	999	0
2000	0	1577394
2000	1	6471408
2000	5	8139974
2000	10	8570428
2000	15	8920685
2000	20	8093297
2000	25	7035337
2000	30	6664961
2000	35	6305654
2000	40	5430255
2000	45	4505123
2000	50	3646923
2000	55	2859471
2000	60	2447720
2000	65	1941781
2000	70	1512973
2000	75	999016
2000	80	607533
2000	85	493222
2000	999	0
2010	0	1334712
2010	1	5444460
2010	5	7345231
2010	10	8441348
2010	15	8432002
2010	20	8614963
2010	25	8643418
2010	30	8026855
2010	35	7121916
2010	40	6688797
2010	45	6141338
2010	50	5305407
2010	55	4373875
2010	60	3468085
2010	65	2616745
2010	70	2074264
2010	75	1472930
2010	80	998349
2010	85	804114
2010	999	0
