Year	Age	Population
1872	0	185001
1872	1	375016
1872	5	604351
1872	10	540470
1872	15	1650839
1872	30	666681
1872	40	465463
1872	50	324430
1872	60	202064
1872	70	106981
1872	80	97078
1872	999	6177
1890	0	189153
1890	1	917011
1890	5	1053020
1890	10	858960
1890	15	1937240
1890	30	919273
1890	40	646723
1890	50	385720
1890	60	217588
1890	70	78194
1890	80	39908
1890	999	33078
1900	0	389982
1900	1	1132364
1900	5	1344462
1900	10	1047887
1900	15	2386158
1900	30	1047484
1900	40	710334
1900	50	411677
1900	60	186600
1900	70	68882
1900	80	30526
1900	999	74646
1920	0	417542
1920	1	1900693
1920	5	2326092
1920	10	1989290
1920	15	4297635
1920	30	1847248
1920	40	1263057
1920	50	753364
1920	60	408107
1920	70	147849
1920	80	53905
1920	999	39036
1940	0	693479
1940	1	2562022
1940	5	2923976
1940	10	2682254
1940	15	2157630
1940	20	1835847
1940	25	1649306
1940	30	1300051
1940	35	1166448
1940	40	1003556
1940	45	786026
1940	50	640652
1940	55	412801
1940	60	337854
1940	65	186801
1940	70	127835
1940	75	65191
1940	80	39610
1940	85	28080
1940	999	14669
1950	0	969785
1950	1	3266091
1950	5	3560850
1950	10	3164704
1950	15	2644531
1950	20	2384460
1950	25	2030312
1950	30	1621739
1950	35	1523976
1950	40	1227552
1950	45	1018555
1950	50	810892
1950	55	549688
1950	60	473409
1950	65	255393
1950	70	164773
1950	75	82982
1950	80	48127
1950	85	33305
1950	999	53877
1960	0	1110540
1960	1	4601855
1960	5	5158864
1960	10	4287220
1960	15	3445715
1960	20	2963688
1960	25	2521689
1960	30	2254181
1960	35	1955652
1960	40	1652516
1960	45	1399968
1960	50	1123775
1960	55	827679
1960	60	728135
1960	65	396121
1960	70	267198
1960	75	139198
1960	80	74990
1960	85	48387
1960	999	53346
1970	0	1413307
1970	1	5556638
1970	5	6799972
1970	10	5934189
1970	15	4995432
1970	20	4037135
1970	25	3173285
1970	30	2800657
1970	35	2502123
1970	40	2288260
1970	45	1795031
1970	50	1486365
1970	55	1160154
1970	60	903253
1970	65	604750
1970	70	388655
1970	75	195476
1970	80	114958
1970	85	88899
1970	999	92804
1980	0	1783939
1980	1	6524957
1980	5	7477407
1980	10	7159059
1980	15	6705955
1980	20	5673908
1980	25	4641370
1980	30	3800551
1980	35	3126424
1980	40	2853850
1980	45	2300995
1980	50	2035767
1980	55	1560536
1980	60	1187862
1980	65	982474
1980	70	625114
1980	75	377781
1980	80	154938
1980	85	85299
1980	999	65175
1991	0	1623104
1991	1	6756546
1991	5	8836268
1991	10	8585508
1991	15	7460490
1991	20	6712455
1991	25	6174959
1991	30	5406785
1991	35	4597824
1991	40	3860918
1991	45	2994785
1991	50	2526581
1991	55	2017494
1991	60	1715601
1991	65	1308343
1991	70	872424
1991	75	575738
1991	80	294627
1991	85	164672
1991	999	0
2000	0	1635916
2000	1	6691010
2000	5	8402353
2000	10	8777639
2000	15	9019130
2000	20	8048218
2000	25	6814328
2000	30	6363983
2000	35	5955875
2000	40	5116439
2000	45	4216418
2000	50	3415678
2000	55	2585244
2000	60	2153209
2000	65	1639325
2000	70	1229329
2000	75	780571
2000	80	428501
2000	85	302849
2000	999	0
2010	0	1378532
2010	1	5638455
2010	5	7624144
2010	10	8725413
2010	15	8558868
2010	20	8630227
2010	25	8460995
2010	30	7717657
2010	35	6766665
2010	40	6320570
2010	45	5692013
2010	50	4834995
2010	55	3902344
2010	60	3041034
2010	65	2224065
2010	70	1667373
2010	75	1090518
2010	80	668623
2010	85	464499
2010	999	0
