Year	Age	Population
1854	0	143005
1854	7	149377
1854	15	157304
1854	30	213166
1854	50	60195
1854	80	671
1854	85	2470
1854	999	0
1865	0	174391
1865	7	182214
1865	15	192896
1865	25	279951
1865	50	76063
1865	80	4566
1865	85	2999
1865	999	0
1875	0	214485
1875	7	196505
1875	15	231657
1875	25	322928
1875	50	67662
1875	80	4621
1875	85	4139
1875	999	0
1907	0	249468
1907	6	164430
1907	10	183444
1907	15	217957
1907	21	104210
1907	25	148948
1907	30	203526
1907	40	146870
1907	50	98324
1907	60	62408
1907	70	28686
1907	80	16787
1907	999	0
1885	0	48307
1885	1	154427
1885	5	159748
1885	10	135409
1885	15	139211
1885	20	122492
1885	25	133480
1885	30	72644
1885	35	96601
1885	40	42412
1885	45	56802
1885	50	24476
1885	55	35237
1885	60	13299
1885	65	14680
1885	70	6082
1885	75	5434
1885	80	8938
1885	999	0
1895	0	55133
1895	1	160557
1895	5	172552
1895	10	150481
1895	15	148475
1895	20	128411
1895	25	133427
1895	30	79254
1895	35	95305
1895	40	50160
1895	45	59189
1895	50	28090
1895	55	41132
1895	60	17055
1895	65	17055
1895	70	7022
1895	75	8026
1895	80	8025
1895	999	0
1920	0	55249
1920	1	179891
1920	5	249989
1920	10	216452
1920	15	204568
1920	20	180053
1920	25	164410
1920	30	127205
1920	35	117495
1920	40	100240
1920	45	68286
1920	50	69337
1920	55	37378
1920	60	50247
1920	65	19729
1920	70	22387
1920	75	8240
1920	80	9961
1920	85	6855
1920	999	0
1930	0	70243
1930	1	223459
1930	5	265505
1930	10	230834
1930	15	240319
1930	20	211297
1930	25	189575
1930	30	143232
1930	35	137106
1930	40	107794
1930	45	87714
1930	50	75736
1930	55	49545
1930	60	52153
1930	65	26865
1930	70	24493
1930	75	11348
1930	80	10219
1930	85	7299
1930	999	0
1940	0	74217
1940	1	234119
1940	5	312905
1940	10	302490
1940	15	256482
1940	20	238059
1940	25	222506
1940	30	174974
1940	35	165587
1940	40	131692
1940	45	106840
1940	50	87940
1940	55	66408
1940	60	62780
1940	65	33784
1940	70	28537
1940	75	14166
1940	80	11109
1940	85	9018
1940	999	0
1952	0	81261
1952	1	306161
1952	5	387096
1952	10	323012
1952	15	290913
1952	20	298744
1952	25	234270
1952	30	195026
1952	35	197132
1952	40	158806
1952	45	133116
1952	50	116250
1952	55	81587
1952	60	78234
1952	65	48503
1952	70	37507
1952	75	19475
1952	80	14198
1952	85	10818
1952	999	8328
1960	0	113432
1960	1	436492
1960	5	489047
1960	10	415428
1960	15	370253
1960	20	310762
1960	25	275172
1960	30	260273
1960	35	215448
1960	40	185401
1960	45	167091
1960	50	141015
1960	55	109013
1960	60	96713
1960	65	67605
1960	70	46423
1960	75	28965
1960	80	18685
1960	85	14090
1960	999	0
1970	0	97828
1970	1	457773
1970	5	619796
1970	10	554819
1970	15	466736
1970	20	398383
1970	25	324130
1970	30	267312
1970	35	267078
1970	40	232778
1970	45	184593
1970	50	163277
1970	55	141449
1970	60	117484
1970	65	92256
1970	70	64112
1970	75	38684
1970	80	25096
1970	85	27672
1970	999	0
1982	0	132112
1982	1	461349
1982	5	596095
1982	10	613882
1982	15	652552
1982	20	595598
1982	25	479199
1982	30	399344
1982	35	345189
1982	40	295423
1982	45	242703
1982	50	246594
1982	55	185420
1982	60	158988
1982	65	134994
1982	70	99625
1982	75	65620
1982	80	41961
1982	85	29679
1982	999	0
1992	0	139659
1992	1	570524
1992	5	612717
1992	10	606088
1992	15	600563
1992	20	608933
1992	25	623305
1992	30	576710
1992	35	478430
1992	40	395069
1992	45	333189
1992	50	284339
1992	55	231181
1992	60	230845
1992	65	166733
1992	70	129239
1992	75	95982
1992	80	62864
1992	85	48777
1992	999	0
2002	0	105050
2002	1	460027
2002	5	645924
2002	10	697088
2002	15	628376
2002	20	595996
2002	25	599185
2002	30	605707
2002	35	629043
2002	40	578830
2002	45	462910
2002	50	389603
2002	55	311572
2002	60	264405
2002	65	215079
2002	70	194210
2002	75	125842
2002	80	84424
2002	85	75469
2002	999	0
