Year	Age	Population
1854	0	151722
1854	7	162706
1854	15	135346
1854	30	204578
1854	50	56080
1854	80	567
1854	85	1933
1854	999	0
1865	0	181498
1865	7	194779
1865	15	177278
1865	25	275235
1865	50	71801
1865	80	3393
1865	85	2159
1865	999	0
1875	0	224903
1875	7	208763
1875	15	209840
1875	25	316933
1875	50	66754
1875	80	3520
1875	85	3261
1875	999	0
1907	0	256064
1907	6	170820
1907	10	196508
1907	15	204129
1907	21	103858
1907	25	146009
1907	30	199645
1907	40	148255
1907	50	99780
1907	60	60728
1907	70	25569
1907	80	12856
1907	999	0
1885	0	50418
1885	1	159305
1885	5	169139
1885	10	142224
1885	15	129395
1885	20	117440
1885	25	125991
1885	30	75948
1885	35	87677
1885	40	45278
1885	45	54994
1885	50	26014
1885	55	35429
1885	60	13499
1885	65	13256
1885	70	5714
1885	75	5280
1885	80	6642
1885	999	0
1895	0	57153
1895	1	165560
1895	5	182584
1895	10	154494
1895	15	134430
1895	20	122392
1895	25	121388
1895	30	78250
1895	35	89286
1895	40	52167
1895	45	56180
1895	50	28090
1895	55	41132
1895	60	17055
1895	65	16051
1895	70	7022
1895	75	7022
1895	80	6020
1895	999	0
1920	0	56271
1920	1	182630
1920	5	256659
1920	10	225570
1920	15	193618
1920	20	173497
1920	25	154504
1920	30	124772
1920	35	118293
1920	40	102077
1920	45	71406
1920	50	65152
1920	55	38858
1920	60	43493
1920	65	19143
1920	70	19678
1920	75	7809
1920	80	7491
1920	85	4906
1920	999	0
1930	0	71488
1930	1	224730
1930	5	269859
1930	10	237661
1930	15	229000
1930	20	205558
1930	25	172169
1930	30	145344
1930	35	132304
1930	40	109976
1930	45	89793
1930	50	73737
1930	55	49384
1930	60	44304
1930	65	26185
1930	70	19776
1930	75	9697
1930	80	6793
1930	85	4951
1930	999	0
1940	0	76637
1940	1	237030
1940	5	321952
1940	10	306807
1940	15	256321
1940	20	218871
1940	25	204395
1940	30	177431
1940	35	155405
1940	40	136983
1940	45	109145
1940	50	86081
1940	55	68181
1940	60	55443
1940	65	32586
1940	70	22562
1940	75	11799
1940	80	6958
1940	85	5339
1940	999	0
1952	0	82935
1952	1	308782
1952	5	391881
1952	10	327460
1952	15	280970
1952	20	274266
1952	25	212215
1952	30	184985
1952	35	178592
1952	40	163224
1952	45	127157
1952	50	114318
1952	55	78935
1952	60	68718
1952	65	44294
1952	70	30729
1952	75	15390
1952	80	8884
1952	85	6125
1952	999	12698
1960	0	115009
1960	1	439787
1960	5	492442
1960	10	420881
1960	15	354554
1960	20	287637
1960	25	251833
1960	30	246879
1960	35	199965
1960	40	178478
1960	45	157143
1960	50	137561
1960	55	103319
1960	60	86342
1960	65	60615
1960	70	38032
1960	75	22740
1960	80	12116
1960	85	7474
1960	999	0
1970	0	100958
1970	1	466275
1970	5	624134
1970	10	559559
1970	15	446729
1970	20	370653
1970	25	301862
1970	30	249409
1970	35	247473
1970	40	223014
1970	45	172260
1970	50	149338
1970	55	127242
1970	60	105715
1970	65	79614
1970	70	53660
1970	75	31021
1970	80	16805
1970	85	17791
1970	999	0
1982	0	136320
1982	1	476216
1982	5	611321
1982	10	625818
1982	15	650336
1982	20	573439
1982	25	452697
1982	30	379660
1982	35	325923
1982	40	281269
1982	45	223679
1982	50	226382
1982	55	166328
1982	60	136383
1982	65	113267
1982	70	81507
1982	75	49380
1982	80	27574
1982	85	15910
1982	999	0
1992	0	146245
1992	1	596207
1992	5	632402
1992	10	625626
1992	15	616566
1992	20	599078
1992	25	600633
1992	30	554200
1992	35	452733
1992	40	373398
1992	45	313933
1992	50	262709
1992	55	208407
1992	60	197668
1992	65	141178
1992	70	99979
1992	75	67869
1992	80	40025
1992	85	24398
1992	999	0
2002	0	109655
2002	1	476344
2002	5	670674
2002	10	725364
2002	15	651713
2002	20	605430
2002	25	593539
2002	30	594484
2002	35	605957
2002	40	552928
2002	45	441756
2002	50	369400
2002	55	292402
2002	60	235497
2002	65	184208
2002	70	153908
2002	75	93489
2002	80	52730
2002	85	38217
2002	999	0
