Year	Age	Population
1912	0	104365
1912	1	323276
1912	5	384041
1912	10	346095
1912	15	285298
1912	20	228954
1912	25	199684
1912	30	164667
1912	35	136980
1912	40	116033
1912	45	73512
1912	50	71642
1912	55	39930
1912	60	46711
1912	65	19132
1912	70	18140
1912	75	8757
1912	80	9441
1912	85	8689
1912	999	48823
1918	0	110139
1918	1	308229
1918	5	351109
1918	10	311848
1918	15	281657
1918	20	256827
1918	25	241811
1918	30	202745
1918	35	171890
1918	40	149715
1918	45	100115
1918	50	97542
1918	55	54334
1918	60	65656
1918	65	30015
1918	70	28459
1918	75	13740
1918	80	14810
1918	85	13633
1918	999	224942
1928	0	136795
1928	1	434981
1928	5	505696
1928	10	437438
1928	15	395498
1928	20	353593
1928	25	318230
1928	30	482284
1928	40	322177
1928	50	197135
1928	60	124496
1928	70	54456
1928	80	34531
1928	999	147438
1938	0	144823
1938	1	521350
1938	5	616585
1938	10	521576
1938	15	471992
1938	20	414721
1938	25	357785
1938	30	266006
1938	35	264392
1938	40	205123
1938	45	149826
1938	50	141601
1938	55	77022
1938	60	97711
1938	65	40709
1938	70	43008
1938	75	17027
1938	80	20443
1938	85	15184
1938	999	2169
1951	0	200862
1951	1	720885
1951	5	768958
1951	10	657753
1951	15	605411
1951	20	550555
1951	25	447242
1951	30	337311
1951	35	334197
1951	40	239771
1951	45	196659
1951	50	175580
1951	55	105721
1951	60	116939
1951	65	63339
1951	70	57175
1951	75	27398
1951	80	24807
1951	85	18687
1951	999	0
1964	0	311725
1964	1	1211765
1964	5	1382217
1964	10	1120549
1964	15	929756
1964	20	746103
1964	25	616153
1964	30	530081
1964	35	481253
1964	40	358742
1964	45	300973
1964	50	256047
1964	55	164475
1964	60	176149
1964	65	97338
1964	70	80691
1964	75	44313
1964	80	33480
1964	85	28046
1964	999	0
1973	0	351525
1973	1	1384310
1973	5	1703875
1973	10	1595970
1973	15	1370283
1973	20	1073550
1973	25	815482
1973	30	659439
1973	35	593706
1973	40	501878
1973	45	407330
1973	50	331688
1973	55	252652
1973	60	199427
1973	65	143546
1973	70	101224
1973	75	60537
1973	80	32349
1973	85	28239
1973	999	0
1985	0	299184
1985	1	1353332
1985	5	1694262
1985	10	1586948
1985	15	1672504
1985	20	1560397
1985	25	1265155
1985	30	969476
1985	35	851686
1985	40	605027
1985	45	529154
1985	50	463996
1985	55	348464
1985	60	290918
1985	65	204696
1985	70	155240
1985	75	95398
1985	80	62445
1985	85	51950
1985	999	0
1993	0	319910
1993	1	1520569
1993	5	1873295
1993	10	1893376
1993	15	1687249
1993	20	1648276
1993	25	1557235
1993	30	1389435
1993	35	1159397
1993	40	871241
1993	45	673696
1993	50	579983
1993	55	441427
1993	60	409374
1993	65	279311
1993	70	216075
1993	75	136515
1993	80	88854
1993	85	68083
1993	999	0
2005	0	414572
2005	1	1588110
2005	5	2098224
2005	10	2124582
2005	15	1957898
2005	20	1858519
2005	25	1689774
2005	30	1516151
2005	35	1526649
2005	40	1427556
2005	45	1203070
2005	50	959039
2005	55	757925
2005	60	580157
2005	65	492178
2005	70	380753
2005	75	275830
2005	80	157029
2005	85	124251
2005	999	0
