Year	Age	Population
1912	0	94428
1912	1	277999
1912	5	333008
1912	10	317613
1912	15	262121
1912	20	232641
1912	25	191674
1912	30	153025
1912	35	133673
1912	40	107422
1912	45	73482
1912	50	64952
1912	55	40377
1912	60	45653
1912	65	20768
1912	70	16886
1912	75	9468
1912	80	9034
1912	85	8071
1912	999	45177
1918	0	106040
1918	1	305674
1918	5	355996
1918	10	318840
1918	15	242019
1918	20	233893
1918	25	218656
1918	30	178826
1918	35	159168
1918	40	130681
1918	45	91921
1918	50	80739
1918	55	49771
1918	60	57859
1918	65	27855
1918	70	22650
1918	75	12699
1918	80	12117
1918	85	10824
1918	999	209633
1928	0	142029
1928	1	457197
1928	5	540676
1928	10	476402
1928	15	364427
1928	20	351708
1928	25	307972
1928	30	482494
1928	40	319116
1928	50	191084
1928	60	119157
1928	70	47726
1928	80	26826
1928	999	148659
1938	0	146322
1938	1	525461
1938	5	629782
1938	10	547036
1938	15	421327
1938	20	406135
1938	25	334494
1938	30	264524
1938	35	266496
1938	40	199012
1938	45	153644
1938	50	136763
1938	55	78650
1938	60	87697
1938	65	40022
1938	70	34057
1938	75	15546
1938	80	13539
1938	85	9650
1938	999	2606
1951	0	209740
1951	1	741593
1951	5	794410
1951	10	684054
1951	15	545073
1951	20	532423
1951	25	409300
1951	30	342250
1951	35	317645
1951	40	248475
1951	45	193630
1951	50	183052
1951	55	110369
1951	60	107313
1951	65	61523
1951	70	45952
1951	75	23794
1951	80	16629
1951	85	12034
1951	999	0
1964	0	318769
1964	1	1243488
1964	5	1418522
1964	10	1148494
1964	15	836284
1964	20	671272
1964	25	549667
1964	30	500217
1964	35	443163
1964	40	359936
1964	45	291251
1964	50	262251
1964	55	167127
1964	60	163818
1964	65	92211
1964	70	68296
1964	75	39384
1964	80	23652
1964	85	16850
1964	999	0
1973	0	365118
1973	1	1431339
1973	5	1748326
1973	10	1598194
1973	15	1283429
1973	20	987405
1973	25	742606
1973	30	603510
1973	35	538822
1973	40	469602
1973	45	386687
1973	50	319296
1973	55	247175
1973	60	191928
1973	65	137541
1973	70	91583
1973	75	53666
1973	80	24764
1973	85	19054
1973	999	0
1985	0	312866
1985	1	1404540
1985	5	1750586
1985	10	1639319
1985	15	1582367
1985	20	1440203
1985	25	1151976
1985	30	937799
1985	35	813010
1985	40	619497
1985	45	514955
1985	50	455950
1985	55	345915
1985	60	287781
1985	65	195046
1985	70	150061
1985	75	89154
1985	80	50078
1985	85	36597
1985	999	0
1993	0	335257
1993	1	1579134
1993	5	1943375
1993	10	1947256
1993	15	1614187
1993	20	1508254
1993	25	1420298
1993	30	1303844
1993	35	1060353
1993	40	864685
1993	45	650119
1993	50	559518
1993	55	413838
1993	60	388860
1993	65	260405
1993	70	201401
1993	75	123908
1993	80	73107
1993	85	48740
1993	999	0
2005	0	442191
2005	1	1663988
2005	5	2197689
2005	10	2214464
2005	15	1975856
2005	20	1783320
2005	25	1590993
2005	30	1401139
2005	35	1392512
2005	40	1304948
2005	45	1088238
2005	50	876301
2005	55	692733
2005	60	524576
2005	65	428876
2005	70	321765
2005	75	228608
2005	80	121846
2005	85	86074
2005	999	0
