Year	Age	Population
1864	0	2428
1864	1	7455
1864	5	8661
1864	10	7151
1864	15	6509
1864	20	6442
1864	25	5599
1864	30	4643
1864	35	2906
1864	40	3108
1864	45	1872
1864	50	2150
1864	55	1009
1864	60	1222
1864	65	438
1864	70	403
1864	75	259
1864	80	67
1864	85	86
1864	999	0
1883	0	3506
1883	1	11193
1883	5	12711
1883	10	10470
1883	15	9487
1883	20	8962
1883	25	8077
1883	30	6882
1883	35	4686
1883	40	4610
1883	45	3003
1883	50	3159
1883	55	1735
1883	60	1676
1883	65	744
1883	70	642
1883	75	414
1883	80	160
1883	85	167
1883	999	0
1892	0	4348
1892	1	14438
1892	5	16688
1892	10	13865
1892	15	12450
1892	20	11764
1892	25	10838
1892	30	9520
1892	35	6283
1892	40	5878
1892	45	3817
1892	50	4032
1892	55	2084
1892	60	2145
1892	65	952
1892	70	755
1892	75	426
1892	80	231
1892	85	211
1892	999	0
1927	0	9065
1927	1	27736
1927	5	31193
1927	10	28912
1927	15	27168
1927	20	22279
1927	25	18537
1927	30	14457
1927	35	13312
1927	40	11428
1927	45	8265
1927	50	7218
1927	55	4415
1927	60	3943
1927	65	2086
1927	70	1843
1927	75	731
1927	80	513
1927	85	357
1927	999	0
1950	0	14810
1950	1	50344
1950	5	55367
1950	10	48555
1950	15	43826
1950	20	39386
1950	25	30491
1950	30	23705
1950	35	23930
1950	40	18074
1950	45	13966
1950	50	11853
1950	55	7827
1950	60	7248
1950	65	4420
1950	70	3227
1950	75	1768
1950	80	1147
1950	85	840
1950	999	232
1963	0	25189
1963	1	97389
1963	5	106945
1963	10	84384
1963	15	65999
1963	20	52929
1963	25	43523
1963	30	38603
1963	35	34244
1963	40	26665
1963	45	22466
1963	50	20480
1963	55	13315
1963	60	12622
1963	65	7840
1963	70	5790
1963	75	3652
1963	80	2323
1963	85	1847
1963	999	1112
1973	0	24640
1973	1	103049
1973	5	142049
1973	10	135910
1973	15	111410
1973	20	84944
1973	25	63136
1973	30	50431
1973	35	46532
1973	40	39615
1973	45	31752
1973	50	27314
1973	55	20168
1973	60	18998
1973	65	11980
1973	70	9773
1973	75	5426
1973	80	3410
1973	85	2708
1973	999	0
1984	0	32312
1984	1	125598
1984	5	141971
1984	10	133877
1984	15	139142
1984	20	132237
1984	25	107248
1984	30	84978
1984	35	66257
1984	40	51999
1984	45	42180
1984	50	38834
1984	55	30543
1984	60	25484
1984	65	18911
1984	70	15901
1984	75	9956
1984	80	6553
1984	85	4612
1984	999	0
2000	0	36694
2000	1	147603
2000	5	200761
2000	10	209552
2000	15	193502
2000	20	171049
2000	25	149345
2000	30	150361
2000	35	147652
2000	40	122409
2000	45	93306
2000	50	74297
2000	55	53393
2000	60	45053
2000	65	37095
2000	70	29876
2000	75	20183
2000	80	12899
2000	85	12535
2000	999	0
2011	0	32094
2011	1	133680
2011	5	168062
2011	10	191376
2011	15	203242
2011	20	207200
2011	25	194378
2011	30	172219
2011	35	149353
2011	40	146570
2011	45	139187
2011	50	122948
2011	55	96266
2011	60	72192
2011	65	53891
2011	70	40937
2011	75	30500
2011	80	21977
2011	85	19577
2011	999	0
