Year	Age	Population
1864	0	2394
1864	1	7561
1864	5	8603
1864	10	7666
1864	15	5766
1864	20	5490
1864	25	5191
1864	30	4105
1864	35	2717
1864	40	2447
1864	45	1641
1864	50	1828
1864	55	809
1864	60	1023
1864	65	339
1864	70	268
1864	75	142
1864	80	48
1864	85	53
1864	999	0
1883	0	3621
1883	1	11413
1883	5	12711
1883	10	11644
1883	15	8692
1883	20	8281
1883	25	7850
1883	30	6513
1883	35	4663
1883	40	4097
1883	45	2837
1883	50	2885
1883	55	1490
1883	60	1573
1883	65	662
1883	70	428
1883	75	239
1883	80	91
1883	85	99
1883	999	0
1892	0	4820
1892	1	15153
1892	5	16706
1892	10	14849
1892	15	11876
1892	20	11412
1892	25	11160
1892	30	9652
1892	35	6868
1892	40	5824
1892	45	3929
1892	50	3949
1892	55	2037
1892	60	2085
1892	65	913
1892	70	593
1892	75	347
1892	80	147
1892	85	160
1892	999	0
1927	0	9130
1927	1	27755
1927	5	31774
1927	10	29431
1927	15	25090
1927	20	21629
1927	25	18075
1927	30	14828
1927	35	14114
1927	40	12996
1927	45	9587
1927	50	7947
1927	55	5378
1927	60	4452
1927	65	2456
1927	70	1757
1927	75	791
1927	80	478
1927	85	345
1927	999	0
1950	0	15453
1950	1	52034
1950	5	56789
1950	10	49734
1950	15	40418
1950	20	37671
1950	25	28647
1950	30	23851
1950	35	22906
1950	40	18310
1950	45	14140
1950	50	12313
1950	55	7889
1950	60	7667
1950	65	4716
1950	70	3331
1950	75	1860
1950	80	1073
1950	85	719
1950	999	342
1963	0	25986
1963	1	100383
1963	5	110331
1963	10	86058
1963	15	63919
1963	20	50503
1963	25	41310
1963	30	38490
1963	35	33321
1963	40	26889
1963	45	22758
1963	50	20975
1963	55	13384
1963	60	12864
1963	65	7351
1963	70	6064
1963	75	3758
1963	80	2184
1963	85	1441
1963	999	988
1973	0	25497
1973	1	105753
1973	5	146964
1973	10	140604
1973	15	111235
1973	20	82173
1973	25	60636
1973	30	50311
1973	35	44296
1973	40	39879
1973	45	32040
1973	50	27091
1973	55	20233
1973	60	19117
1973	65	12036
1973	70	9863
1973	75	5126
1973	80	3285
1973	85	2396
1973	999	0
1984	0	34058
1984	1	130854
1984	5	147697
1984	10	138131
1984	15	139708
1984	20	129097
1984	25	103263
1984	30	83531
1984	35	63882
1984	40	52078
1984	45	41712
1984	50	37652
1984	55	29826
1984	60	24688
1984	65	17876
1984	70	15194
1984	75	9382
1984	80	5960
1984	85	3627
1984	999	0
2000	0	38361
2000	1	153926
2000	5	210443
2000	10	219467
2000	15	198561
2000	20	171679
2000	25	146407
2000	30	146377
2000	35	141138
2000	40	118853
2000	45	90323
2000	50	71727
2000	55	51519
2000	60	43089
2000	65	34555
2000	70	27765
2000	75	18130
2000	80	10669
2000	85	9625
2000	999	0
2011	0	33589
2011	1	139354
2011	5	173995
2011	10	195680
2011	15	201934
2011	20	203280
2011	25	184046
2011	30	160678
2011	35	138718
2011	40	136344
2011	45	128560
2011	50	112308
2011	55	87315
2011	60	65432
2011	65	49637
2011	70	37117
2011	75	26038
2011	80	18177
2011	85	13861
2011	999	0
