Year	Age	Population
1841	0	155319
1841	16	259778
1841	61	8430
1841	999	0
1861	0	18532
1861	1	113412
1861	8	104084
1861	16	67918
1861	21	59301
1861	26	63161
1861	31	74161
1861	41	46107
1861	51	27822
1861	61	13090
1861	71	5397
1861	81	1189
1861	86	1721
1861	999	0
1877	0	18315
1877	1	53532
1877	5	100819
1877	10	79448
1877	15	75821
1877	20	68887
1877	25	66059
1877	30	49950
1877	35	39589
1877	40	32145
1877	45	22367
1877	50	22539
1877	55	12356
1877	60	13290
1877	65	5061
1877	70	5033
1877	75	1943
1877	80	2045
1877	85	1960
1877	999	5
1887	0	17586
1887	1	57288
1887	5	111707
1887	10	94595
1887	15	87294
1887	20	75631
1887	25	70312
1887	30	55223
1887	35	44525
1887	40	36453
1887	45	25453
1887	50	25572
1887	55	13998
1887	60	15330
1887	65	5894
1887	70	5714
1887	75	2174
1887	80	2301
1887	85	2022
1887	999	15
1899	0	12011
1899	1	52963
1899	5	111323
1899	10	107650
1899	15	93689
1899	20	73951
1899	25	64199
1899	30	54789
1899	35	45715
1899	40	38036
1899	45	26727
1899	50	26705
1899	55	14575
1899	60	16508
1899	65	6458
1899	70	5971
1899	75	2213
1899	80	2368
1899	85	1713
1899	999	28
1907	0	31931
1907	1	137064
1907	5	110942
1907	10	87993
1907	15	119160
1907	20	108658
1907	25	84516
1907	30	60376
1907	35	53470
1907	40	48149
1907	45	34914
1907	50	32744
1907	55	17528
1907	60	19976
1907	65	8614
1907	70	8194
1907	75	3420
1907	80	3404
1907	85	2734
1907	999	311
1919	0	37001
1919	1	164897
1919	5	214934
1919	10	185620
1919	15	146992
1919	20	89401
1919	25	110949
1919	30	93726
1919	35	80018
1919	40	55717
1919	45	44292
1919	50	42255
1919	55	26485
1919	60	26191
1919	65	12977
1919	70	11041
1919	75	5700
1919	80	5363
1919	85	4422
1919	999	514
1931	0	50323
1931	1	209188
1931	5	251064
1931	10	184025
1931	15	266786
1931	20	179890
1931	25	179905
1931	30	97051
1931	35	94505
1931	40	80287
1931	45	83087
1931	50	42775
1931	55	46803
1931	60	30246
1931	65	24662
1931	70	12156
1931	75	13504
1931	80	4456
1931	85	9011
1931	999	0
1943	0	54886
1943	1	250609
1943	5	280109
1943	10	210135
1943	15	278735
1943	20	243536
1943	25	202492
1943	30	173034
1943	35	149867
1943	40	96966
1943	45	75291
1943	50	79091
1943	55	62008
1943	60	46453
1943	65	27105
1943	70	19589
1943	75	13032
1943	80	9001
1943	85	7834
1943	999	0
1953	0	68028
1953	1	292877
1953	5	349174
1953	10	327528
1953	15	288500
1953	20	257050
1953	25	230288
1953	30	200586
1953	35	193106
1953	40	163916
1953	45	133121
1953	50	89350
1953	55	63377
1953	60	68984
1953	65	48296
1953	70	30565
1953	75	16704
1953	80	10698
1953	85	10582
1953	999	1144
1970	0	114247
1970	1	464312
1970	5	571240
1970	10	395988
1970	15	377646
1970	20	356491
1970	25	320165
1970	30	274785
1970	35	230185
1970	40	212210
1970	45	182986
1970	50	167410
1970	55	152539
1970	60	121896
1970	65	101283
1970	70	40123
1970	75	40336
1970	80	28596
1970	85	23713
1970	999	0
1981	0	64394
1981	1	283210
1981	5	511396
1981	10	578778
1981	15	572881
1981	20	401668
1981	25	362042
1981	30	348142
1981	35	312290
1981	40	267259
1981	45	221647
1981	50	196024
1981	55	171245
1981	60	154139
1981	65	132502
1981	70	104121
1981	75	72757
1981	80	26260
1981	85	27977
1981	999	0
2002	0	67452
2002	1	281070
2002	5	350719
2002	10	416903
2002	15	392532
2002	20	322238
2002	25	438560
2002	30	532853
2002	35	562744
2002	40	412931
2002	45	338040
2002	50	322756
2002	55	288121
2002	60	240867
2002	65	188033
2002	70	150219
2002	75	116957
2002	80	81634
2002	85	75881
2002	999	0
2012	0	63785
2012	1	239985
2012	5	288427
2012	10	341019
2012	15	340140
2012	20	399702
2012	25	366768
2012	30	305141
2012	35	417242
2012	40	510284
2012	45	529712
2012	50	395691
2012	55	321940
2012	60	290374
2012	65	250494
2012	70	198274
2012	75	140936
2012	80	97603
2012	85	98983
2012	999	0
