Year	Age	Population
1841	0	171120
1841	16	398043
1841	61	14934
1841	999	0
1861	0	19564
1861	1	120105
1861	8	118339
1861	16	85123
1861	21	95709
1861	26	101135
1861	31	117590
1861	41	71192
1861	51	40334
1861	61	19422
1861	71	7977
1861	81	1686
1861	86	2459
1861	999	0
1877	0	18752
1877	1	55401
1877	5	108242
1877	10	90319
1877	15	83697
1877	20	96648
1877	25	98042
1877	30	73372
1877	35	58050
1877	40	48102
1877	45	32896
1877	50	29924
1877	55	18400
1877	60	17281
1877	65	7315
1877	70	6562
1877	75	2583
1877	80	2418
1877	85	2501
1877	999	15
1887	0	17352
1887	1	57732
1887	5	116309
1887	10	103047
1887	15	88342
1887	20	95375
1887	25	94246
1887	30	73864
1887	35	59594
1887	40	50406
1887	45	34742
1887	50	31847
1887	55	19653
1887	60	18420
1887	65	7791
1887	70	6639
1887	75	2557
1887	80	2385
1887	85	2269
1887	999	30
1899	0	12134
1899	1	53770
1899	5	114786
1899	10	112399
1899	15	84346
1899	20	79008
1899	25	73206
1899	30	64023
1899	35	53849
1899	40	47456
1899	45	33212
1899	50	30884
1899	55	19184
1899	60	17915
1899	65	7563
1899	70	5820
1899	75	2131
1899	80	1972
1899	85	1490
1899	999	57
1907	0	32668
1907	1	140989
1907	5	113813
1907	10	92793
1907	15	116819
1907	20	125295
1907	25	100051
1907	30	74971
1907	35	64472
1907	40	60019
1907	45	44886
1907	50	37509
1907	55	22166
1907	60	21275
1907	65	9670
1907	70	8291
1907	75	3600
1907	80	2908
1907	85	2310
1907	999	377
1919	0	37917
1919	1	170443
1919	5	221841
1919	10	191386
1919	15	149477
1919	20	110113
1919	25	127873
1919	30	122429
1919	35	105157
1919	40	75666
1919	45	60677
1919	50	50605
1919	55	34488
1919	60	31239
1919	65	15791
1919	70	10713
1919	75	5909
1919	80	4361
1919	85	3808
1919	999	616
1931	0	53046
1931	1	216001
1931	5	258185
1931	10	190097
1931	15	255426
1931	20	214000
1931	25	214000
1931	30	130574
1931	35	133321
1931	40	110850
1931	45	109050
1931	50	57806
1931	55	57146
1931	60	31280
1931	65	34665
1931	70	13680
1931	75	13269
1931	80	4125
1931	85	6099
1931	999	0
1943	0	57223
1943	1	265837
1943	5	294485
1943	10	223524
1943	15	279900
1943	20	240493
1943	25	208112
1943	30	180859
1943	35	189282
1943	40	138537
1943	45	90906
1943	50	105882
1943	55	80480
1943	60	60144
1943	65	32949
1943	70	21895
1943	75	13234
1943	80	8184
1943	85	6884
1943	999	0
1953	0	70660
1953	1	305460
1953	5	363601
1953	10	340337
1953	15	269425
1953	20	264115
1953	25	223280
1953	30	203407
1953	35	190311
1953	40	182827
1953	45	159660
1953	50	120788
1953	55	75951
1953	60	83085
1953	65	57266
1953	70	36469
1953	75	18515
1953	80	10057
1953	85	8385
1953	999	1556
1970	0	119381
1970	1	486509
1970	5	597646
1970	10	416588
1970	15	390162
1970	20	365458
1970	25	332441
1970	30	287132
1970	35	234383
1970	40	215870
1970	45	191232
1970	50	179344
1970	55	161984
1970	60	141828
1970	65	127450
1970	70	51610
1970	75	43486
1970	80	28891
1970	85	21575
1970	999	0
1981	0	68363
1981	1	297778
1981	5	534639
1981	10	609712
1981	15	589336
1981	20	403787
1981	25	356864
1981	30	344791
1981	35	309845
1981	40	270245
1981	45	220190
1981	50	198660
1981	55	173421
1981	60	158759
1981	65	135530
1981	70	108086
1981	75	80083
1981	80	30290
1981	85	24494
1981	999	0
2002	0	70970
2002	1	297937
2002	5	369929
2002	10	441368
2002	15	415264
2002	20	343061
2002	25	456825
2002	30	543718
2002	35	558791
2002	40	403823
2002	45	324157
2002	50	312153
2002	55	273566
2002	60	234429
2002	65	180819
2002	70	141435
2002	75	104192
2002	80	68054
2002	85	56742
2002	999	0
2012	0	67634
2012	1	253788
2012	5	305672
2012	10	362252
2012	15	363986
2012	20	426956
2012	25	388961
2012	30	318339
2012	35	421389
2012	40	504738
2012	45	511501
2012	50	378808
2012	55	302073
2012	60	274261
2012	65	230423
2012	70	182623
2012	75	123987
2012	80	82067
2012	85	71367
2012	999	0
