Year	Age	Population
1920	0	30188
1920	2	75152
1920	7	97156
1920	15	64972
1920	21	166999
1920	61	13814
1920	999	0
1935	0	26010
1935	1	95343
1935	5	119745
1935	10	93969
1935	15	79185
1935	20	69890
1935	25	57532
1935	30	41490
1935	35	37466
1935	40	28739
1935	45	19598
1935	50	18087
1935	55	9458
1935	60	11898
1935	65	5273
1935	70	6595
1935	75	2681
1935	80	3080
1935	85	2674
1935	999	0
1950	0	39053
1950	1	147405
1950	5	147061
1950	10	135179
1950	15	124194
1950	20	109241
1950	25	79196
1950	30	60011
1950	35	55494
1950	40	42978
1950	45	30621
1950	50	28908
1950	55	14894
1950	60	18760
1950	65	8688
1950	70	9628
1950	75	4073
1950	80	4725
1950	85	4979
1950	999	42
1960	0	56050
1960	1	220620
1960	5	240700
1960	10	190390
1960	15	152880
1960	20	135280
1960	25	109230
1960	30	92640
1960	35	73680
1960	40	58070
1960	45	44750
1960	50	41940
1960	55	21920
1960	60	28620
1960	65	12400
1960	70	12900
1960	75	19179
1960	999	0
1970	0	66150
1970	1	269900
1970	5	327023
1970	10	285516
1970	15	233589
1970	20	172139
1970	25	127215
1970	30	106070
1970	35	104765
1970	40	81297
1970	45	57991
1970	50	51368
1970	55	29861
1970	60	34050
1970	65	18101
1970	70	18889
1970	75	7643
1970	80	8578
1970	85	8489
1970	999	0
1981	0	70030
1981	1	307690
1981	5	364261
1981	10	361808
1981	15	352388
1981	20	279229
1981	25	217447
1981	30	169327
1981	35	137379
1981	40	112191
1981	45	93483
1981	50	84936
1981	55	53674
1981	60	48217
1981	65	33752
1981	70	26385
1981	75	15210
1981	80	12940
1981	85	11510
1981	999	0
1993	0	92426
1993	1	375548
1993	5	414333
1993	10	423375
1993	15	404780
1993	20	406111
1993	25	339857
1993	30	284206
1993	35	221877
1993	40	178955
1993	45	134722
1993	50	119256
1993	55	86606
1993	60	87450
1993	65	56060
1993	70	45910
1993	75	25817
1993	80	21797
1993	85	23507
1993	999	0
2002	0	101796
2002	1	376964
2002	5	479036
2002	10	473456
2002	15	420150
2002	20	398405
2002	25	356258
2002	30	327792
2002	35	303033
2002	40	236472
2002	45	191740
2002	50	164411
2002	55	118142
2002	60	103309
2002	65	80965
2002	70	67588
2002	75	40062
2002	80	28326
2002	85	29316
2002	999	105
2010	0	96093
2010	1	344203
2010	5	462065
2010	10	480870
2010	15	492340
2010	20	436308
2010	25	381541
2010	30	354597
2010	35	318909
2010	40	288530
2010	45	249509
2010	50	200006
2010	55	161453
2010	60	135188
2010	65	93917
2010	70	80587
2010	75	53911
2010	80	40473
2010	85	35743
2010	999	0
