Year	Age	Population
1920	0	30197
1920	2	78330
1920	7	103387
1920	15	56601
1920	21	161233
1920	61	15636
1920	999	0
1935	0	26768
1935	1	97780
1935	5	123762
1935	10	102425
1935	15	73816
1935	20	63877
1935	25	58664
1935	30	44866
1935	35	41887
1935	40	32528
1935	45	22907
1935	50	17639
1935	55	9946
1935	60	13289
1935	65	6348
1935	70	5951
1935	75	2763
1935	80	2905
1935	85	2583
1935	999	0
1950	0	39511
1950	1	149872
1950	5	150704
1950	10	141661
1950	15	101552
1950	20	105152
1950	25	77620
1950	30	59618
1950	35	60137
1950	40	47813
1950	45	36551
1950	50	30712
1950	55	21049
1950	60	19716
1950	65	9502
1950	70	8176
1950	75	3941
1950	80	3697
1950	85	3711
1950	999	47
1960	0	56920
1960	1	226140
1960	5	246630
1960	10	203450
1960	15	133160
1960	20	121410
1960	25	103990
1960	30	94730
1960	35	77500
1960	40	65870
1960	45	51660
1960	50	47100
1960	55	28920
1960	60	32390
1960	65	14250
1960	70	14060
1960	75	17640
1960	999	0
1970	0	69484
1970	1	273812
1970	5	330644
1970	10	286289
1970	15	210537
1970	20	156923
1970	25	116822
1970	30	104141
1970	35	102489
1970	40	91178
1970	45	63084
1970	50	58133
1970	55	35669
1970	60	38924
1970	65	20046
1970	70	20450
1970	75	7690
1970	80	7881
1970	85	6628
1970	999	0
1981	0	75362
1981	1	318739
1981	5	375487
1981	10	367442
1981	15	336943
1981	20	270387
1981	25	210348
1981	30	170580
1981	35	136508
1981	40	118124
1981	45	97254
1981	50	94862
1981	55	61361
1981	60	55839
1981	65	38679
1981	70	29424
1981	75	16053
1981	80	11886
1981	85	8606
1981	999	0
1993	0	93470
1993	1	385402
1993	5	423738
1993	10	414916
1993	15	373287
1993	20	365523
1993	25	307987
1993	30	257610
1993	35	199222
1993	40	167005
1993	45	126370
1993	50	113100
1993	55	82439
1993	60	83768
1993	65	52805
1993	70	42262
1993	75	23480
1993	80	18069
1993	85	20346
1993	999	0
2002	0	105023
2002	1	389861
2002	5	492845
2002	10	485882
2002	15	418089
2002	20	387397
2002	25	331527
2002	30	318320
2002	35	287717
2002	40	240175
2002	45	188288
2002	50	166302
2002	55	115834
2002	60	104624
2002	65	77400
2002	70	68480
2002	75	37809
2002	80	26076
2002	85	23418
2002	999	148
2010	0	99067
2010	1	357343
2010	5	476395
2010	10	492891
2010	15	490883
2010	20	440626
2010	25	384692
2010	30	358475
2010	35	317814
2010	40	291868
2010	45	249950
2010	50	203683
2010	55	159507
2010	60	133341
2010	65	92388
2010	70	76743
2010	75	49317
2010	80	36237
2010	85	27818
2010	999	0
