Year	Age	Population
1950	0	58358
1950	1	204244
1950	5	223574
1950	10	178260
1950	15	159985
1950	20	148408
1950	25	125936
1950	30	95882
1950	35	94569
1950	40	72679
1950	45	59375
1950	50	52809
1950	55	33529
1950	60	36983
1950	65	18880
1950	70	18957
1950	75	8707
1950	80	9534
1950	85	6889
1950	999	396
1962	0	73272
1962	1	303101
1962	5	343519
1962	10	268676
1962	15	220879
1962	20	195263
1962	25	168431
1962	30	134194
1962	35	121835
1962	40	95175
1962	45	78261
1962	50	68263
1962	55	43580
1962	60	49203
1962	65	23517
1962	70	22969
1962	75	10824
1962	80	10876
1962	85	7693
1962	999	0
1974	0	108803
1974	1	407320
1974	5	485265
1974	10	430397
1974	15	353780
1974	20	295702
1974	25	225738
1974	30	180190
1974	35	164258
1974	40	139074
1974	45	109861
1974	50	93853
1974	55	66563
1974	60	70594
1974	65	41938
1974	70	39813
1974	75	19295
1974	80	16721
1974	85	14132
1974	999	0
1982	0	119056
1982	1	484131
1982	5	551779
1982	10	510191
1982	15	439920
1982	20	398225
1982	25	313235
1982	30	249852
1982	35	205263
1982	40	170105
1982	45	137965
1982	50	124162
1982	55	85487
1982	60	81255
1982	65	53659
1982	70	47929
1982	75	28397
1982	80	22309
1982	85	16758
1982	999	0
1990	0	116162
1990	1	493925
1990	5	621149
1990	10	602499
1990	15	529132
1990	20	474431
1990	25	407834
1990	30	339424
1990	35	288075
1990	40	221314
1990	45	176354
1990	50	148177
1990	55	113214
1990	60	102714
1990	65	70622
1990	70	55913
1990	75	38085
1990	80	28215
1990	85	24538
1990	999	0
2001	0	117209
2001	1	541075
2001	5	672998
2001	10	661768
2001	15	623444
2001	20	597619
2001	25	490086
2001	30	439699
2001	35	400038
2001	40	341694
2001	45	274013
2001	50	232592
2001	55	171351
2001	60	149734
2001	65	126536
2001	70	99585
2001	75	73894
2001	80	52370
2001	85	89883
2001	999	0
2010	0	127774
2010	1	590198
2010	5	752916
2010	10	756365
2010	15	705989
2010	20	652986
2010	25	613614
2010	30	546398
2010	35	482524
2010	40	419772
2010	45	383693
2010	50	311404
2010	55	262787
2010	60	204345
2010	65	167013
2010	70	123888
2010	75	86616
2010	80	62395
2010	85	55139
2010	999	0
