Year	Age	Population
1950	0	59440
1950	1	211196
1950	5	231445
1950	10	193173
1950	15	157523
1950	20	140290
1950	25	118829
1950	30	93613
1950	35	91106
1950	40	68455
1950	45	55236
1950	50	56494
1950	55	34425
1950	60	32558
1950	65	17505
1950	70	14506
1950	75	7242
1950	80	6569
1950	85	4747
1950	999	451
1962	0	73311
1962	1	312976
1962	5	354566
1962	10	285084
1962	15	214241
1962	20	183267
1962	25	156692
1962	30	135623
1962	35	116382
1962	40	97178
1962	45	77273
1962	50	69356
1962	55	44672
1962	60	47975
1962	65	23611
1962	70	20361
1962	75	10090
1962	80	8094
1962	85	5724
1962	999	0
1974	0	110976
1974	1	416489
1974	5	496003
1974	10	444997
1974	15	349436
1974	20	285006
1974	25	218275
1974	30	180233
1974	35	156986
1974	40	140305
1974	45	109588
1974	50	95706
1974	55	68394
1974	60	68210
1974	65	40728
1974	70	37608
1974	75	17448
1974	80	12163
1974	85	9862
1974	999	0
1982	0	121947
1982	1	498049
1982	5	565242
1982	10	525017
1982	15	436866
1982	20	378881
1982	25	299311
1982	30	247544
1982	35	197114
1982	40	171504
1982	45	134039
1982	50	123853
1982	55	86500
1982	60	80060
1982	65	52221
1982	70	45894
1982	75	26898
1982	80	18510
1982	85	11584
1982	999	0
1990	0	125041
1990	1	518042
1990	5	640766
1990	10	621640
1990	15	509519
1990	20	442431
1990	25	381690
1990	30	326363
1990	35	275066
1990	40	220641
1990	45	174680
1990	50	146771
1990	55	112454
1990	60	100498
1990	65	69678
1990	70	53350
1990	75	36471
1990	80	23390
1990	85	17921
1990	999	0
2001	0	120000
2001	1	558576
2001	5	689123
2001	10	679271
2001	15	617087
2001	20	571018
2001	25	457309
2001	30	423372
2001	35	374505
2001	40	332177
2001	45	264970
2001	50	230263
2001	55	168060
2001	60	143933
2001	65	117495
2001	70	95101
2001	75	69055
2001	80	45092
2001	85	76556
2001	999	0
2010	0	132183
2010	1	612122
2010	5	773890
2010	10	782977
2010	15	713548
2010	20	639140
2010	25	586950
2010	30	520891
2010	35	456202
2010	40	399230
2010	45	366448
2010	50	298728
2010	55	253106
2010	60	196414
2010	65	156804
2010	70	116203
2010	75	78602
2010	80	53157
2010	85	41088
2010	999	0
