Year	Age	Population
1930	0	21859
1930	1	80839
1930	5	95142
1930	10	83328
1930	15	81126
1930	20	75902
1930	25	58971
1930	30	46674
1930	35	46841
1930	40	32349
1930	45	24952
1930	50	24476
1930	55	14087
1930	60	12818
1930	65	6851
1930	70	4328
1930	75	2466
1930	80	4572
1930	999	0
1950	0	33725
1950	1	109173
1950	5	123673
1950	10	107686
1950	15	101760
1950	20	93297
1950	25	73857
1950	30	57394
1950	35	57598
1950	40	45161
1950	45	34833
1950	50	32325
1950	55	18603
1950	60	19062
1950	65	10189
1950	70	7577
1950	75	4317
1950	80	3609
1950	85	3088
1950	999	521
1961	0	48104
1961	1	165941
1961	5	190194
1961	10	149507
1961	15	125014
1961	20	113466
1961	25	91644
1961	30	77695
1961	35	72921
1961	40	56930
1961	45	46195
1961	50	38608
1961	55	26148
1961	60	29267
1961	65	14961
1961	70	11203
1961	75	6901
1961	80	4870
1961	85	4419
1961	999	268
1971	0	64001
1971	1	232628
1971	5	285232
1971	10	230068
1971	15	184258
1971	20	152901
1971	25	120741
1971	30	100631
1971	35	95422
1971	40	76661
1971	45	62773
1971	50	50561
1971	55	36146
1971	60	34099
1971	65	23128
1971	70	19472
1971	75	9790
1971	80	6839
1971	85	6028
1971	999	79
1992	0	60671
1992	1	262840
1992	5	316130
1992	10	329787
1992	15	300896
1992	20	260361
1992	25	212172
1992	30	173023
1992	35	141865
1992	40	120468
1992	45	96591
1992	50	87119
1992	55	67690
1992	60	64735
1992	65	46742
1992	70	36497
1992	75	23900
1992	80	16660
1992	85	14839
1992	999	0
2007	0	50097
2007	1	222524
2007	5	335577
2007	10	346824
2007	15	302181
2007	20	258541
2007	25	250927
2007	30	223849
2007	35	196633
2007	40	171413
2007	45	142165
2007	50	120459
2007	55	101357
2007	60	83657
2007	65	69376
2007	70	54008
2007	75	42326
2007	80	26469
2007	85	26359
2007	999	0
