Year	Age	Population
1930	0	22533
1930	1	81510
1930	5	98689
1930	10	93102
1930	15	74631
1930	20	68959
1930	25	55808
1930	30	48473
1930	35	47854
1930	40	32556
1930	45	25202
1930	50	23542
1930	55	13273
1930	60	13676
1930	65	7478
1930	70	3848
1930	75	2395
1930	80	3251
1930	999	0
1950	0	35409
1950	1	110747
1950	5	126505
1950	10	116483
1950	15	97083
1950	20	83841
1950	25	66466
1950	30	55035
1950	35	54330
1950	40	44370
1950	45	34348
1950	50	30923
1950	55	17436
1950	60	18719
1950	65	10236
1950	70	6903
1950	75	4295
1950	80	2647
1950	85	2008
1950	999	685
1961	0	49142
1961	1	168471
1961	5	193359
1961	10	159798
1961	15	117234
1961	20	101363
1961	25	80859
1961	30	73035
1961	35	66101
1961	40	54866
1961	45	43711
1961	50	37236
1961	55	24765
1961	60	28808
1961	65	14196
1961	70	10265
1961	75	6255
1961	80	3829
1961	85	2923
1961	999	512
1971	0	64196
1971	1	236482
1971	5	296365
1971	10	241719
1971	15	175330
1971	20	143311
1971	25	109384
1971	30	99080
1971	35	90687
1971	40	74454
1971	45	58998
1971	50	47725
1971	55	33863
1971	60	33825
1971	65	21069
1971	70	18279
1971	75	8978
1971	80	5269
1971	85	4170
1971	999	6
1992	0	61717
1992	1	272991
1992	5	330236
1992	10	345974
1992	15	289109
1992	20	222909
1992	25	182278
1992	30	152015
1992	35	123135
1992	40	108873
1992	45	87323
1992	50	76260
1992	55	57639
1992	60	58177
1992	65	40044
1992	70	32672
1992	75	20274
1992	80	13477
1992	85	10510
1992	999	0
2007	0	51787
2007	1	231485
2007	5	349150
2007	10	359523
2007	15	298384
2007	20	228001
2007	25	206963
2007	30	178400
2007	35	156514
2007	40	132218
2007	45	109957
2007	50	95275
2007	55	81718
2007	60	68207
2007	65	55781
2007	70	43449
2007	75	33658
2007	80	20401
2007	85	18500
2007	999	0
