Year	Age	Population
1921	0	29364
1921	1	120306
1921	5	57273
1921	7	162870
1921	14	83371
1921	18	80782
1921	21	171783
1921	30	128583
1921	40	83211
1921	50	50263
1921	60	26547
1921	70	10946
1921	80	7705
1921	999	0
1940	0	52006
1940	1	201428
1940	5	236567
1940	10	203879
1940	15	174049
1940	20	134530
1940	25	126912
1940	30	104035
1940	35	94933
1940	40	77319
1940	45	59511
1940	50	45786
1940	55	32936
1940	60	33532
1940	65	16515
1940	70	10730
1940	75	5890
1940	80	6530
1940	85	4364
1940	999	1709
1950	0	50298
1950	1	179973
1950	5	185497
1950	10	156362
1950	15	156319
1950	20	141711
1950	25	109844
1950	30	78469
1950	35	77753
1950	40	60875
1950	45	51369
1950	50	43157
1950	55	27576
1950	60	26395
1950	65	12599
1950	70	8907
1950	75	5205
1950	80	4709
1950	85	3075
1950	999	0
1964	0	78355
1964	1	291636
1964	5	322634
1964	10	261817
1964	15	219078
1964	20	176927
1964	25	150832
1964	30	133492
1964	35	119741
1964	40	90277
1964	45	68441
1964	50	60263
1964	55	41345
1964	60	42079
1964	65	23016
1964	70	16170
1964	75	9111
1964	80	5983
1964	85	4168
1964	999	176
1973	0	106434
1973	1	324372
1973	5	382669
1973	10	329722
1973	15	285590
1973	20	239281
1973	25	178339
1973	30	141369
1973	35	137312
1973	40	113387
1973	45	91113
1973	50	71672
1973	55	48110
1973	60	46375
1973	65	28047
1973	70	21913
1973	75	11845
1973	80	7636
1973	85	5771
1973	999	0
1981	0	115925
1981	1	406398
1981	5	445236
1981	10	370561
1981	15	335000
1981	20	286013
1981	25	222113
1981	30	175961
1981	35	153032
1981	40	121845
1981	45	103665
1981	50	91083
1981	55	62537
1981	60	54731
1981	65	35032
1981	70	25161
1981	75	15640
1981	80	10553
1981	85	7915
1981	999	0
1994	0	131118
1994	1	514355
1994	5	605245
1994	10	551559
1994	15	467059
1994	20	376270
1994	25	293119
1994	30	266588
1994	35	231835
1994	40	190567
1994	45	146598
1994	50	118526
1994	55	89404
1994	60	83866
1994	65	60175
1994	70	43306
1994	75	26923
1994	80	18166
1994	85	13625
1994	999	0
2002	0	149551
2002	1	661780
2002	5	808792
2002	10	727954
2002	15	615665
2002	20	546574
2002	25	418168
2002	30	348395
2002	35	307805
2002	40	267327
2002	45	214110
2002	50	188334
2002	55	126537
2002	60	107837
2002	65	82507
2002	70	68502
2002	75	46382
2002	80	28613
2002	85	25524
2002	999	0
