Year	Age	Population
1921	0	29505
1921	1	123968
1921	5	59148
1921	7	175264
1921	14	80646
1921	18	68895
1921	21	157424
1921	30	125940
1921	40	77987
1921	50	48668
1921	60	26714
1921	70	10065
1921	80	7672
1921	999	0
1940	0	53070
1940	1	207424
1940	5	249612
1940	10	227028
1940	15	168402
1940	20	142411
1940	25	119572
1940	30	101527
1940	35	94343
1940	40	79391
1940	45	63045
1940	50	44072
1940	55	33335
1940	60	33961
1940	65	18590
1940	70	9262
1940	75	5430
1940	80	4512
1940	85	3580
1940	999	1481
1950	0	52784
1950	1	186727
1950	5	195380
1950	10	172596
1950	15	150294
1950	20	135014
1950	25	109588
1950	30	84738
1950	35	78442
1950	40	57043
1950	45	53262
1950	50	41767
1950	55	30955
1950	60	27825
1950	65	14607
1950	70	8158
1950	75	5254
1950	80	3521
1950	85	2820
1950	999	0
1964	0	80260
1964	1	298302
1964	5	335228
1964	10	281163
1964	15	219212
1964	20	175012
1964	25	148013
1964	30	137209
1964	35	120967
1964	40	95745
1964	45	75013
1964	50	59428
1964	55	42748
1964	60	44831
1964	65	24749
1964	70	15795
1964	75	9527
1964	80	5135
1964	85	3717
1964	999	402
1973	0	108876
1973	1	330695
1973	5	395066
1973	10	348438
1973	15	274689
1973	20	230991
1973	25	168921
1973	30	141113
1973	35	131001
1973	40	116391
1973	45	93389
1973	50	75332
1973	55	51555
1973	60	48651
1973	65	28192
1973	70	22301
1973	75	11911
1973	80	6744
1973	85	5008
1973	999	0
1981	0	120080
1981	1	415127
1981	5	456308
1981	10	386093
1981	15	313602
1981	20	261727
1981	25	205198
1981	30	174668
1981	35	145331
1981	40	124140
1981	45	102139
1981	50	92094
1981	55	64923
1981	60	61090
1981	65	35835
1981	70	25260
1981	75	15538
1981	80	9952
1981	85	6721
1981	999	0
1994	0	136265
1994	1	530324
1994	5	624183
1994	10	573143
1994	15	442844
1994	20	331551
1994	25	259481
1994	30	244727
1994	35	207715
1994	40	178540
1994	45	137409
1994	50	112564
1994	55	86280
1994	60	82869
1994	65	59642
1994	70	42091
1994	75	25848
1994	80	16555
1994	85	11181
1994	999	0
2002	0	152427
2002	1	673822
2002	5	823359
2002	10	752336
2002	15	593004
2002	20	477304
2002	25	353947
2002	30	304065
2002	35	267356
2002	40	246111
2002	45	196300
2002	50	179606
2002	55	122787
2002	60	107876
2002	65	80759
2002	70	68677
2002	75	45653
2002	80	28678
2002	85	22772
2002	999	0
