Year	Age	Population
1930	0	14162
1930	1	54819
1930	5	60476
1930	10	48354
1930	15	46810
1930	20	43399
1930	25	34556
1930	30	29741
1930	35	23156
1930	40	19491
1930	45	14213
1930	50	12596
1930	55	8564
1930	60	7950
1930	65	3838
1930	70	2549
1930	75	1314
1930	80	1146
1930	85	815
1930	999	1911
1935	0	18723
1935	1	60484
1935	5	64395
1935	10	53638
1935	15	48464
1935	20	48127
1935	25	44320
1935	30	31152
1935	35	24930
1935	40	21848
1935	45	16766
1935	50	14840
1935	55	10406
1935	60	8872
1935	65	5663
1935	70	3730
1935	75	2277
1935	80	1572
1935	85	1634
1935	999	498
1940	0	23332
1940	1	70557
1940	5	73237
1940	10	64225
1940	15	59004
1940	20	52151
1940	25	43754
1940	30	35009
1940	35	30282
1940	40	26229
1940	45	19281
1940	50	15624
1940	55	12163
1940	60	10634
1940	65	6024
1940	70	3847
1940	75	2292
1940	80	1650
1940	85	1508
1940	999	836
1945	0	23029
1945	1	73281
1945	5	81052
1945	10	69375
1945	15	66853
1945	20	60818
1945	25	45902
1945	30	37690
1945	35	33958
1945	40	26418
1945	45	22219
1945	50	16804
1945	55	12853
1945	60	10910
1945	65	6481
1945	70	4458
1945	75	2729
1945	80	1969
1945	85	1780
1945	999	0
1950	0	24781
1950	1	81081
1950	5	86993
1950	10	78362
1950	15	68841
1950	20	62938
1950	25	51343
1950	30	41980
1950	35	39158
1950	40	32486
1950	45	26895
1950	50	24912
1950	55	18130
1950	60	16299
1950	65	10106
1950	70	7278
1950	75	5123
1950	80	3975
1950	85	1989
1950	999	0
1961	0	38672
1961	1	138434
1961	5	150867
1961	10	114238
1961	15	94688
1961	20	81701
1961	25	68125
1961	30	56107
1961	35	48872
1961	40	37207
1961	45	30845
1961	50	25671
1961	55	18202
1961	60	17846
1961	65	9305
1961	70	6394
1961	75	3801
1961	80	2430
1961	85	1973
1961	999	358
1974	0	58693
1974	1	180939
1974	5	208893
1974	10	180163
1974	15	148973
1974	20	119977
1974	25	87988
1974	30	70455
1974	35	66158
1974	40	53017
1974	45	44263
1974	50	35293
1974	55	24743
1974	60	22357
1974	65	14433
1974	70	11027
1974	75	5771
1974	80	3489
1974	85	3009
1974	999	0
1988	0	74958
1988	1	283982
1988	5	334979
1988	10	281386
1988	15	227091
1988	20	183430
1988	25	158173
1988	30	127538
1988	35	104867
1988	40	80427
1988	45	67248
1988	50	55977
1988	55	46666
1988	60	35699
1988	65	28037
1988	70	18038
1988	75	13735
1988	80	9085
1988	85	7139
1988	999	0
2001	0	80521
2001	1	349556
2001	5	428168
2001	10	394486
2001	15	354432
2001	20	305756
2001	25	228201
2001	30	183193
2001	35	163810
2001	40	137769
2001	45	109219
2001	50	90723
2001	55	62042
2001	60	56722
2001	65	42075
2001	70	31999
2001	75	22410
2001	80	14290
2001	85	12949
2001	999	0
