Year	Age	Population
1930	0	14204
1930	1	56613
1930	5	62315
1930	10	51195
1930	15	46968
1930	20	39590
1930	25	31142
1930	30	27357
1930	35	22495
1930	40	19480
1930	45	15042
1930	50	10864
1930	55	8559
1930	60	7727
1930	65	4011
1930	70	2174
1930	75	1155
1930	80	747
1930	85	642
1930	999	2044
1935	0	19561
1935	1	63288
1935	5	67379
1935	10	56112
1935	15	48175
1935	20	44394
1935	25	38036
1935	30	29125
1935	35	28193
1935	40	21166
1935	45	17932
1935	50	12831
1935	55	10196
1935	60	9445
1935	65	5802
1935	70	2902
1935	75	2083
1935	80	1284
1935	85	1279
1935	999	468
1940	0	23558
1940	1	71755
1940	5	75582
1940	10	69470
1940	15	59978
1940	20	49768
1940	25	40235
1940	30	35374
1940	35	30198
1940	40	26744
1940	45	19521
1940	50	15663
1940	55	12342
1940	60	10640
1940	65	6431
1940	70	3713
1940	75	2147
1940	80	1357
1940	85	1236
1940	999	508
1945	0	23331
1945	1	73682
1945	5	83614
1945	10	73757
1945	15	67019
1945	20	59206
1945	25	44424
1945	30	37440
1945	35	34737
1945	40	25396
1945	45	24018
1945	50	14848
1945	55	13228
1945	60	11119
1945	65	6867
1945	70	3804
1945	75	2686
1945	80	1490
1945	85	1297
1945	999	0
1950	0	25917
1950	1	83883
1950	5	90793
1950	10	83774
1950	15	69795
1950	20	61417
1950	25	49818
1950	30	41284
1950	35	38321
1950	40	32157
1950	45	26823
1950	50	22674
1950	55	17492
1950	60	15878
1950	65	9721
1950	70	6379
1950	75	4575
1950	80	3484
1950	85	1750
1950	999	0
1961	0	39609
1961	1	141135
1961	5	156760
1961	10	121024
1961	15	89485
1961	20	76066
1961	25	62212
1961	30	54684
1961	35	46526
1961	40	37236
1961	45	30687
1961	50	25112
1961	55	18035
1961	60	17624
1961	65	9549
1961	70	5933
1961	75	3534
1961	80	1858
1961	85	1292
1961	999	668
1974	0	59636
1974	1	186377
1974	5	215703
1974	10	186934
1974	15	139769
1974	20	108461
1974	25	79478
1974	30	67813
1974	35	61976
1974	40	50790
1974	45	43220
1974	50	34249
1974	55	24170
1974	60	23062
1974	65	13933
1974	70	10843
1974	75	5552
1974	80	3024
1974	85	2317
1974	999	0
1988	0	78394
1988	1	296914
1988	5	349055
1988	10	290189
1988	15	219858
1988	20	163623
1988	25	142319
1988	30	120498
1988	35	99623
1988	40	77319
1988	45	65328
1988	50	54369
1988	55	44554
1988	60	35010
1988	65	27125
1988	70	17645
1988	75	13284
1988	80	8720
1988	85	6279
1988	999	0
2001	0	82754
2001	1	361457
2001	5	444378
2001	10	411196
2001	15	352413
2001	20	280701
2001	25	204886
2001	30	169099
2001	35	146553
2001	40	131863
2001	45	103351
2001	50	88748
2001	55	59001
2001	60	54761
2001	65	40111
2001	70	31284
2001	75	21768
2001	80	13374
2001	85	11246
2001	999	0
