Year	Age	Population
1895	0	1060219
1895	5	839570
1895	10	661014
1895	15	732249
1895	20	571645
1895	25	671252
1895	30	325262
1895	35	476336
1895	40	199743
1895	45	306656
1895	50	113229
1895	55	196781
1895	60	66207
1895	65	62808
1895	70	20176
1895	75	23922
1895	80	6612
1895	85	9874
1895	999	8286
1900	0	349709
1900	1	806903
1900	5	869965
1900	10	705458
1900	15	795154
1900	20	614389
1900	25	710552
1900	30	351347
1900	35	522359
1900	40	220369
1900	45	333638
1900	50	124725
1900	55	218363
1900	60	69617
1900	65	75558
1900	70	24385
1900	75	29160
1900	80	8032
1900	85	12447
1900	999	13024
1910	0	380897
1910	1	915868
1910	5	1045325
1910	10	778386
1910	15	851657
1910	20	712354
1910	25	787212
1910	30	397315
1910	35	555278
1910	40	248685
1910	45	353926
1910	50	135904
1910	55	235923
1910	60	78492
1910	65	84353
1910	70	28308
1910	75	34741
1910	80	8849
1910	85	12569
1910	999	9856
1921	0	189564
1921	1	738033
1921	5	899300
1921	10	857427
1921	15	822515
1921	20	703951
1921	25	655473
1921	30	526496
1921	35	468919
1921	40	388375
1921	45	270357
1921	50	249008
1921	55	137669
1921	60	166663
1921	65	64512
1921	70	58072
1921	75	24796
1921	80	25445
1921	85	15164
1921	999	69256
1930	0	251085
1930	1	990468
1930	5	1124529
1930	10	804025
1930	15	892277
1930	20	842218
1930	25	773330
1930	30	581105
1930	35	528873
1930	40	427258
1930	45	321042
1930	50	289495
1930	55	162441
1930	60	198588
1930	65	85809
1930	70	74771
1930	75	33856
1930	80	32313
1930	85	20211
1930	999	24
1940	0	261620
1940	1	1154784
1940	5	1387439
1940	10	1155925
1940	15	1026795
1940	20	807821
1940	25	839439
1940	30	684385
1940	35	700956
1940	40	487542
1940	45	395234
1940	50	316775
1940	55	219560
1940	60	214752
1940	65	115317
1940	70	84082
1940	75	44801
1940	80	33485
1940	85	24989
1940	999	2064
1950	0	402884
1950	1	1567229
1950	5	1809455
1950	10	1510103
1950	15	1383574
1950	20	1232570
1950	25	1038032
1950	30	732880
1950	35	798406
1950	40	622483
1950	45	538851
1950	50	422867
1950	55	266725
1950	60	288877
1950	65	169447
1950	70	127214
1950	75	65981
1950	80	51499
1950	85	38870
1950	999	26135
1960	0	558165
1960	1	2282195
1960	5	2611134
1960	10	2123820
1960	15	1796434
1960	20	1542203
1960	25	1308904
1960	30	1042530
1960	35	961540
1960	40	687017
1960	45	623126
1960	50	536031
1960	55	394697
1960	60	372721
1960	65	210710
1960	70	172083
1960	75	96620
1960	80	70491
1960	85	68509
1960	999	48879
1970	0	837988
1970	1	3192226
1970	5	3801998
1970	10	3135156
1970	15	2570392
1970	20	2108040
1970	25	1690657
1970	30	1315159
1970	35	1280752
1970	40	976985
1970	45	809889
1970	50	604259
1970	55	511923
1970	60	468454
1970	65	358321
1970	70	247148
1970	75	133474
1970	80	100552
1970	85	95800
1970	999	0
1980	0	848936
1980	1	3800420
1980	5	5111032
1980	10	4519676
1980	15	3889851
1980	20	3182353
1980	25	2479332
1980	30	1952431
1980	35	1742361
1980	40	1385492
1980	45	1180940
1980	50	951079
1980	55	733400
1980	60	573284
1980	65	458400
1980	70	365882
1980	75	251658
1980	80	156872
1980	85	123632
1980	999	100495
1990	0	952784
1990	1	4082392
1990	5	5223949
1990	10	5158434
1990	15	4904511
1990	20	4091035
1990	25	3353917
1990	30	2808883
1990	35	2368551
1990	40	1792757
1990	45	1519287
1990	50	1231916
1990	55	975620
1990	60	841400
1990	65	616010
1990	70	432996
1990	75	313001
1990	80	222012
1990	85	214014
1990	999	252207
2000	0	1012056
2000	1	4221795
2000	5	5537612
2000	10	5300756
2000	15	5082487
2000	20	4767534
2000	25	4296261
2000	30	3753167
2000	35	3329210
2000	40	2700062
2000	45	2114914
2000	50	1733920
2000	55	1325159
2000	60	1152742
2000	65	881119
2000	70	656568
2000	75	454073
2000	80	266546
2000	85	285052
2000	999	1020126
2005	0	913858
2005	1	4096472
2005	5	5172611
2005	10	5406213
2005	15	5113115
2005	20	4711189
2005	25	4297634
2005	30	4187977
2005	35	3741154
2005	40	3145719
2005	45	2627106
2005	50	2130930
2005	55	1619090
2005	60	1378688
2005	65	1035477
2005	70	793414
2005	75	557475
2005	80	360660
2005	85	320130
2005	999	1404521
2010	0	973661
2010	1	4207718
2010	5	5443362
2010	10	5392324
2010	15	5505991
2010	20	5079067
2010	25	4582202
2010	30	4444767
2010	35	4328249
2010	40	3658904
2010	45	3104366
2010	50	2661840
2010	55	2025828
2010	60	1639799
2010	65	1221992
2010	70	1000041
2010	75	665794
2010	80	443659
2010	85	404556
2010	999	697187
