Year	Age	Population
1895	0	1093849
1895	5	895643
1895	10	692240
1895	15	605230
1895	20	514681
1895	25	604128
1895	30	350369
1895	35	469501
1895	40	214650
1895	45	287512
1895	50	124293
1895	55	194010
1895	60	87630
1895	65	72135
1895	70	24574
1895	75	24785
1895	80	7341
1895	85	10345
1895	999	6801
1900	0	362487
1900	1	827253
1900	5	928367
1900	10	739175
1900	15	669511
1900	20	544372
1900	25	634329
1900	30	367025
1900	35	509889
1900	40	239152
1900	45	323472
1900	50	132498
1900	55	213477
1900	60	84866
1900	65	85346
1900	70	27528
1900	75	30611
1900	80	8808
1900	85	12514
1900	999	11438
1910	0	396741
1910	1	939662
1910	5	1102308
1910	10	816343
1910	15	717982
1910	20	626898
1910	25	698715
1910	30	419790
1910	35	534140
1910	40	270086
1910	45	335209
1910	50	148456
1910	55	225986
1910	60	88954
1910	65	88640
1910	70	30727
1910	75	34623
1910	80	8847
1910	85	11849
1910	999	8515
1921	0	194489
1921	1	751814
1921	5	939840
1921	10	935035
1921	15	727792
1921	20	610377
1921	25	546570
1921	30	467785
1921	35	445509
1921	40	342524
1921	45	267530
1921	50	218789
1921	55	140690
1921	60	157561
1921	65	70851
1921	70	54820
1921	75	26360
1921	80	22404
1921	85	13558
1921	999	69487
1930	0	261346
1930	1	1007622
1930	5	1168736
1930	10	882039
1930	15	792389
1930	20	734715
1930	25	687269
1930	30	542978
1930	35	500587
1930	40	380027
1930	45	313708
1930	50	254878
1930	55	163088
1930	60	184768
1930	65	90013
1930	70	69849
1930	75	36189
1930	80	28265
1930	85	17469
1930	999	3069
1940	0	274279
1940	1	1174209
1940	5	1441081
1940	10	1246808
1940	15	969506
1940	20	739501
1940	25	752210
1940	30	634103
1940	35	670663
1940	40	449853
1940	45	362664
1940	50	284332
1940	55	205531
1940	60	204753
1940	65	111189
1940	70	78953
1940	75	43906
1940	80	29063
1940	85	20513
1940	999	2670
1950	0	411430
1950	1	1588448
1950	5	1865138
1950	10	1599781
1950	15	1248617
1950	20	1066764
1950	25	981574
1950	30	699287
1950	35	748361
1950	40	587188
1950	45	534698
1950	50	405259
1950	55	261388
1950	60	265194
1950	65	164750
1950	70	113574
1950	75	62748
1950	80	41065
1950	85	30466
1950	999	21205
1960	0	586022
1960	1	2350365
1960	5	2705910
1960	10	2234496
1960	15	1738831
1960	20	1404869
1960	25	1195988
1960	30	1009105
1960	35	959140
1960	40	674307
1960	45	610482
1960	50	527328
1960	55	405202
1960	60	371989
1960	65	203454
1960	70	161288
1960	75	91153
1960	80	57847
1960	85	62880
1960	999	64664
1970	0	836152
1970	1	3328654
1970	5	3947611
1970	10	3281640
1970	15	2498166
1970	20	1935807
1970	25	1580433
1970	30	1289917
1970	35	1239519
1970	40	962683
1970	45	832461
1970	50	591681
1970	55	503058
1970	60	452688
1970	65	346452
1970	70	242849
1970	75	119908
1970	80	81010
1970	85	71685
1970	999	0
1980	0	862929
1980	1	3835583
1980	5	5172923
1980	10	4574675
1980	15	3766688
1980	20	2972174
1980	25	2325060
1980	30	1885628
1980	35	1664573
1980	40	1359706
1980	45	1134689
1980	50	912884
1980	55	732503
1980	60	541862
1980	65	417298
1980	70	339002
1980	75	228660
1980	80	132494
1980	85	87222
1980	999	92754
1990	0	975043
1990	1	4184959
1990	5	5338285
1990	10	5230658
1990	15	4759892
1990	20	3738128
1990	25	3050595
1990	30	2578736
1990	35	2210565
1990	40	1705013
1990	45	1452573
1990	50	1161875
1990	55	918864
1990	60	769917
1990	65	567641
1990	70	394031
1990	75	277835
1990	80	179820
1990	85	159481
1990	999	240058
2000	0	1049375
2000	1	4351931
2000	5	5677711
2000	10	5435737
2000	15	4909648
2000	20	4303600
2000	25	3861482
2000	30	3383356
2000	35	3023328
2000	40	2494771
2000	45	1957177
2000	50	1624033
2000	55	1234072
2000	60	1045404
2000	65	779666
2000	70	589106
2000	75	411197
2000	80	217330
2000	85	209654
2000	999	1033675
2005	0	953071
2005	1	4222842
2005	5	5339127
2005	10	5545910
2005	15	4995906
2005	20	4253440
2005	25	3805724
2005	30	3745974
2005	35	3371372
2005	40	2871549
2005	45	2388149
2005	50	1959720
2005	55	1497981
2005	60	1243788
2005	65	922592
2005	70	703277
2005	75	490840
2005	80	296351
2005	85	263143
2005	999	1406199
2010	0	1009489
2010	1	4337454
2010	5	5604175
2010	10	5547613
2010	15	5520121
2010	20	4813204
2010	25	4205975
2010	30	4026031
2010	35	3964738
2010	40	3350322
2010	45	2824364
2010	50	2402451
2010	55	1869537
2010	60	1476667
2010	65	1095273
2010	70	873893
2010	75	579689
2010	80	355277
2010	85	298739
2010	999	700219
