Year	Age	Population
1940	0	19231
1940	1	61620
1940	5	69935
1940	10	62147
1940	15	54153
1940	20	44087
1940	25	38510
1940	30	31342
1940	35	30221
1940	40	24593
1940	45	18030
1940	50	14901
1940	55	11292
1940	60	10814
1940	65	5201
1940	70	4042
1940	75	2313
1940	80	1640
1940	85	1723
1940	999	369
1950	0	19843
1950	1	63292
1950	5	75209
1950	10	64307
1950	15	57671
1950	20	52013
1950	25	43967
1950	30	30936
1950	35	32434
1950	40	23466
1950	45	19325
1950	50	16904
1950	55	9640
1950	60	10657
1950	65	5264
1950	70	4812
1950	75	2602
1950	80	2463
1950	85	1770
1950	999	0
1963	0	29183
1963	1	108259
1963	5	129889
1963	10	96376
1963	15	77120
1963	20	64406
1963	25	57032
1963	30	42030
1963	35	43044
1963	40	29808
1963	45	25077
1963	50	21045
1963	55	13629
1963	60	15934
1963	65	7515
1963	70	7123
1963	75	3864
1963	80	3466
1963	85	2866
1963	999	0
1971	0	34376
1971	1	124744
1971	5	156030
1971	10	130635
1971	15	105898
1971	20	81918
1971	25	65271
1971	30	48816
1971	35	51345
1971	40	37288
1971	45	30560
1971	50	24529
1971	55	17246
1971	60	16708
1971	65	9448
1971	70	9304
1971	75	4740
1971	80	4048
1971	85	3505
1971	999	0
1995	0	75590
1995	1	272088
1995	5	312790
1995	10	305376
1995	15	245958
1995	20	205289
1995	25	169155
1995	30	136357
1995	35	120958
1995	40	86768
1995	45	68233
1995	50	51507
1995	55	43630
1995	60	35780
1995	65	26828
1995	70	20246
1995	75	14074
1995	80	9967
1995	85	9399
1995	999	0
2005	0	59233
2005	1	236753
2005	5	313770
2005	10	332923
2005	15	292485
2005	20	273519
2005	25	212884
2005	30	176968
2005	35	157812
2005	40	132124
2005	45	106902
2005	50	82946
2005	55	62921
2005	60	48351
2005	65	38427
2005	70	29026
2005	75	21680
2005	80	14046
2005	85	14837
2005	999	0
