Year	Age	Population
1940	0	19210
1940	1	60150
1940	5	68661
1940	10	60767
1940	15	52648
1940	20	42183
1940	25	35719
1940	30	30499
1940	35	26900
1940	40	22206
1940	45	16259
1940	50	12431
1940	55	9409
1940	60	8198
1940	65	4730
1940	70	2939
1940	75	1522
1940	80	1294
1940	85	1036
1940	999	235
1950	0	20831
1950	1	64944
1950	5	79320
1950	10	69732
1950	15	52805
1950	20	47377
1950	25	39564
1950	30	29128
1950	35	29707
1950	40	21261
1950	45	18035
1950	50	15596
1950	55	9259
1950	60	9600
1950	65	4664
1950	70	3731
1950	75	2097
1950	80	1662
1950	85	1135
1950	999	0
1963	0	30067
1963	1	111384
1963	5	134863
1963	10	100708
1963	15	70782
1963	20	57787
1963	25	51472
1963	30	40305
1963	35	40397
1963	40	28889
1963	45	23746
1963	50	19890
1963	55	12730
1963	60	14785
1963	65	6842
1963	70	5842
1963	75	3343
1963	80	2363
1963	85	1727
1963	999	0
1971	0	35631
1971	1	127499
1971	5	158274
1971	10	135483
1971	15	98347
1971	20	73247
1971	25	56807
1971	30	45430
1971	35	46229
1971	40	36052
1971	45	28536
1971	50	23120
1971	55	15880
1971	60	15239
1971	65	8314
1971	70	8287
1971	75	3989
1971	80	2911
1971	85	2268
1971	999	0
1995	0	78404
1995	1	283709
1995	5	322170
1995	10	315517
1995	15	240206
1995	20	187448
1995	25	147307
1995	30	122775
1995	35	106772
1995	40	82840
1995	45	64192
1995	50	49090
1995	55	40753
1995	60	34256
1995	65	24881
1995	70	18710
1995	75	12874
1995	80	8354
1995	85	6848
1995	999	0
2005	0	62513
2005	1	246399
2005	5	327983
2005	10	348625
2005	15	293677
2005	20	266097
2005	25	199201
2005	30	161457
2005	35	136016
2005	40	116604
2005	45	95992
2005	50	76190
2005	55	56927
2005	60	44597
2005	65	34473
2005	70	26500
2005	75	18988
2005	80	11457
2005	85	10795
2005	999	0
