Year	Age	Population
1920	0	5750
1920	1	38955
1920	7	43574
1920	16	22797
1920	21	41630
1920	31	30258
1920	41	18755
1920	51	9801
1920	61	3856
1920	71	1490
1920	81	669
1920	999	0
1930	0	5639
1930	1	39069
1930	7	49441
1930	16	25866
1930	21	40433
1930	31	28974
1930	41	17960
1930	51	9385
1930	61	4368
1930	71	1686
1930	81	758
1930	999	4381
1940	0	8913
1940	1	31927
1940	5	36985
1940	10	31381
1940	15	29861
1940	20	27867
1940	25	25256
1940	30	16831
1940	35	16048
1940	40	12477
1940	45	10828
1940	50	8507
1940	55	5904
1940	60	5046
1940	65	3088
1940	70	2079
1940	75	1173
1940	80	1636
1940	999	0
1950	0	12685
1950	1	48003
1950	5	52904
1950	10	41752
1950	15	36902
1950	20	33448
1950	25	29810
1950	30	24682
1950	35	22614
1950	40	15464
1950	45	13423
1950	50	11354
1950	55	7879
1950	60	7789
1950	65	4766
1950	70	3211
1950	75	1808
1950	80	1301
1950	85	1126
1950	999	382
1960	0	19413
1960	1	70658
1960	5	76598
1960	10	63635
1960	15	54431
1960	20	45634
1960	25	37818
1960	30	32179
1960	35	28724
1960	40	23974
1960	45	20618
1960	50	15068
1960	55	11999
1960	60	10283
1960	65	6737
1960	70	5242
1960	75	3149
1960	80	1892
1960	85	1715
1960	999	0
1970	0	22776
1970	1	91241
1970	5	106944
1970	10	85253
1970	15	73381
1970	20	63010
1970	25	50924
1970	30	40885
1970	35	36115
1970	40	29409
1970	45	25360
1970	50	21775
1970	55	17632
1970	60	13004
1970	65	10061
1970	70	6690
1970	75	9873
1970	999	0
1980	0	24121
1980	1	90767
1980	5	119934
1980	10	112427
1980	15	100560
1980	20	82489
1980	25	71732
1980	30	59325
1980	35	48269
1980	40	38736
1980	45	31802
1980	50	27741
1980	55	22599
1980	60	19543
1980	65	14792
1980	70	9720
1980	75	6790
1980	80	3979
1980	85	3686
1980	999	0
1990	0	27019
1990	1	108347
1990	5	135604
1990	10	125803
1990	15	123549
1990	20	114444
1990	25	100667
1990	30	82836
1990	35	69494
1990	40	57707
1990	45	47281
1990	50	38468
1990	55	30265
1990	60	26149
1990	65	20601
1990	70	16245
1990	75	11629
1990	80	6796
1990	85	6196
1990	999	1
2000	0	32866
2000	1	127092
2000	5	145934
2000	10	139859
2000	15	132760
2000	20	124679
2000	25	120426
2000	30	111391
2000	35	99161
2000	40	81005
2000	45	66372
2000	50	57047
2000	55	44211
2000	60	36114
2000	65	27784
2000	70	22206
2000	75	16533
2000	80	11443
2000	85	9718
2000	999	10
2010	0	33226
2010	1	125238
2010	5	161780
2010	10	166161
2010	15	146052
2010	20	139661
2010	25	135059
2010	30	126630
2010	35	122108
2010	40	110922
2010	45	96943
2010	50	79669
2010	55	64978
2010	60	54579
2010	65	41399
2010	70	32702
2010	75	23215
2010	80	16231
2010	85	16437
2010	999	239
