Year	Age	Population
1920	0	5541
1920	1	39094
1920	7	43590
1920	16	18896
1920	21	42928
1920	31	36247
1920	41	24449
1920	51	11803
1920	61	4125
1920	71	1453
1920	81	437
1920	999	0
1930	0	5619
1930	1	40702
1930	7	52509
1930	16	22765
1930	21	39274
1930	31	32331
1930	41	21808
1930	51	10529
1930	61	4605
1930	71	1624
1930	81	489
1930	999	7244
1940	0	9192
1940	1	32577
1940	5	38198
1940	10	33273
1940	15	27117
1940	20	28643
1940	25	26105
1940	30	19451
1940	35	16928
1940	40	15448
1940	45	12271
1940	50	10473
1940	55	7449
1940	60	5946
1940	65	3436
1940	70	2062
1940	75	1121
1940	80	1092
1940	999	0
1950	0	13057
1950	1	48729
1950	5	53788
1950	10	43464
1950	15	35633
1950	20	33189
1950	25	30599
1950	30	26604
1950	35	24632
1950	40	17973
1950	45	14276
1950	50	12401
1950	55	8821
1950	60	9258
1950	65	5349
1950	70	3331
1950	75	1813
1950	80	1038
1950	85	805
1950	999	568
1960	0	19877
1960	1	71991
1960	5	79251
1960	10	65961
1960	15	52804
1960	20	45026
1960	25	37792
1960	30	33366
1960	35	30063
1960	40	26656
1960	45	23073
1960	50	17199
1960	55	12502
1960	60	11054
1960	65	7153
1960	70	5887
1960	75	3200
1960	80	1663
1960	85	1256
1960	999	0
1970	0	23738
1970	1	93675
1970	5	108517
1970	10	88310
1970	15	71846
1970	20	62329
1970	25	50775
1970	30	41643
1970	35	37280
1970	40	31536
1970	45	27970
1970	50	24786
1970	55	20184
1970	60	14885
1970	65	10336
1970	70	6836
1970	75	9103
1970	999	0
1980	0	24725
1980	1	93973
1980	5	123637
1980	10	116951
1980	15	99676
1980	20	79874
1980	25	66859
1980	30	62158
1980	35	48592
1980	40	40905
1980	45	33820
1980	50	29239
1980	55	24393
1980	60	21735
1980	65	16309
1980	70	10302
1980	75	6554
1980	80	3503
1980	85	2795
1980	999	0
1990	0	28246
1990	1	113152
1990	5	141078
1990	10	131660
1990	15	124947
1990	20	114447
1990	25	100366
1990	30	83331
1990	35	70167
1990	40	59230
1990	45	49715
1990	50	40123
1990	55	32092
1990	60	27789
1990	65	21326
1990	70	16840
1990	75	11774
1990	80	6227
1990	85	4675
1990	999	5
2000	0	33725
2000	1	132556
2000	5	150813
2000	10	146274
2000	15	136201
2000	20	124996
2000	25	120825
2000	30	112499
2000	35	100111
2000	40	81576
2000	45	67803
2000	50	58723
2000	55	45644
2000	60	37219
2000	65	28148
2000	70	22240
2000	75	15641
2000	80	9991
2000	85	7555
2000	999	26
2010	0	34577
2010	1	130750
2010	5	169100
2010	10	173247
2010	15	149938
2010	20	141563
2010	25	134629
2010	30	125910
2010	35	121789
2010	40	112136
2010	45	97807
2010	50	79165
2010	55	65411
2010	60	55244
2010	65	41268
2010	70	32012
2010	75	21565
2010	80	13994
2010	85	12166
2010	999	313
