Year	Age	Population
1950	0	21910
1950	1	84995
1950	5	96208
1950	10	81229
1950	15	65577
1950	20	64266
1950	25	52230
1950	30	39974
1950	35	38817
1950	40	28576
1950	45	24264
1950	50	20729
1950	55	16618
1950	60	16236
1950	65	11225
1950	70	7566
1950	75	3874
1950	80	2135
1950	85	2914
1950	999	0
1962	0	30608
1962	1	121918
1962	5	141782
1962	10	113506
1962	15	93548
1962	20	76151
1962	25	57699
1962	30	56436
1962	35	48400
1962	40	40653
1962	45	34285
1962	50	29470
1962	55	21187
1962	60	19616
1962	65	12333
1962	70	10911
1962	75	7536
1962	80	5121
1962	85	3652
1962	999	127
1972	0	39237
1972	1	141573
1972	5	176952
1972	10	158837
1972	15	131826
1972	20	97990
1972	25	77441
1972	30	64731
1972	35	55634
1972	40	53259
1972	45	44288
1972	50	38265
1972	55	29088
1972	60	25835
1972	65	18628
1972	70	13886
1972	75	8334
1972	80	6130
1972	85	6910
1972	999	0
1982	0	51654
1982	1	176157
1982	5	194357
1982	10	184213
1982	15	166907
1982	20	146219
1982	25	115981
1982	30	88921
1982	35	76009
1982	40	64577
1982	45	51232
1982	50	51200
1982	55	37347
1982	60	32844
1982	65	24624
1982	70	18847
1982	75	12968
1982	80	7752
1982	85	6612
1982	999	0
1992	0	58168
1992	1	240943
1992	5	291958
1992	10	256325
1992	15	197168
1992	20	175776
1992	25	156948
1992	30	141095
1992	35	118558
1992	40	91844
1992	45	75595
1992	50	64847
1992	55	47031
1992	60	47301
1992	65	35060
1992	70	27053
1992	75	19014
1992	80	12353
1992	85	9646
1992	999	0
2002	0	56515
2002	1	240747
2002	5	325095
2002	10	316594
2002	15	284076
2002	20	234018
2002	25	180467
2002	30	166167
2002	35	154188
2002	40	138285
2002	45	111650
2002	50	88921
2002	55	67354
2002	60	58065
2002	65	42236
2002	70	37422
2002	75	26228
2002	80	16854
2002	85	15074
2002	999	0
