Year	Age	Population
1950	0	23084
1950	1	87651
1950	5	99979
1950	10	86284
1950	15	63162
1950	20	58248
1950	25	46784
1950	30	36943
1950	35	31830
1950	40	24535
1950	45	20776
1950	50	18081
1950	55	14905
1950	60	15060
1950	65	10407
1950	70	6080
1950	75	2796
1950	80	1104
1950	85	1400
1950	999	0
1962	0	31505
1962	1	127888
1962	5	148372
1962	10	119144
1962	15	91009
1962	20	68765
1962	25	51541
1962	30	52776
1962	35	43655
1962	40	37690
1962	45	29174
1962	50	26504
1962	55	18076
1962	60	16736
1962	65	10657
1962	70	9389
1962	75	6054
1962	80	3311
1962	85	1763
1962	999	155
1972	0	40568
1972	1	146436
1972	5	183211
1972	10	168370
1972	15	130555
1972	20	93302
1972	25	72082
1972	30	62812
1972	35	50609
1972	40	52418
1972	45	40768
1972	50	36919
1972	55	26634
1972	60	23056
1972	65	15081
1972	70	11864
1972	75	6609
1972	80	4311
1972	85	3506
1972	999	0
1982	0	53663
1982	1	182506
1982	5	201708
1982	10	191966
1982	15	167648
1982	20	145574
1982	25	118241
1982	30	93152
1982	35	74824
1982	40	67137
1982	45	48457
1982	50	51286
1982	55	36758
1982	60	30121
1982	65	22478
1982	70	16727
1982	75	9977
1982	80	5804
1982	85	3382
1982	999	0
1992	0	60024
1992	1	250071
1992	5	302325
1992	10	265289
1992	15	196052
1992	20	171483
1992	25	154005
1992	30	144986
1992	35	121493
1992	40	98338
1992	45	76655
1992	50	66260
1992	55	46195
1992	60	45959
1992	65	32017
1992	70	23457
1992	75	16234
1992	80	9238
1992	85	5824
1992	999	0
2002	0	59043
2002	1	250996
2002	5	338199
2002	10	328120
2002	15	292731
2002	20	238527
2002	25	179299
2002	30	167025
2002	35	153333
2002	40	145797
2002	45	116069
2002	50	93396
2002	55	68353
2002	60	56778
2002	65	38292
2002	70	33286
2002	75	21703
2002	80	12433
2002	85	9862
2002	999	0
