Year	Age	Population
1876	0	40817
1876	1	137993
1876	5	161006
1876	10	133495
1876	15	105538
1876	20	159003
1876	25	122749
1876	30	105801
1876	35	87458
1876	40	74327
1876	45	54499
1876	50	42519
1876	55	32185
1876	60	27892
1876	65	16665
1876	70	13189
1876	75	8299
1876	80	7027
1876	85	7731
1876	999	50
1940	0	108444
1940	1	366617
1940	5	455238
1940	10	345237
1940	15	292825
1940	20	267315
1940	25	254573
1940	30	194334
1940	35	194084
1940	40	140934
1940	45	124101
1940	50	94467
1940	55	73522
1940	60	73117
1940	65	46477
1940	70	40430
1940	75	24061
1940	80	22086
1940	85	21132
1940	999	1105
1961	0	175024
1961	1	656299
1961	5	727533
1961	10	557497
1961	15	479739
1961	20	427630
1961	25	381419
1961	30	308469
1961	35	279394
1961	40	211283
1961	45	187315
1961	50	148883
1961	55	115351
1961	60	112220
1961	65	70198
1961	70	54941
1961	75	32477
1961	80	27717
1961	85	25316
1961	999	2523
1972	0	235652
1972	1	857611
1972	5	1000175
1972	10	829093
1972	15	698185
1972	20	578620
1972	25	471501
1972	30	381363
1972	35	373277
1972	40	297789
1972	45	246223
1972	50	193251
1972	55	150654
1972	60	141240
1972	65	98019
1972	70	77233
1972	75	42896
1972	80	33606
1972	85	32356
1972	999	14934
1981	0	247486
1981	1	957200
1981	5	1190599
1981	10	1068192
1981	15	931761
1981	20	811735
1981	25	653829
1981	30	511143
1981	35	453481
1981	40	366539
1981	45	324078
1981	50	264512
1981	55	197333
1981	60	170154
1981	65	122715
1981	70	94263
1981	75	63717
1981	80	45648
1981	85	40958
1981	999	0
1993	0	271894
1993	1	1078049
1993	5	1362848
1993	10	1303379
1993	15	1187911
1993	20	1088211
1993	25	926069
1993	30	788055
1993	35	670878
1993	40	531562
1993	45	437692
1993	50	359000
1993	55	288163
1993	60	259310
1993	65	185744
1993	70	138542
1993	75	91969
1993	80	64555
1993	85	58150
1993	999	0
2007	0	246135
2007	1	1089237
2007	5	1316917
2007	10	1445650
2007	15	1357411
2007	20	1275808
2007	25	1164233
2007	30	1059035
2007	35	965792
2007	40	834207
2007	45	699562
2007	50	591615
2007	55	453380
2007	60	370791
2007	65	294717
2007	70	232526
2007	75	176560
2007	80	109805
2007	85	106136
2007	999	0
