Year	Age	Population
1876	0	41374
1876	1	139685
1876	5	173415
1876	10	148746
1876	15	99804
1876	20	146089
1876	25	129430
1876	30	112425
1876	35	93759
1876	40	70285
1876	45	54860
1876	50	41581
1876	55	31350
1876	60	26482
1876	65	15930
1876	70	12668
1876	75	8288
1876	80	6676
1876	85	7976
1876	999	40
1940	0	111039
1940	1	374881
1940	5	467873
1940	10	382838
1940	15	296030
1940	20	263895
1940	25	226619
1940	30	190997
1940	35	178642
1940	40	136775
1940	45	118050
1940	50	84882
1940	55	65349
1940	60	57478
1940	65	36415
1940	70	27932
1940	75	17372
1940	80	14706
1940	85	15230
1940	999	865
1961	0	175027
1961	1	665176
1961	5	738830
1961	10	594698
1961	15	493977
1961	20	420560
1961	25	359851
1961	30	311544
1961	35	260561
1961	40	209046
1961	45	177315
1961	50	142983
1961	55	110092
1961	60	98761
1961	65	59518
1961	70	42164
1961	75	26275
1961	80	18761
1961	85	17913
1961	999	2466
1972	0	239267
1972	1	868484
1972	5	1022565
1972	10	884417
1972	15	715127
1972	20	571969
1972	25	458049
1972	30	390364
1972	35	355814
1972	40	307210
1972	45	241742
1972	50	195367
1972	55	149321
1972	60	133330
1972	65	88790
1972	70	66383
1972	75	34949
1972	80	24432
1972	85	23791
1972	999	13129
1981	0	247298
1981	1	982345
1981	5	1211659
1981	10	1107837
1981	15	932930
1981	20	789840
1981	25	623765
1981	30	509305
1981	35	430495
1981	40	373411
1981	45	319344
1981	50	267970
1981	55	202193
1981	60	166096
1981	65	114185
1981	70	86010
1981	75	57308
1981	80	36902
1981	85	30974
1981	999	0
1993	0	278671
1993	1	1111139
1993	5	1399805
1993	10	1349591
1993	15	1186260
1993	20	1035917
1993	25	871903
1993	30	760900
1993	35	622891
1993	40	525469
1993	45	424731
1993	50	358182
1993	55	285499
1993	60	258258
1993	65	177556
1993	70	132502
1993	75	83502
1993	80	52143
1993	85	41456
1993	999	0
2007	0	254537
2007	1	1134711
2007	5	1367011
2007	10	1503335
2007	15	1373374
2007	20	1255746
2007	25	1127632
2007	30	1015656
2007	35	906060
2007	40	807852
2007	45	671823
2007	50	561032
2007	55	438763
2007	60	360165
2007	65	284585
2007	70	220472
2007	75	167439
2007	80	93831
2007	85	78616
2007	999	0
