Year	Age	Population
1900	0	13166
1900	1	53376
1900	5	64796
1900	10	58588
1900	15	55535
1900	20	44354
1900	25	35306
1900	30	23600
1900	35	24077
1900	40	15435
1900	45	17286
1900	50	8900
1900	55	9357
1900	60	5294
1900	65	5004
1900	70	2233
1900	75	2066
1900	80	1029
1900	85	1129
1900	999	343
1908	0	26197
1908	1	56412
1908	5	65809
1908	10	62556
1908	15	61859
1908	20	52790
1908	25	45658
1908	30	28937
1908	35	29521
1908	40	18167
1908	45	20346
1908	50	11713
1908	55	12314
1908	60	6138
1908	65	5802
1908	70	2722
1908	75	2519
1908	80	955
1908	85	1047
1908	999	716
1963	0	25194
1963	1	100033
1963	5	122242
1963	10	109892
1963	15	102838
1963	20	97319
1963	25	95542
1963	30	101389
1963	35	95250
1963	40	82581
1963	45	73848
1963	50	69976
1963	55	57704
1963	60	51396
1963	65	38792
1963	70	28984
1963	75	20070
1963	80	11573
1963	85	8293
1963	999	12208
1975	0	26337
1975	1	99914
1975	5	119309
1975	10	124804
1975	15	118052
1975	20	103659
1975	25	96112
1975	30	90290
1975	35	90339
1975	40	92414
1975	45	90380
1975	50	80312
1975	55	67588
1975	60	66555
1975	65	52068
1975	70	41682
1975	75	29571
1975	80	16878
1975	85	12753
1975	999	0
1985	0	25369
1985	1	100567
1985	5	135403
1985	10	125979
1985	15	113694
1985	20	114211
1985	25	109583
1985	30	99047
1985	35	92219
1985	40	85656
1985	45	82684
1985	50	84681
1985	55	83482
1985	60	72380
1985	65	59802
1985	70	52245
1985	75	37648
1985	80	23822
1985	85	17748
1985	999	0
1996	0	26745
1996	1	105452
1996	5	130761
1996	10	128307
1996	15	128536
1996	20	121422
1996	25	109461
1996	30	110407
1996	35	107978
1996	40	98330
1996	45	88542
1996	50	81661
1996	55	77771
1996	60	77201
1996	65	74773
1996	70	60227
1996	75	45374
1996	80	32437
1996	85	26090
1996	999	0
2004	0	21534
2004	1	97174
2004	5	131489
2004	10	129196
2004	15	126761
2004	20	120776
2004	25	122045
2004	30	110167
2004	35	103437
2004	40	108503
2004	45	98584
2004	50	91717
2004	55	78823
2004	60	75871
2004	65	68144
2004	70	68708
2004	75	52920
2004	80	37618
2004	85	32003
2004	999	0
2011	0	20859
2011	1	86782
2011	5	116248
2011	10	125530
2011	15	128649
2011	20	121078
2011	25	115533
2011	30	119481
2011	35	113817
2011	40	104486
2011	45	102961
2011	50	101390
2011	55	91179
2011	60	80911
2011	65	72794
2011	70	64690
2011	75	56853
2011	80	45593
2011	85	39627
2011	999	0
