Year	Age	Population
1900	0	13399
1900	1	54217
1900	5	66271
1900	10	60838
1900	15	51654
1900	20	45336
1900	25	38245
1900	30	29004
1900	35	27331
1900	40	21864
1900	45	22160
1900	50	13181
1900	55	11792
1900	60	7073
1900	65	5516
1900	70	2778
1900	75	1933
1900	80	877
1900	85	764
1900	999	540
1908	0	26806
1908	1	58446
1908	5	68112
1908	10	62532
1908	15	57240
1908	20	51997
1908	25	43971
1908	30	32733
1908	35	30845
1908	40	22112
1908	45	22412
1908	50	16214
1908	55	14505
1908	60	8321
1908	65	6490
1908	70	3195
1908	75	2223
1908	80	789
1908	85	687
1908	999	878
1963	0	26171
1963	1	103420
1963	5	125331
1963	10	112926
1963	15	103012
1963	20	95222
1963	25	91398
1963	30	99542
1963	35	93198
1963	40	84526
1963	45	73143
1963	50	71973
1963	55	60247
1963	60	51035
1963	65	35833
1963	70	25391
1963	75	15553
1963	80	7573
1963	85	4264
1963	999	10628
1975	0	27482
1975	1	103571
1975	5	122619
1975	10	128552
1975	15	118085
1975	20	100121
1975	25	92746
1975	30	88013
1975	35	85645
1975	40	90264
1975	45	88227
1975	50	78888
1975	55	65074
1975	60	60261
1975	65	46906
1975	70	34459
1975	75	21348
1975	80	10726
1975	85	6425
1975	999	0
1985	0	26295
1985	1	104728
1985	5	140120
1985	10	131445
1985	15	115826
1985	20	112707
1985	25	105553
1985	30	94739
1985	35	87115
1985	40	82284
1985	45	78013
1985	50	80377
1985	55	76565
1985	60	64857
1985	65	49750
1985	70	39634
1985	75	26350
1985	80	14481
1985	85	8182
1985	999	0
1996	0	27635
1996	1	108359
1996	5	135124
1996	10	131488
1996	15	132931
1996	20	123067
1996	25	107769
1996	30	106954
1996	35	103041
1996	40	93306
1996	45	83498
1996	50	76376
1996	55	69908
1996	60	66890
1996	65	60868
1996	70	45533
1996	75	29948
1996	80	17735
1996	85	11858
1996	999	0
2004	0	22374
2004	1	101500
2004	5	137462
2004	10	134877
2004	15	131194
2004	20	121521
2004	25	119609
2004	30	107634
2004	35	98388
2004	40	103387
2004	45	93147
2004	50	84314
2004	55	70952
2004	60	65586
2004	65	54233
2004	70	49919
2004	75	34928
2004	80	21269
2004	85	13239
2004	999	0
2011	0	22029
2011	1	90675
2011	5	121820
2011	10	131022
2011	15	133042
2011	20	119928
2011	25	112852
2011	30	113884
2011	35	108704
2011	40	98612
2011	45	95812
2011	50	93175
2011	55	81828
2011	60	69864
2011	65	58769
2011	70	47705
2011	75	36806
2011	80	24912
2011	85	15977
2011	999	0
