Year	Age	Population
1926	0	40084
1926	1	150890
1926	5	165772
1926	10	158243
1926	15	160827
1926	20	142983
1926	25	133208
1926	30	113864
1926	35	87390
1926	40	79130
1926	45	51924
1926	50	50712
1926	55	22696
1926	60	26607
1926	65	13146
1926	70	11808
1926	75	6288
1926	80	6011
1926	85	4825
1926	999	49727
1936	0	44250
1936	1	189258
1936	5	230133
1936	10	197209
1936	15	184703
1936	20	174234
1936	25	149335
1936	30	113644
1936	35	102005
1936	40	88318
1936	45	59804
1936	50	58919
1936	55	32144
1936	60	37968
1936	65	16060
1936	70	14048
1936	75	6424
1936	80	6798
1936	85	5223
1936	999	1740
1941	0	63368
1941	1	222152
1941	5	255893
1941	10	226819
1941	15	211629
1941	20	190573
1941	25	167346
1941	30	127028
1941	35	109237
1941	40	96588
1941	45	72259
1941	50	60707
1941	55	38298
1941	60	40855
1941	65	19163
1941	70	16442
1941	75	7938
1941	80	7424
1941	85	5709
1941	999	2798
1950	0	89297
1950	1	325770
1950	5	334560
1950	10	276204
1950	15	252375
1950	20	237615
1950	25	198196
1950	30	157437
1950	35	145213
1950	40	114644
1950	45	86936
1950	50	82117
1950	55	49520
1950	60	50948
1950	65	25894
1950	70	22789
1950	75	10996
1950	80	10687
1950	85	7748
1950	999	3401
1961	0	151211
1961	1	524571
1961	5	572047
1961	10	443509
1961	15	339171
1961	20	306733
1961	25	267874
1961	30	237836
1961	35	194534
1961	40	157264
1961	45	134760
1961	50	106242
1961	55	83098
1961	60	69358
1961	65	41570
1961	70	29358
1961	75	18348
1961	80	13301
1961	85	11494
1961	999	0
1971	0	186296
1971	1	670787
1971	5	808623
1971	10	720931
1971	15	618350
1971	20	494304
1971	25	359572
1971	30	295091
1971	35	269569
1971	40	227387
1971	45	181170
1971	50	149077
1971	55	117369
1971	60	97461
1971	65	63024
1971	70	48015
1971	75	26097
1971	80	19497
1971	85	19191
1971	999	0
1981	0	218494
1981	1	832637
1981	5	948213
1981	10	899320
1981	15	816139
1981	20	731140
1981	25	624652
1981	30	492301
1981	35	362838
1981	40	294991
1981	45	249356
1981	50	215658
1981	55	165781
1981	60	130647
1981	65	99945
1981	70	72617
1981	75	45187
1981	80	27733
1981	85	20356
1981	999	0
1990	0	237323
1990	1	910840
1990	5	1107711
1990	10	1059292
1990	15	954017
1990	20	866962
1990	25	797461
1990	30	695674
1990	35	593061
1990	40	450116
1990	45	325227
1990	50	276801
1990	55	221681
1990	60	193315
1990	65	135951
1990	70	102688
1990	75	72986
1990	80	50004
1990	85	34398
1990	999	0
2001	0	227101
2001	1	976551
2001	5	1298331
2001	10	1243519
2001	15	1145976
2001	20	1097428
2001	25	958505
2001	30	894850
2001	35	816358
2001	40	729825
2001	45	592190
2001	50	471292
2001	55	319847
2001	60	261898
2001	65	204213
2001	70	163512
2001	75	113044
2001	80	71518
2001	85	65383
2001	999	0
2011	0	199044
2011	1	984379
2011	5	1166147
2011	10	1218588
2011	15	1305161
2011	20	1280524
2011	25	1184932
2011	30	1114124
2011	35	962942
2011	40	881981
2011	45	781077
2011	50	686679
2011	55	577864
2011	60	440702
2011	65	300997
2011	70	221170
2011	75	162866
2011	80	109899
2011	85	99102
2011	999	0
