Year	Age	Population
1926	0	40981
1926	1	151283
1926	5	171910
1926	10	168508
1926	15	148423
1926	20	130616
1926	25	119158
1926	30	102748
1926	35	80202
1926	40	71595
1926	45	55001
1926	50	47993
1926	55	23661
1926	60	21794
1926	65	11530
1926	70	8712
1926	75	5229
1926	80	3869
1926	85	3583
1926	999	47800
1936	0	45818
1936	1	194302
1936	5	241375
1936	10	214908
1936	15	164435
1936	20	158841
1936	25	135652
1936	30	104113
1936	35	98196
1936	40	80363
1936	45	65393
1936	50	52249
1936	55	32901
1936	60	28736
1936	65	13485
1936	70	9196
1936	75	4499
1936	80	3404
1936	85	2630
1936	999	1634
1941	0	64957
1941	1	227516
1941	5	266753
1941	10	246333
1941	15	190892
1941	20	182714
1941	25	154307
1941	30	124440
1941	35	106042
1941	40	93873
1941	45	79815
1941	50	57600
1941	55	38303
1941	60	31757
1941	65	16089
1941	70	10478
1941	75	5521
1941	80	4079
1941	85	2966
1941	999	4110
1950	0	93068
1950	1	339613
1950	5	352758
1950	10	298518
1950	15	244191
1950	20	236133
1950	25	202418
1950	30	170176
1950	35	156330
1950	40	124964
1950	45	97832
1950	50	82619
1950	55	52359
1950	60	41518
1950	65	22025
1950	70	15491
1950	75	7802
1950	80	5873
1950	85	4125
1950	999	4678
1961	0	156102
1961	1	542212
1961	5	591273
1961	10	458372
1961	15	340465
1961	20	311678
1961	25	283008
1961	30	264861
1961	35	210638
1961	40	174322
1961	45	146042
1961	50	112531
1961	55	84211
1961	60	62356
1961	65	36152
1961	70	21657
1961	75	12601
1961	80	7431
1961	85	5808
1961	999	0
1971	0	193906
1971	1	685260
1971	5	825436
1971	10	733043
1971	15	601632
1971	20	468221
1971	25	339379
1971	30	292549
1971	35	269387
1971	40	242066
1971	45	192813
1971	50	154814
1971	55	115977
1971	60	93690
1971	65	57561
1971	70	40923
1971	75	20005
1971	80	12524
1971	85	10525
1971	999	0
1981	0	228294
1981	1	859629
1981	5	974645
1981	10	911112
1981	15	828956
1981	20	715304
1981	25	609588
1981	30	488058
1981	35	359374
1981	40	299728
1981	45	252327
1981	50	221221
1981	55	166198
1981	60	126334
1981	65	89859
1981	70	61675
1981	75	35975
1981	80	19344
1981	85	11109
1981	999	0
1990	0	246850
1990	1	948046
1990	5	1146087
1990	10	1087702
1990	15	968497
1990	20	858225
1990	25	772081
1990	30	671020
1990	35	570519
1990	40	437768
1990	45	318990
1990	50	268059
1990	55	213658
1990	60	182223
1990	65	122834
1990	70	88974
1990	75	57796
1990	80	37974
1990	85	22454
1990	999	0
2001	0	236369
2001	1	1030060
2001	5	1352926
2001	10	1269705
2001	15	1154745
2001	20	1072826
2001	25	918063
2001	30	857675
2001	35	768107
2001	40	691549
2001	45	561907
2001	50	449661
2001	55	296106
2001	60	238627
2001	65	177284
2001	70	139265
2001	75	92800
2001	80	52273
2001	85	42921
2001	999	0
2011	0	211291
2011	1	1042917
2011	5	1236217
2011	10	1298191
2011	15	1336159
2011	20	1280125
2011	25	1159400
2011	30	1105617
2011	35	942311
2011	40	873509
2011	45	747704
2011	50	651255
2011	55	530935
2011	60	407656
2011	65	267691
2011	70	189285
2011	75	130126
2011	80	78996
2011	85	60367
2011	999	0
