"территория","год","цск.чн.горсел.мж","цск.чн.горсел.м","цск.чн.горсел.ж","цск.чн.гор.мж","цск.чн.гор.м","цск.чн.гор.ж","цск.чн.сел.мж","цск.чн.сел.м","цск.чн.сел.ж","угви.чн.горсел.мж","угви.чн.горсел.м","угви.чн.горсел.ж","угви.чн.гор.мж","угви.чн.гор.м","угви.чн.гор.ж","угви.чн.сел.мж","угви.чн.сел.м","угви.чн.сел.ж","угви.чр.горсел.мж","угви.чр.горсел.м","угви.чр.горсел.ж","угви.чр.гор.мж","угви.чр.гор.м","угви.чр.гор.ж","угви.чр.сел.мж","угви.чр.сел.м","угви.чр.сел.ж","угви.чс.горсел.мж","угви.чс.горсел.м","угви.чс.горсел.ж","угви.чс.гор.мж","угви.чс.гор.м","угви.чс.гор.ж","угви.чс.сел.мж","угви.чс.сел.м","угви.чс.сел.ж","мигр","стаб"
"Акмолинская обл.","1896","","","","","","","","","","556302","","","","","","","","","17731","","","","","","","","","12299","","","","","","","","","40610",""
"Акмолинская обл.","1897","","","","","","","","","","653185","","","","","","","","","23631","","","","","","","","","15112","","","","","","","","","13046",""
"Акмолинская обл.","1898","","","","","","","","","","688306","","","","","","","","","21539","","","","","","","","","13435","","","","","","","","","18758",""
"Акмолинская обл.","1899","","","","","","","","","","763626","","","","","","","","","29233","","","","","","","","","19173","","","","","","","","","23115",""
"Акмолинская обл.","1900","","","","","","","","","","734729","","","","","","","","","30761","","","","","","","","","20984","","","","","","","","","18766",""
"Акмолинская обл.","1901","","","","","","","","","","766126","","","","","","","","","30052","","","","","","","","","17229","","","","","","","","","4901",""
"Акмолинская обл.","1902","","","","","","","","","","800936","","","","","","","","","28790","","","4560","2408","2152","24230","13060","11170","15891","","","3415","1976","1439","12476","6665","5811","5346",""
"Акмолинская обл.","1903","","","","","","","","","","929531","","","94976","49779","45197","834555","443664","390891","29791","","","3907","2025","1882","25884","13517","12367","16224","","","2322","1283","1039","13902","7377","6525","6315",""
"Акмолинская обл.","1904","763400","398300","365100","83400","43300","40100","680000","355000","325000","832517","","","109279","56601","52678","723238","381501","341737","33169","","","5278","2742","2536","27891","14577","13314","23660","","","4171","2253","1918","19489","10080","9409","4077",""
"Акмолинская обл.","1905","778200","406200","372000","85600","44600","41000","692600","361600","331000","892484","","","109494","56097","53397","782990","412590","370400","28487","","","5654","3127","2527","22833","13017","9816","19559","","","4317","2242","2075","15242","8718","6524","10182",""
"Акмолинская обл.","1906","787800","411300","376500","86700","45100","41600","701100","366200","334900","934612","","","117078","60009","57069","817534","429213","388321","40153","","","6863","3499","3364","33290","17289","16001","24519","","","5390","3015","2375","19129","9959","9170","54222",""
"Акмолинская обл.","1907","797700","416400","381300","87800","45600","42200","709900","370800","339100","956393","","","127689","68206","59483","828704","434719","393985","41307","","","7636","3887","3749","33671","17006","16665","25193","","","5997","3170","2827","19196","9741","9455","64087",""
"Акмолинская обл.","1908","809700","422500","387200","89600","46500","43100","720100","376000","344100","988005","","","142439","75732","66707","845566","444666","400900","42154","","","7817","3988","3829","34337","17430","16907","25326","","","6245","3238","3007","19081","9629","9452","122489",""
"Акмолинская обл.","1909","979200","508000","471200","144400","74400","70000","834800","433600","401200","1121002","","","146530","73165","73365","974472","509576","464896","45660","","","7917","4042","3875","37743","19425","18318","26162","","","6269","3246","3023","19893","9921","9972","84450",""
"Акмолинская обл.","1910","1047300","543000","504300","153800","79700","74100","893500","463300","430200","1217834","","","152888","76492","76396","1064946","553467","511479","61638","","","9096","4666","4430","52542","27513","25029","39376","","","6797","3663","3134","32579","16922","15657","29216","*"
"Акмолинская обл.","1911","1064000","550700","513300","156300","81000","75300","907700","469700","438000","1443721","","","192702","99310","93392","1251019","652735","598284","62539","","","7109","3584","3525","55430","28737","26693","37060","","","4862","2693","2169","32198","17139","15059","2661","*"
"Акмолинская обл.","1912","1454100","758700","695400","197800","102700","95100","1256300","656000","600300","1469401","","","196175","88587","107588","1273226","658842","614384","62641","","","7137","3603","3534","55504","28774","26730","37122","","","4882","2704","2178","32240","17176","15064","6623","*"
"Акмолинская обл.","1913","1491900","778100","713800","204600","106300","98300","1287300","671800","615500","1495669","","","199035","99294","99741","1296634","672307","624327","63079","","","7317","3693","3624","55762","28881","26881","37525","","","5051","2537","2514","32474","17245","15229","29020","*"
"Акмолинская обл.","1914","1523700","793800","729900","206600","107200","99400","1317100","686600","630500","1525543","","","204346","101891","102455","1321197","683192","638005","66740","","","6172","3128","3044","60568","31244","29324","36604","","","4558","2488","2070","32046","16664","15382","38707","*"
"Амурская обл.","1896","","","","","","","","","","81356","","","","","","","","","3820","","","","","","","","","2194","","","","","","","","","1869",""
"Амурская обл.","1897","","","","","","","","","","91156","","","","","","","","","4856","","","","","","","","","2393","","","","","","","","","1317",""
"Амурская обл.","1898","","","","","","","","","","92296","","","","","","","","","3951","","","","","","","","","2042","","","","","","","","","3930",""
"Амурская обл.","1899","","","","","","","","","","93784","","","","","","","","","4681","","","","","","","","","2825","","","","","","","","","1377",""
"Амурская обл.","1900","","","","","","","","","","96103","","","","","","","","","4983","","","","","","","","","3412","","","","","","","","","6725",""
"Амурская обл.","1901","","","","","","","","","","101637","","","","","","","","","5317","","","","","","","","","3112","","","","","","","","","3163",""
"Амурская обл.","1902","","","","","","","","","","104165","","","","","","","","","6272","","","2078","1032","1046","4194","2150","2044","3476","","","1509","897","612","1967","1018","949","7421",""
"Амурская обл.","1903","","","","","","","","","","111351","","","38987","21018","17969","72364","42123","30241","6126","","","1772","913","859","4354","2269","2085","2861","","","1014","514","500","1847","1020","827","3682",""
"Амурская обл.","1904","139000","76900","62100","36000","20900","15100","103000","56000","47000","124271","","","43387","24992","18395","80884","48901","31983","6918","","","2054","1084","970","4864","2527","2337","3056","","","1221","727","494","1835","1005","830","-199",""
"Амурская обл.","1905","143700","79300","64400","36800","21300","15500","106900","58000","48900","126688","","","36559","21239","15320","90129","55249","34880","6630","","","1829","1002","827","4801","2658","2143","3505","","","1008","553","455","2497","1355","1142","22",""
"Амурская обл.","1906","148700","81800","66900","37700","21700","16000","111000","60100","50900","130032","","","37886","20596","17290","92146","55908","36238","7160","","","2288","1110","1178","4872","2528","2344","3370","","","1438","840","598","1932","1021","911","4590",""
"Амурская обл.","1907","154200","84700","69500","39000","22400","16600","115200","62300","52900","134166","","","39629","22439","17190","94537","57945","36592","7945","","","2292","1152","1140","5653","2933","2720","6444","","","2105","1226","879","4339","2295","2044","16910",""
"Амурская обл.","1908","160400","87900","72500","40500","23200","17300","119900","64700","55200","154636","","","56415","35207","21208","98221","57212","41009","8704","","","2871","1427","1444","5833","2921","2912","4721","","","2317","1206","1111","2404","1327","1077","8946",""
"Амурская обл.","1909","195200","114900","80300","60900","38000","22900","134300","76900","57400","157272","","","56414","35207","21207","100858","59592","41266","8351","","","2223","1108","1115","6128","3036","3092","5226","","","1580","898","682","3646","1871","1775","22417",""
"Амурская обл.","1910","217700","127400","90300","64800","40200","24600","152900","87200","65700","198860","","","68064","42530","25534","130796","72392","58404","10730","","","3017","1515","1502","7713","3944","3769","6747","","","2216","1314","902","4531","2433","2098","17794",""
