Year,Sex,CCl,Cause,Drac0,Drac1,Drac5,Drac10,Drac15,Drac20,Drac25,Drac30,Drac35,Drac40,Drac45,Drac50,Drac55,Drac60,Drac65,Drac70,Drac75,Drac80,Drac85
1959,M,9,0,46724,3201,1266,973,1762,2443,3132,3953,4883,6345,8795,13611,20812,31237,43574,63663,91234,131990,189845
1959,M,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1959,M,9,2,5,2,2,2,5,4,3,2,2,4,5,2,3,4,5,7,11,12,22
1959,M,9,3,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1959,M,9,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1959,M,9,5,462,44,3,1,0,0,0,1,1,1,2,3,4,8,10,15,22,31,44
1959,M,9,6,7,2,1,1,0,1,1,1,1,1,1,1,3,2,2,3,3,6,11
1959,M,9,7,187,11,1,0,0,0,0,0,0,0,0,0,1,2,2,5,6,6,11
1959,M,9,8,1465,201,10,4,3,2,1,4,5,7,10,12,19,39,55,79,114,168,242
1959,M,9,9,411,110,23,18,54,165,362,628,776,856,1191,1454,2227,1147,1611,2343,3384,4893,7045
1959,M,9,10,328,115,27,16,14,11,8,12,15,14,19,16,25,9,13,18,28,37,55
1959,M,9,11,17,3,2,1,2,3,3,3,4,2,3,6,10,7,9,13,19,31,44
1959,M,9,12,9,8,6,6,9,9,6,7,9,7,10,13,21,22,30,44,64,93,132
1959,M,9,13,62,12,4,3,4,5,7,6,8,7,9,14,21,13,19,26,39,56,77
1959,M,9,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1959,M,9,15,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2,3,6,0
1959,M,9,16,1,1,0,0,0,0,1,1,1,1,1,4,6,4,7,10,14,19,33
1959,M,9,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1959,M,9,18,57,83,67,31,2,0,0,0,0,1,1,1,1,0,0,0,0,0,0
1959,M,9,19,661,70,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1959,M,9,20,8,2,1,1,0,1,0,0,0,0,0,1,1,1,1,2,3,0,0
1959,M,9,21,16,13,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1959,M,9,22,12,0,0,0,0,0,0,0,0,0,0,1,1,4,6,8,11,19,22
1959,M,9,23,140,17,6,5,4,3,4,4,5,4,6,6,10,4,6,10,14,19,33
1959,M,9,24,11,4,9,7,2,2,1,2,2,1,2,5,7,4,5,7,11,12,22
1959,M,9,25,563,11,5,4,4,4,5,7,8,12,17,16,25,22,31,46,67,93,132
1959,M,9,26,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,2,3,0,0
1959,M,9,27,36,10,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1959,M,9,28,548,179,16,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1959,M,9,29,194,25,9,7,8,6,7,9,11,8,11,12,18,9,13,18,22,31,44
1959,M,9,30,65,25,5,4,6,8,7,8,10,8,12,18,29,34,49,72,103,149,220
1959,M,9,31,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2,3,6,0
1959,M,9,32,113,27,8,4,4,3,3,3,4,4,5,6,10,5,7,10,14,19,33
1959,M,9,33,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,3,6,0
1959,M,9,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1959,M,9,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1959,M,9,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1959,M,9,37,9,1,0,0,0,1,1,3,3,7,9,9,14,12,17,26,36,56,77
1959,M,9,38,9,5,2,2,1,2,2,5,3,2,3,5,7,4,6,8,11,19,22
