Year,Reg,Group,Sex,PopD5a0,PopD5a1,PopD5a5,PopD5a10,PopD5a15,PopD5a20,PopD5a25,PopD5a30,PopD5a35,PopD5a40,PopD5a45,PopD5a50,PopD5a55,PopD5a60,PopD5a65,PopD5a70,PopD5a75,PopD5a80,PopD5a85
1989,1100,T,B,2225266,9661584,11483800,10648617,10055895,9670520,12332409,12886380,11806813,8323441,7307686,9937088,8144116,8502566,4771008,3488254,3387037,1793009,906633
1989,1100,T,M,1137338,4921245,5832024,5401796,5146695,4929011,6261117,6487721,5885272,4097228,3466734,4609243,3608519,3354429,1449266,971419,831625,370075,146940
1989,1100,T,F,1087928,4740339,5651776,5246821,4909200,4741509,6071292,6398659,5921541,4226213,3840952,5327846,4535597,5148137,3321742,2516835,2555412,1422934,759693
1989,1100,U,B,1568249,6829944,8200433,7646534,7790345,7348022,9260086,9817440,9233568,6680214,5501197,7255458,5607599,5900437,3312508,2382661,2239255,1170539,574358
1989,1100,U,M,801741,3482628,4168955,3879283,3904597,3716523,4630680,4848867,4520506,3246594,2597008,3328973,2443416,2344600,1010211,685508,572485,248304,96313
1989,1100,U,F,766508,3347316,4031478,3767252,3885748,3631499,4629406,4968573,4713062,3433620,2904189,3926485,3164184,3555837,2302297,1697154,1666770,922236,478045
1989,1100,R,B,657018,2831640,3283367,3002083,2265550,2322499,3072323,3068940,2573246,1643228,1806489,2681631,2536517,2602129,1458501,1105593,1147783,622470,332276
1989,1100,R,M,335597,1438617,1663069,1522513,1242098,1212489,1630437,1638854,1364767,850634,869726,1280270,1165104,1009830,439055,285912,259141,121772,50627
1989,1100,R,F,321421,1393023,1620298,1479570,1023452,1110010,1441886,1430086,1208479,792594,936763,1401361,1371413,1592300,1019446,819681,888642,500699,281649
1989,3000,T,B,483234,2106550,2525782,2385306,2404854,2335080,2983851,3191037,2934778,2233990,1994711,2738761,2421444,2590489,1544641,1100683,1106290,593604,303277
1989,3000,T,M,246622,1073128,1285488,1212714,1213781,1166129,1490725,1585950,1443136,1086187,934386,1254390,1058458,1011963,462059,298906,261435,118038,47768
1989,3000,T,F,236612,1033422,1240294,1172593,1191073,1168952,1493127,1605088,1491642,1147803,1060326,1484371,1362987,1578526,1082583,801778,844855,475566,255509
1989,3000,U,B,377683,1648267,1995700,1884137,1990162,1901403,2415758,2602744,2432561,1885318,1574630,2106872,1735418,1858504,1097924,769289,742285,392581,197512
1989,3000,U,M,192844,840444,1016631,957813,985933,938406,1185642,1266376,1171985,904627,733675,954139,745642,736512,332331,218879,187040,82545,33305
1989,3000,U,F,184839,807824,979069,926324,1004229,962997,1230116,1336369,1260576,980691,840955,1152734,989776,1121992,765593,550410,555245,310036,164207
1989,3000,R,B,105551,458283,530082,501170,414692,433678,568093,588293,502217,348672,420082,631889,686027,731986,446717,331395,364005,201023,105766
1989,3000,R,M,53778,232685,268857,254901,227848,227723,305083,319574,271151,181561,200711,300252,312816,275451,129728,80027,74395,35494,14463
1989,3000,R,F,51773,225598,261225,246269,186844,205955,263011,268719,231067,167112,219371,331637,373211,456535,316990,251368,289610,165530,91303
1989,1114,T,B,19879,86505,99347,91803,84801,82126,111882,115095,102408,66025,70895,97991,81598,91854,53991,42121,45811,24710,13978
1989,1114,T,M,10148,44036,50773,46658,41546,39765,56034,57782,51720,32766,33020,46191,36924,35312,16373,11172,10684,5254,2482
1989,1114,T,F,9731,42469,48575,45145,43256,42361,55849,57313,50688,33259,37876,51801,44674,56543,37618,30949,35127,19456,11496
1989,1114,U,B,13524,59288,69875,63881,62644,56475,79637,84742,76874,48048,43425,55906,39051,42667,24623,18165,17666,9434,5307
1989,1114,U,M,6919,30188,35698,32574,29429,26721,38618,40997,37942,23665,20343,26420,17701,17192,7996,5393,4511,2077,950
1989,1114,U,F,6605,29100,34177,31307,33215,29754,41019,43745,38932,24383,23082,29487,21351,25476,16628,12773,13155,7357,4357
1989,1114,R,B,6355,27217,29473,27922,22157,25651,32246,30353,25534,17977,27471,42085,42547,49187,29368,23956,28146,15276,8671
1989,1114,R,M,3229,13848,15075,14084,12117,13044,17416,16785,13778,9101,12677,19771,19223,18120,8377,5780,6174,3177,1533
1989,1114,R,F,3126,13369,14398,13838,10041,12608,14830,13568,11756,8876,14794,22314,23324,31067,20991,18177,21972,12099,7139
1989,1115,T,B,21064,89244,105370,100761,96473,90688,112100,118467,106101,71362,72841,100173,98758,106104,63888,40961,41220,22515,12423
1989,1115,T,M,10809,45628,53517,50856,49423,46225,57669,60503,53646,35542,34566,45768,42784,39859,18181,10941,9577,4524,2128
1989,1115,T,F,10256,43616,51853,49906,47050,44463,54431,57964,52455,35820,38276,54405,55974,66246,45707,30020,31643,17991,10295
1989,1115,U,B,14618,62528,75438,70790,73415,65615,82194,89090,81759,54476,49457,64646,53584,58044,33887,21662,20436,10896,5931
1989,1115,U,M,7529,32080,38459,35684,36859,32857,41021,44069,40275,26787,23297,29647,23183,22425,9897,6240,5072,2200,1058
1989,1115,U,F,7089,30449,36979,35107,36556,32758,41173,45021,41485,27689,26161,34999,30401,35619,23991,15422,15364,8696,4873
1989,1115,R,B,6447,26716,29933,29971,23059,25073,29906,29378,24342,16886,23384,35528,45174,48061,30001,19300,20784,11619,6492
1989,1115,R,M,3280,13549,15059,15172,12565,13368,16649,16435,13372,8755,11269,16122,19601,17434,8285,4701,4505,2324,1070
1989,1115,R,F,3167,13168,14874,14799,10494,11706,13258,12943,10970,8131,12115,19406,25573,30627,21717,14599,16279,9295,5422
