Year,Sex,Pdc0,Pdc1,Pdc5,Pdc10,Pdc15,Pdc20,Pdc25,Pdc30,Pdc35,Pdc40,Pdc45,Pdc50,Pdc55,Pdc60,Pdc65,Pdc70,Pdc75,Pdc80,Pdc85
1959,M,1398350,5464939,6382935,4617838,4115578,5970208,5126412,5218238,2621161,2272705,2727022,2188714,1538405,1139985,857880,609804,359054,160838,90990
1960,M,1385849,5473717,6469093,5308373,3407018,6202939,4874617,5586701,2945741,2169874,2722823,2282433,1627725,1139741,882003,597768,372759,172378,101316
1961,M,1357515,5512643,6566263,5727804,3095248,6167561,4817313,5730968,3405608,2162380,2608422,2372902,1737992,1154275,913588,608255,389411,188748,114970
1962,M,1284623,5518026,6664228,5959156,3268763,5728660,5005268,5628709,3976237,2239743,2427241,2442134,1862301,1181268,932625,621558,399679,202933,125899
1963,M,1203266,5424028,6795226,6162264,3779475,4900268,5372860,5343604,4564694,2342197,2285784,2519970,1948667,1250570,936321,632898,410609,219237,134707
1964,M,1114415,5241098,6859227,6277022,4504820,4030425,5803642,4970053,5060524,2518211,2179252,2586726,2022675,1338390,942839,652975,416745,233040,144994
1965,M,1030365,4962389,6846074,6354116,5247230,3361885,6043031,4715430,5417522,2834416,2068931,2582037,2110823,1426943,956136,682094,413345,237754,154029
1966,M,989955,4627053,6808899,6429698,5724502,3072561,6036720,4661272,5561426,3272060,2058294,2470472,2192697,1525187,968748,702194,416582,236758,156495
1967,M,954343,4326460,6693669,6509640,5992339,3253828,5632637,4843776,5456162,3823893,2134015,2286655,2256564,1631721,997038,714884,422840,234444,155141
1968,M,919054,4079766,6510940,6631593,6206777,3782949,4833974,5198904,5157910,4380093,2222053,2143792,2319770,1707851,1055527,717578,428221,235678,148032
1969,M,914551,3897612,6267195,6702528,6312228,4554581,3997630,5615312,4774381,4836561,2379953,2035499,2369645,1780189,1130181,720378,437665,233559,130719
1970,M,961658,3806589,5908257,6677564,6304104,5320639,3342197,5844737,4505790,5154257,2690789,1925952,2356442,1850260,1199014,720142,448327,225957,117923
1971,M,1016663,3776614,5537263,6640724,6290494,5747206,3060809,5823413,4459798,5265634,3114730,1917333,2245698,1912154,1267624,722522,457109,225098,119256
1972,M,1046325,3799499,5226929,6584766,6315231,5932694,3263401,5432161,4660848,5164041,3631103,1997199,2074146,1982331,1341457,745233,460673,228725,124814
1973,M,1060539,3878944,4965763,6425583,6397877,6063266,3800605,4667819,5025872,4895912,4157173,2088552,1952665,2043951,1399958,787791,456081,228093,131687
1974,M,1074590,3972622,4789654,6161499,6484705,6128775,4493727,3870982,5433028,4542450,4598709,2245036,1858300,2090762,1452358,843488,457059,228597,134856
1975,M,1095418,4060139,4714410,5824400,6548380,6186280,5167525,3255012,5663514,4304930,4910217,2531201,1755591,2080840,1513946,895300,464468,235552,134790
1976,M,1103999,4136436,4715579,5485037,6608850,6263343,5581587,2993368,5653704,4290887,5011554,2920945,1743069,1975652,1577646,949648,472986,240388,135118
1977,M,1105954,4196208,4775784,5181735,6602014,6350583,5783486,3196753,5266852,4488741,4906624,3401798,1812726,1812583,1637712,1009070,491442,241832,134314
1978,M,1098479,4247094,4872918,4929608,6466478,6514154,5945189,3725102,4518259,4839457,4642229,3889574,1892254,1703041,1687136,1058423,523582,244079,135477
