Year,Reg,Group,Bra15,Bra16,Bra17,Bra18,Bra19,Bra20,Bra21,Bra22,Bra23,Bra24,Bra25,Bra26,Bra27,Bra28,Bra29,Bra30,Bra31,Bra32,Bra33,Bra34,Bra35,Bra36,Bra37,Bra38,Bra39,Bra40,Bra41,Bra42,Bra43,Bra44,Bra45,Bra46,Bra47,Bra48,Bra49,Bra50,Bra51,Bra52,Bra53,Bra54,Bra55
1989,1100,T,1838,10395,34222,80966,140650,174445,179922,170595,156914,139767,127411,115315,103563,91972,82333,72221,61731,53221,45925,39351,33096,26172,21794,16341,11746,9067,5263,3982,2329,1280,655,268,102,64,40,14,9,12,4,6,23
1989,1100,U,1393,8683,27761,66238,122468,155277,163202,156407,143544,128268,117730,107714,97342,86501,77289,67625,57686,49282,41912,35840,29775,23468,19254,14142,10046,7564,4383,3172,1774,937,495,178,63,29,28,10,3,10,4,2,13
1989,1100,R,3091,15822,63770,155175,216754,244637,236743,215783,198363,175419,157617,139396,123539,109763,98911,87564,75509,66814,60157,52154,45525,36505,31724,25127,18649,15350,9073,7529,4811,2785,1251,551,225,172,74,26,26,21,4,17,46
1989,3000,T,1586,8309,28296,68582,124826,155651,160451,149737,139458,123773,112655,103250,92559,81618,73037,64141,54294,45649,39567,32750,27389,21000,17087,12776,9136,6961,4056,3075,1789,1077,575,171,57,32,13,0,3,10,0,9,5
1989,3000,U,1166,6463,22589,56978,110402,141810,149330,141626,132008,117738,108485,100348,90268,79688,71378,62641,53035,44495,38066,31490,26037,20003,16125,11706,8157,6115,3709,2727,1538,897,487,140,62,13,17,0,4,12,0,6,6
1989,3000,R,3339,16999,64249,145772,206781,226590,214083,186504,172735,151035,131643,116720,103325,90742,80901,71305,60417,51321,47205,39370,34668,26450,22375,18647,14469,11706,6126,5161,3296,2126,1002,296,42,100,0,0,0,0,0,18,0
1989,1114,T,1801,10654,40548,96192,167661,200857,201978,183900,157226,144517,121811,108438,96088,83522,74900,60980,52250,43413,37386,33333,24524,20466,15430,12303,10986,5760,4908,3746,2715,283,864,197,0,0,0,0,0,0,0,0,0
1989,1114,U,1092,7502,26961,75085,144683,178497,184148,176396,152170,140898,115885,104051,95965,78287,73476,59685,50346,43096,37295,31226,23769,20215,14623,11209,9650,4937,4428,3154,1781,0,1305,317,0,0,0,0,0,0,0,0,0
1989,1114,R,3639,19978,104554,184171,232036,254799,243471,201036,169019,153377,137101,120137,96429,98376,79122,64984,58273,44436,37685,40440,27136,21328,18119,15877,15115,8232,6344,5356,5013,916,0,0,0,0,0,0,0,0,0,0,0
1989,1115,T,1402,8017,27188,79601,152057,195162,196590,181110,161977,146431,139446,122965,112556,95539,83996,79555,62382,53226,43404,38884,30591,25490,20280,14970,10355,9372,4593,4183,3036,1877,698,915,0,0,94,0,0,0,0,0,0
1989,1115,U,1122,5662,18892,61075,128082,180901,177403,170502,146419,138273,129010,117445,106064,91679,79208,76237,60200,49850,41994,35387,27985,22489,18086,12195,8251,6746,4228,3209,2091,1916,335,1079,0,0,140,0,0,0,0,0,0
1989,1115,R,2103,14841,62672,171505,244400,238357,249892,209493,204090,169562,169327,139624,132904,107831,99853,90707,69780,64736,48429,51807,40565,37019,28591,25391,18142,18980,5886,7519,6178,1769,1523,569,0,0,0,0,0,0,0,0,0
1989,1117,T,1095,7374,29156,76798,144809,178647,177413,165679,152875,130395,115232,106966,93730,85538,75165,68843,55730,46269,41464,32433,27193,20719,17500,13407,8023,7683,3840,3059,2108,889,886,184,101,0,0,0,0,0,0,0,0
1989,1117,U,1117,5512,25697,67762,130331,168750,172757,162059,145527,128352,111934,104596,90412,83111,74947,68782,54785,45550,39434,29924,25186,20214,15953,11905,7127,6478,3535,2903,1890,416,788,0,123,0,0,0,0,0,0,0,0
1989,1117,R,998,16741,50153,133424,228035,232434,201805,183655,188901,140285,130777,118049,108959,96834,76171,69109,60004,49659,51153,44628,37110,23278,25616,21461,12881,14267,5621,3987,3366,3654,1419,1052,0,0,0,0,0,0,0,0,0
1989,1120,T,2649,11338,37423,83950,146863,178493,178721,165152,152664,133107,119869,108394,93842,84954,74315,61886,50743,46648,36988,32820,29536,21960,17178,13713,8755,7229,4117,3288,2118,1556,467,113,133,156,48,0,0,0,0,0,0
1989,1120,U,1432,6890,23497,58634,118885,155155,164100,155027,144614,126487,117183,106436,92167,85669,71487,59406,50363,44376,36141,31105,28106,20633,16063,12019,7279,6276,3213,3245,1890,1459,241,0,110,0,82,0,0,0,0,0,0
1989,1120,R,5057,21493,87324,173498,225055,238345,214184,187325,169944,147399,125619,112602,97439,83375,80595,67432,51614,51891,39001,37013,33071,25248,19869,17787,12333,9610,6480,3394,2649,1760,879,299,167,385,0,0,0,0,0,0,0
1989,1124,T,1186,6509,27488,69729,125062,168748,165567,155406,159619,132995,126313,112115,97103,87274,75648,62028,53141,45443,40932,30100,27593,18423,16578,14338,8126,5354,2338,2161,1636,1503,322,0,0,0,0,0,87,0,0,0,0
1989,1124,U,987,5538,25227,63651,115581,153030,154248,148933,147320,124676,120271,110634,91183,85009,74628,60976,53052,44042,38422,29243,25699,17568,16062,14239,7696,4898,2103,2320,1305,1148,374,0,0,0,0,0,103,0,0,0,0
1989,1124,R,2241,12505,46924,132099,210643,290436,242623,193548,227484,175816,156154,119422,125604,97770,80290,66871,53571,52280,53613,34632,38089,23497,19691,14931,10881,8525,4024,1031,4013,3937,0,0,0,0,0,0,0,0,0,0,0
1989,1129,T,1176,9231,33730,77423,141714,170407,188318,170724,158428,133543,110453,107689,97334,87252,76083,62599,58182,50144,42662,33139,26846,21869,18507,12494,10367,6603,2386,3344,2417,1438,335,512,0,0,125,0,0,0,0,0,0
1989,1129,U,1014,6498,26606,58086,123654,155695,175549,157661,147703,126580,104128,102826,94034,86781,70926,60555,52938,46309,37634,31116,25728,18770,14630,9855,8416,5081,1790,2513,1809,751,0,356,0,0,176,0,0,0,0,0,0
1989,1129,R,1603,17637,60155,151297,200767,215491,225584,208131,189590,153889,129527,122530,107159,88635,91142,68818,74473,61707,58301,39716,30447,32004,31414,21362,17026,11834,4554,6406,4560,3692,1324,913,0,0,0,0,0,0,0,0,0
1989,1134,T,1363,7208,20443,63941,128966,170982,184163,184722,176085,148422,138889,125542,107149,96112,82308,78405,59507,52396,48183,33827,34401,29498,18730,15867,10525,10766,5822,2817,1576,0,621,0,0,0,0,0,0,0,0,0,0
1989,1134,U,1053,5274,14620,53864,109770,151671,168265,172011,159361,139173,129611,120552,101801,89360,78955,73366,56895,48738,40599,32163,32041,27167,15013,13161,9719,8655,4366,1821,1628,0,815,0,0,0,0,0,0,0,0,0,0
1989,1134,R,2246,13901,50204,122208,209850,232889,227909,216000,216122,171487,162533,138142,120342,113317,90982,91441,66159,61555,67969,38406,41165,36303,29934,24217,13027,17593,10685,6211,1399,0,0,0,0,0,0,0,0,0,0,0,0
1989,1138,T,3074,12333,37784,86228,154811,186078,191050,187864,161852,140743,123395,107952,95582,86397,73452,67399,54867,46197,41446,32042,28677,21993,18127,14652,11106,7049,4926,4372,1298,1958,841,0,127,105,94,0,0,0,0,0,0
1989,1138,U,2288,8444,23787,63889,128658,164528,171896,177739,150656,136493,118381,103605,94900,87206,71694,64316,51051,42899,40508,29178,27010,18810,15958,13186,8396,6219,4855,2898,1122,441,949,0,233,0,174,0,0,0,0,0,0
1989,1138,R,4683,21219,89357,171580,229049,237583,232985,208325,184680,149536,134497,117747,97116,84480,77790,75242,64775,54869,44003,40008,33463,31197,24344,18664,18011,9178,5102,7524,1639,4591,686,0,0,232,0,0,0,0,0,0,0
