Year,Reg,Group,Sex,Dra0,Dra1,Dra2,Dra3,Dra4,Dra5,Dra6,Dra7,Dra8,Dra9,Dra10,Dra11,Dra12,Dra13,Dra14,Dra15,Dra16,Dra17,Dra18,Dra19,Dra20,Dra21,Dra22,Dra23,Dra24,Dra25,Dra26,Dra27,Dra28,Dra29,Dra30,Dra31,Dra32,Dra33,Dra34,Dra35,Dra36,Dra37,Dra38,Dra39,Dra40,Dra41,Dra42,Dra43,Dra44,Dra45,Dra46,Dra47,Dra48,Dra49,Dra50,Dra51,Dra52,Dra53,Dra54,Dra55,Dra56,Dra57,Dra58,Dra59,Dra60,Dra61,Dra62,Dra63,Dra64,Dra65,Dra66,Dra67,Dra68,Dra69,Dra70,Dra71,Dra72,Dra73,Dra74,Dra75,Dra76,Dra77,Dra78,Dra79,Dra80,Dra81,Dra82,Dra83,Dra84,Dra85,Dra86,Dra87,Dra88,Dra89,Dra90,Dra91,Dra92,Dra93,Dra94,Dra95,Dra96,Dra97,Dra98,Dra99,Dra100
2015,1100,T,B,6579,591,371,289,265,251,237,227,200,185,222,224,261,305,369,500,559,663,882,927,1091,1107,1281,1361,1421,1523,1797,2073,2290,2452,2628,3089,3506,3751,4034,4285,4710,4903,5007,5149,5410,5482,5565,5907,5913,6299,6671,7039,7532,7926,8309,8978,9607,10264,10562,11645,12800,13511,14406,15559,17475,18371,19344,21126,21464,22986,26466,24520,30885,27919,31384,34156,33370,43914,42371,47863,55025,55977,64844,71074,78328,83922,94947,107754,115081,129997,143003,162047,172840,186443,199350,221329,228414,254962,252363,280566,335913,320344,296927,314853,243003
2015,1100,T,M,7329,642,426,305,293,303,289,245,237,219,268,241,323,338,437,598,719,894,1282,1338,1611,1654,1948,2090,2144,2321,2729,3164,3477,3723,3959,4650,5221,5668,6084,6451,7157,7568,7633,7912,8322,8301,8410,8896,8894,9507,10087,10751,11618,12170,12879,14017,14985,16022,16530,18165,20241,21175,22920,24956,28615,29958,31549,34207,34621,36883,42207,38974,48596,43766,48442,52852,50953,68105,65410,71930,82099,81494,90539,96636,104313,108087,118901,132582,135944,151953,164183,177898,182944,185686,190345,205147,193970,207821,202879,208757,269690,230834,208576,203411,152008
2015,1100,T,F,5788,538,314,273,235,198,182,209,161,149,175,205,197,270,299,398,391,422,466,498,547,533,590,605,676,696,841,956,1079,1173,1295,1523,1796,1851,2014,2163,2343,2360,2518,2550,2684,2841,2909,3114,3117,3310,3532,3659,3862,4157,4301,4608,5003,5399,5554,6282,6850,7486,7853,8527,9366,10131,10843,12207,12618,13855,16429,15486,20148,18604,21608,23848,24283,32153,31507,36938,43347,45158,54110,60747,68222,74997,86487,99238,108022,122929,136700,157399,169905,186447,201213,224586,235585,265412,264447,298863,351869,342245,319057,343765,270958
2015,1100,U,B,6038,488,321,248,232,220,212,203,182,157,214,214,241,302,355,427,497,534,748,818,953,947,1050,1107,1196,1368,1618,1891,2128,2241,2479,2963,3375,3601,3887,4177,4574,4768,4888,4988,5217,5331,5346,5687,5725,6036,6452,6800,7212,7617,7974,8636,9298,9877,10157,11157,12389,12935,13864,14981,16731,17591,18670,20319,20726,22129,25833,24091,30157,27350,30765,33251,32429,42704,41456,47295,53954,55162,63355,69702,77402,82331,94001,106786,113847,127814,142510,161639,172994,186189,199740,219853,227361,251281,248667,271800,323559,315204,286587,299064,214694
2015,1100,U,M,6759,526,349,273,256,258,258,219,220,190,249,221,296,335,419,484,612,685,1125,1183,1406,1404,1617,1710,1817,2096,2464,2908,3243,3438,3758,4488,5059,5521,5915,6363,7064,7442,7567,7808,8108,8104,8178,8588,8670,9174,9826,10406,11201,11901,12531,13727,14797,15723,16183,17749,20120,20699,22636,24596,27947,29214,31095,33573,33848,35994,41842,38874,48059,43282,48292,51651,49777,66580,64453,71604,80757,80805,88618,94671,102554,105202,117789,129583,132419,146843,161445,177831,183123,185917,193427,208677,192947,202823,199901,205155,255084,238957,194869,204725,143325
2015,1100,U,F,5279,449,291,222,207,179,164,187,142,123,178,207,184,267,289,367,377,377,365,447,491,483,486,505,576,644,784,890,1032,1076,1237,1476,1740,1748,1931,2081,2217,2269,2403,2392,2564,2782,2752,3029,3012,3175,3432,3615,3751,3950,4130,4402,4797,5175,5352,6023,6552,7174,7493,8178,8997,9756,10455,11730,12303,13428,16092,15206,19652,18222,20908,23244,23582,31299,30751,36424,42638,44521,53024,59838,67841,74082,85814,99133,107626,121699,136843,156748,169865,186015,200973,222031,234814,262559,261363,290153,341478,335463,312103,326147,238725
2015,1100,R,B,8074,852,498,392,345,331,297,284,245,254,242,247,310,312,402,670,708,988,1252,1232,1489,1598,2066,2303,2253,2070,2411,2688,2839,3186,3152,3534,3972,4276,4560,4665,5175,5360,5403,5680,6040,5967,6265,6592,6498,7090,7290,7688,8379,8744,9198,9870,10412,11268,11621,12918,13866,15019,15840,17122,19524,20549,21260,23451,23660,25578,28415,25913,33319,29921,33633,37048,35992,47171,44819,49359,57831,58200,68787,74440,80597,87785,97183,110056,118007,135211,144200,163094,172450,187205,198284,225799,231853,267192,264669,309341,377455,337228,331829,370929,369966
2015,1100,R,M,8906,935,618,384,386,413,365,306,280,293,313,291,388,344,478,860,977,1412,1704,1752,2177,2390,2981,3383,3261,3057,3567,3960,4213,4643,4623,5194,5763,6163,6658,6753,7465,7975,7849,8248,8993,8916,9125,9818,9564,10471,10788,11637,12655,12836,13736,14718,15432,16728,17351,19139,20517,22280,23587,25824,30249,31807,32699,35836,36690,39300,43221,39288,50266,45376,49008,56574,54126,72035,67891,72762,85422,83272,95341,101167,108358,114628,121327,139248,143943,163841,170787,178140,182539,185118,180474,193668,198161,228373,216074,225335,338976,194265,280323,196916,215446
2015,1100,R,F,7196,764,371,401,303,244,226,261,207,214,168,200,228,277,322,469,424,537,757,648,716,699,979,1012,1073,898,1054,1197,1250,1536,1514,1703,2009,2231,2321,2466,2794,2681,2918,3096,3093,3040,3427,3390,3452,3732,3829,3785,4175,4743,4788,5187,5581,6029,6130,7022,7697,8384,8900,9562,10474,11273,12041,13693,13626,15245,17547,16449,21893,19999,24213,25817,26269,34502,33561,38312,45253,46936,57056,63033,69180,77278,88126,99493,108974,125899,136345,159034,170012,187634,201895,232061,237967,274427,274049,325376,384240,362747,340360,400278,398858
2015,3000,T,B,6063,431,305,212,248,274,203,180,158,156,210,236,188,316,342,439,479,625,802,870,1020,1019,1110,1128,1186,1377,1595,1806,1982,1989,2258,2732,2966,3166,3356,3509,3965,4110,4177,4453,4629,4663,4798,5192,5061,5494,5943,6160,6739,7069,7457,8081,8724,9550,9709,10523,11787,12284,13377,14365,16031,16880,17828,19493,20030,21409,24951,22532,28498,25478,28847,31317,29415,40702,40061,44434,51981,52021,61368,67684,73675,78256,91335,102209,111127,121238,136214,153246,166659,174496,192906,205988,221598,242067,225576,249109,299332,288186,265013,281883,212000
