Year,Reg,Group,PopBa15,PopBa16,PopBa17,PopBa18,PopBa19,PopBa20,PopBa21,PopBa22,PopBa23,PopBa24,PopBa25,PopBa26,PopBa27,PopBa28,PopBa29,PopBa30,PopBa31,PopBa32,PopBa33,PopBa34,PopBa35,PopBa36,PopBa37,PopBa38,PopBa39,PopBa40,PopBa41,PopBa42,PopBa43,PopBa44,PopBa45,PopBa46,PopBa47,PopBa48,PopBa49,PopBa50,PopBa51,PopBa52,PopBa53,PopBa54,PopBa55
2015,1100,T,641800,637573,642749,651004,689460,726204,750585,820850,929674,1053225,1142786,1184152,1239014,1264357,1259204,1238012,1233082,1210719,1148632,1159101,1150535,1105062,1090625,1080958,1093793,1078672,1041156,1028642,1010996,1009289,979056,925721,915138,927694,973733,1014689,1065719,1128694,1182156,1256446,1264142
2015,1100,U,447902,451384,461996,483264,514930,546108,574592,647163,746801,842555,908777,935429,975063,993876,993556,978972,974070,956348,905209,914327,905142,863475,848879,838631,847942,832890,800669,789627,772008,769668,742138,691672,678643,684312,718813,750447,785765,832262,872920,930444,936278
2015,1100,R,193898,186190,180753,167740,174530,180097,175993,173687,182873,210670,234009,248723,263952,270481,265648,259040,259012,254372,243424,244774,245393,241587,241746,242327,245851,245783,240487,239015,238988,239622,236918,234049,236495,243382,254921,264242,279954,296432,309236,326003,327864
2015,3000,T,153995,152074,152256,156647,168577,176218,181624,199914,229429,268220,297221,311260,331109,341570,344132,340693,339101,331881,315705,326577,325670,308107,301102,297977,303426,299613,290004,286413,281924,286951,279203,259911,255942,259968,274090,284767,298206,316597,330322,351679,353804
2015,3000,U,124837,123919,124636,130088,140184,146395,151784,169092,195400,228841,253342,263543,279662,288666,292781,290939,289350,283353,269512,280108,279008,261948,254952,251751,256644,252714,243720,240300,235569,240316,233347,214881,210179,212302,224453,233885,243790,258559,269740,287910,289271
2015,3000,R,29158,28155,27620,26560,28393,29824,29840,30823,34029,39379,43879,47717,51447,52905,51351,49755,49751,48528,46194,46469,46662,46159,46151,46226,46782,46899,46284,46113,46355,46635,45857,45030,45763,47666,49637,50882,54416,58039,60582,63769,64533
2015,1114,T,6334,6408,6499,6743,7461,8087,8503,9225,10126,11212,11988,12500,13076,13410,13277,12891,12872,12398,11725,11684,11611,11405,11234,11249,11412,11387,11137,10926,10747,10622,10203,9931,10123,10464,10905,11259,12035,13014,13620,14268,14409
2015,1114,U,4126,4174,4314,4576,5148,5755,6156,6825,7528,8220,8758,9022,9417,9714,9628,9389,9416,9084,8581,8564,8464,8242,8129,8070,8044,7947,7724,7502,7350,7244,6892,6602,6745,7009,7306,7588,8099,8776,9246,9731,9904
2015,1114,R,2208,2235,2185,2167,2313,2332,2347,2400,2598,2992,3231,3478,3659,3696,3649,3502,3457,3314,3144,3120,3147,3163,3105,3180,3368,3441,3413,3424,3398,3378,3311,3329,3378,3455,3599,3671,3936,4238,4374,4537,4506
2015,1115,T,5289,5355,5269,5203,5601,5988,6292,6793,7444,8276,8913,9293,9899,10176,9978,9662,9639,9346,8780,8918,8973,8946,8929,8827,8931,8897,8799,8782,8749,8794,8588,8346,8543,8767,8865,9071,9615,10125,10566,11188,11347
2015,1115,U,3668,3846,3835,3797,4008,4170,4461,4814,5206,5759,6164,6496,7034,7219,7125,6959,7042,6889,6523,6674,6653,6565,6524,6458,6525,6468,6365,6321,6287,6294,6113,5788,5905,6089,6153,6359,6771,7185,7525,8042,8157
2015,1115,R,1621,1509,1434,1406,1593,1818,1832,1979,2239,2517,2749,2798,2865,2957,2854,2703,2597,2457,2258,2244,2320,2381,2405,2369,2406,2429,2435,2461,2462,2500,2475,2559,2638,2678,2712,2713,2844,2940,3042,3146,3190
2015,1117,T,5612,5601,5616,5668,5873,6068,6342,6829,7618,8796,9656,10125,10899,11349,10994,10734,10930,10786,10381,10522,10428,10193,10070,10164,10358,10239,9934,9916,9847,9792,9561,9098,9048,9448,10021,10237,10819,11661,12321,12924,13238
2015,1117,U,4388,4434,4501,4641,4801,4937,5144,5572,6203,7146,7777,8067,8656,9034,8846,8704,8839,8713,8365,8437,8411,8222,8093,8207,8405,8268,7942,7971,7908,7813,7616,7222,7122,7394,7872,8030,8416,9036,9553,10043,10252
2015,1117,R,1225,1167,1115,1027,1073,1131,1198,1257,1415,1650,1879,2058,2243,2315,2149,2030,2091,2073,2016,2086,2017,1971,1977,1957,1953,1971,1992,1945,1939,1979,1946,1877,1927,2054,2150,2208,2403,2625,2769,2881,2986
2015,1120,T,9155,9170,9577,10382,11246,12152,12772,14183,15745,17026,18194,18914,19591,19708,19431,19032,19003,18250,17221,17299,16999,16390,16364,16552,16720,16556,16210,16011,15950,15750,15288,14801,14914,15463,16077,16454,17696,18962,19852,21242,21458
